timestamp_ms,throttle,rudder,duty_left,duty_right,rpm_left_hz10,rpm_right_hz10,active_blocks_l,active_blocks_r,mean_is_l,mean_is_r,latch_resets,vbat_mv,pi_integral_l,pi_integral_r,pi_meas_ema_l
23551,1000,-515,0,0,0,0,0,0,3739,3886,0,30000,0,0,7023
23620,1000,-613,287,286,1721,1753,7,7,3806,3819,0,30000,31107,28793,3311
23631,1000,-778,287,286,1721,1753,7,7,3806,3819,0,8684,31107,28793,3311
23704,1000,-781,354,445,1647,2484,8,8,1279,1323,0,5274,29997,29997,2146
23711,1000,-785,354,445,1647,2484,8,8,1279,1323,0,9075,29997,29997,2146
23803,1000,-787,150,599,1740,4264,8,8,1636,1612,0,5819,-19996,29997,1862
23803,1000,-787,150,599,1740,4264,8,8,1636,1612,0,6063,-19996,29997,1862
23916,1000,-787,209,722,683,7588,8,8,2630,2449,0,4867,-3667,29997,1037
23965,1000,-787,209,722,683,7588,8,8,2630,2449,0,7374,-3667,29997,1037
24087,1000,-791,180,1000,1180,0,8,2,1686,165,0,11883,-4154,29997,1137
24088,1000,-791,180,1000,1180,0,8,2,1686,165,0,30000,-4154,29997,1137
24089,1000,-791,180,1000,1180,0,8,2,1686,165,0,30000,-4154,29997,1137
24089,1000,-791,180,1000,1180,0,8,2,1686,165,0,30000,-4154,29997,1137
24090,1000,-791,180,1000,1180,0,8,2,1686,165,0,30000,-4154,29997,1137
24225,1000,-791,244,1000,683,6537,8,8,2774,2869,0,29455,25005,31443,819
24226,1000,-791,244,1000,683,6537,8,8,2774,2869,0,22626,25005,31443,819
24230,1000,-791,244,1000,683,6537,8,8,2774,2869,0,23050,25005,31443,819
24232,1000,-791,244,1000,683,6537,8,8,2774,2869,0,18524,25005,31443,819
24367,1000,-791,150,1000,1574,7841,8,8,2182,2128,0,5941,-1261,31443,1348
24368,1000,-791,150,1000,1574,7841,8,8,2182,2128,0,6299,-1261,31443,1348
24369,1000,-791,150,1000,1574,7841,8,8,2182,2128,0,6324,-1261,31443,1348
24391,1000,-791,150,1000,1636,7216,8,8,973,996,0,4932,-19996,31443,1550
24504,1000,-791,150,1000,1636,7216,8,8,973,996,0,5575,-19996,31443,1550
24505,1000,-791,150,1000,1636,7216,8,8,973,996,0,5860,-19996,31443,1550
24511,1000,-791,150,1000,1636,7216,8,8,973,996,0,5909,-19996,31443,1550
24646,1000,-791,150,984,1599,10534,8,8,849,795,0,6031,-19996,15429,1584
24648,1000,-791,150,984,1599,10534,8,8,849,795,0,6210,-19996,15429,1584
24649,1000,-791,150,984,1599,10534,8,8,849,795,0,6747,-19996,15429,1584
24785,1000,-791,223,1000,592,7413,8,8,807,747,0,5811,1223,29997,890
24786,1000,-791,223,1000,592,7413,8,8,807,747,0,6340,1223,29997,890
24786,1000,-793,223,1000,592,7413,8,8,807,747,0,6755,1223,29997,890
24791,1000,-793,223,1000,592,7413,8,8,807,747,0,8008,1223,29997,890
24929,1000,-793,150,1000,1525,8305,8,8,1118,1187,0,5990,-19996,29997,1334
24930,1000,-793,150,1000,1525,8305,8,8,1118,1187,0,9034,-19996,29997,1334
24931,1000,-791,150,1000,1525,8305,8,8,1118,1187,0,6731,-19996,29997,1334
24951,1000,-793,150,1000,1525,8305,8,8,1118,1187,0,7195,-19996,29997,1334
25068,1000,-793,225,971,655,10176,8,8,817,852,0,5990,2958,9940,859
25069,1000,-793,225,971,655,10176,8,8,817,852,0,6421,2958,9940,859
25071,1000,-791,225,971,655,10176,8,8,817,852,0,7447,2958,9940,859
25209,1000,-791,251,940,683,10413,8,8,1037,1007,0,6210,-25309,-9999,736
25209,1000,-791,251,940,683,10413,8,8,1037,1007,0,6600,-25309,-9999,736
25213,1000,-791,251,940,683,10413,8,8,1037,1007,0,6975,-25309,-9999,736
25231,1000,-791,251,940,683,10413,8,8,1037,1007,0,7634,-25309,-9999,736
25352,1000,-791,261,940,894,9971,8,8,1003,1076,0,6291,-5548,-9999,847
25353,1000,-791,261,940,894,9971,8,8,1003,1076,0,6421,-5548,-9999,847
25354,1000,-791,261,940,894,9971,8,8,1003,1076,0,6967,-5548,-9999,847
25495,1000,0,300,1000,828,8338,8,8,995,946,0,5721,-20544,-20544,834
25496,1000,0,300,1000,828,8338,8,8,995,946,0,6421,-20544,-20544,834
25497,1000,0,300,1000,828,8338,8,8,995,946,0,6918,-20544,-20544,834
25511,1000,0,300,1000,828,8338,8,8,995,946,0,7927,-20544,-20544,834
25666,1000,0,573,1000,4106,7564,8,8,1247,1182,0,8122,-28042,-28042,3124
25668,1000,0,573,1000,4106,7564,8,8,1247,1182,0,30000,-28042,-28042,3124
25670,761,0,573,1000,4106,7564,8,8,1247,1182,0,30000,-28042,-28042,3124
25671,761,0,573,1000,4106,7564,8,8,1247,1182,0,30000,-28042,-28042,3124
25862,630,0,743,1000,8803,9369,8,8,3035,2949,0,7024,-32222,-32222,7099
25863,630,0,743,1000,8803,9369,8,8,3035,2949,0,30000,-32222,-32222,7099
25864,630,0,743,1000,8803,9369,8,8,3035,2949,0,30000,-32222,-32222,7099
25868,0,0,743,1000,8803,9369,8,8,3035,2949,0,30000,-32222,-32222,7099
25871,0,0,743,1000,8803,9369,8,8,3035,2949,0,30000,-32222,-32222,7099
26036,0,0,575,736,6265,7828,8,8,3080,3113,0,8489,-9999,-9999,6515
26037,0,0,575,736,6265,7828,8,8,3080,3113,0,8122,-9999,-9999,6515
26038,0,0,575,736,6265,7828,8,8,3080,3113,0,7512,-9999,-9999,6515
26038,0,514,575,736,6265,7828,8,8,3080,3113,0,7105,-9999,-9999,6515
26175,0,605,477,668,0,4678,8,8,246,271,0,5575,-9999,1907,5864
26176,0,605,477,668,0,4678,8,8,246,271,0,5762,-9999,1907,5864
26177,0,800,477,668,0,4678,8,8,246,271,0,5900,-9999,1907,5864
26191,0,800,477,668,0,4678,8,8,246,271,0,6348,-9999,1907,5864
26326,0,800,764,583,0,0,8,8,141,143,0,6682,29997,1659,5277
26327,0,800,764,583,0,0,8,8,141,143,0,30000,29997,1659,5277
26328,0,800,764,583,0,0,8,8,141,143,0,30000,29997,1659,5277
26479,0,800,789,453,8774,5860,8,8,2828,2898,0,6006,15096,-9999,7725
26480,0,800,789,453,8774,5860,8,8,2828,2898,0,7146,15096,-9999,7725
26481,0,800,789,453,8774,5860,8,8,2828,2898,0,13291,15096,-9999,7725
26481,0,800,789,453,8774,5860,8,8,2828,2898,0,30000,15096,-9999,7725
26626,0,800,895,484,6764,2664,8,8,1989,2020,0,5990,29997,9071,7052
26627,0,800,895,484,6764,2664,8,8,1989,2020,0,6975,29997,9071,7052
26628,0,800,895,484,6764,2664,8,8,1989,2020,0,30000,29997,9071,7052
26631,0,800,895,484,6764,2664,8,8,1989,2020,0,30000,29997,9071,7052
26765,0,800,884,454,7444,2173,8,8,2893,3003,0,15562,29997,29997,7327
26768,0,800,884,454,7444,2173,8,8,2893,3003,0,12493,29997,29997,7327
26769,0,800,884,454,7444,2173,8,8,2893,3003,0,10369,29997,29997,7327
26899,0,800,895,389,6615,1464,8,8,1376,1288,0,5933,29997,29997,6829
26903,0,800,895,389,6615,1464,8,8,1376,1288,0,6161,29997,29997,6829
26905,0,800,895,389,6615,1464,8,8,1376,1288,0,6055,29997,29997,6829
26911,0,800,895,389,6615,1464,8,8,1376,1288,0,8090,29997,29997,6829
27035,0,800,843,223,7829,1926,8,8,1148,1041,0,5249,28992,7840,7529
27036,0,800,843,223,7829,1926,8,8,1148,1041,0,5640,28992,7840,7529
27037,0,800,843,223,7829,1926,8,8,1148,1041,0,5966,28992,7840,7529
27160,0,800,895,150,0,1013,8,8,317,310,0,5892,29997,-10354,6776
27161,0,800,895,150,0,1013,8,8,317,310,0,6242,29997,-10354,6776
27165,0,800,895,150,0,1013,8,8,317,310,0,6185,29997,-10354,6776
27281,0,800,895,150,5241,1224,8,8,1430,1423,0,6267,29997,-19996,5702
27282,0,800,895,150,5241,1224,8,8,1430,1423,0,6316,29997,-19996,5702
27282,0,800,895,150,5241,1224,8,8,1430,1423,0,6429,29997,-19996,5702
27385,0,800,831,0,8368,0,8,0,997,929,0,5111,24946,-19996,7568
27386,0,800,831,0,8368,0,8,0,997,929,0,5380,24946,-19996,7568
27391,0,763,831,0,8368,0,8,0,997,929,0,6470,24946,-19996,7568
27489,0,778,875,0,0,0,8,0,239,223,0,5030,29997,0,6811
27490,0,778,875,0,0,0,8,0,239,223,0,5575,29997,0,6811
27511,0,796,875,0,0,0,8,0,239,223,0,7593,29997,0,6811
27628,0,796,752,-352,9926,-1464,8,8,952,909,0,5143,-9999,29997,8992
27629,0,800,752,-352,9926,-1464,8,8,952,909,0,30000,-9999,29997,8992
27631,0,800,752,-352,9926,-1464,8,8,952,909,0,30000,-9999,29997,8992
27781,0,800,755,-602,8377,-5071,8,8,2474,2598,0,8472,-9999,29997,8562
27784,0,800,755,-602,8377,-5071,8,8,2474,2598,0,30000,-9999,29997,8562
27786,0,800,755,-602,8377,-5071,8,8,2474,2598,0,30000,-9999,29997,8562
27791,0,800,755,-602,8377,-5071,8,8,2474,2598,0,30000,-9999,29997,8562
27970,0,800,755,-895,8990,-5633,8,8,2527,2862,0,5925,-9999,29997,8861
27972,0,800,755,-895,8990,-5633,8,8,2527,2862,0,30000,-9999,29997,8861
27972,0,800,755,-895,8990,-5633,8,8,2527,2862,0,30000,-9999,29997,8861
27973,0,800,755,-895,8990,-5633,8,8,2527,2862,0,30000,-9999,29997,8861
27991,0,800,755,-895,8990,-5633,8,8,2527,2862,0,30000,-9999,29997,8861
28154,0,800,895,-862,6054,-8439,8,8,2856,2879,0,20584,29997,29997,6896
28155,0,800,895,-862,6054,-8439,8,8,2856,2879,0,17946,29997,29997,6896
28155,0,800,895,-862,6054,-8439,8,8,2856,2879,0,20323,29997,29997,6896
28159,0,800,895,-862,6054,-8439,8,8,2856,2879,0,30000,29997,29997,6896
28344,0,800,895,-895,5395,-5424,8,8,3275,3283,0,6153,29997,29997,5845
28345,0,800,895,-895,5395,-5424,8,8,3275,3283,0,7333,29997,29997,5845
28345,0,684,895,-895,5395,-5424,8,8,3275,3283,0,8293,29997,29997,5845
28346,0,684,895,-895,5395,-5424,8,8,3275,3283,0,15342,29997,29997,5845
28351,0,625,895,-895,5395,-5424,8,8,3275,3283,0,26248,29997,29997,5845
28529,0,449,760,-738,8245,-8355,8,8,2741,2724,0,5721,7047,-6626,7525
28530,0,433,760,-738,8245,-8355,8,8,2741,2724,0,6023,7047,-6626,7525
28534,0,0,760,-738,8245,-8355,8,8,2741,2724,0,5746,210,210,7525
28536,0,0,760,-738,8245,-8355,8,8,2741,2724,0,5876,210,210,7525
28551,0,0,760,-738,8245,-8355,8,8,2741,2724,0,6096,210,210,7525
28680,0,0,560,-700,0,-3683,8,8,209,188,0,5534,9999,9999,6773
28681,0,0,560,-700,0,-3683,8,8,209,188,0,5803,9999,9999,6773
28681,0,0,560,-700,0,-3683,8,8,209,188,0,5957,9999,9999,6773
28794,0,-543,433,-460,0,0,8,8,198,193,0,4891,-9999,-6322,6096
28797,0,-543,433,-460,0,0,8,8,198,193,0,5249,-9999,-6322,6096
28798,0,-798,433,-460,0,0,8,8,198,193,0,5412,-9999,-6322,6096
28934,0,-798,389,-410,0,0,1,1,23,21,0,5013,-9999,-9999,5486
