t_ms,thr,str,mix_L,mix_R,tgt_L_hz,tgt_R_hz,meas_L_hz,meas_R_hz,duty_L,duty_R,int_L,int_R
123682.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123686.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123689.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123691.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123694.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123696.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123699.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123701.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123704.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123706.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123709.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123711.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123714.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123716.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123719.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123721.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123724.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123726.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123728.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123731.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123733.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123736.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123738.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123741.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123743.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123746.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123748.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123751.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123754.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
123756.0,0.0,0.0,0.0,0.0,0.0,0.0,2104.5,2080.1,0.0,0.0,0.0,0.0
