t_ms,thr,str,mix_L,mix_R,tgt_L_hz,tgt_R_hz,meas_L_hz,meas_R_hz,duty_L,duty_R,int_L,int_R
95348.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95352.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95355.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95358.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95360.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95363.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95365.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95368.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95371.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95373.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95375.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95378.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95381.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95383.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95386.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95389.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95391.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95395.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95397.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95400.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
95403.0,0.0,0.0,0.0,0.0,0.0,0.0,2065.4,2060.5,0.0,0.0,0.0,0.0
