t_ms,thr,str,mix_L,mix_R,tgt_L_hz,tgt_R_hz,meas_L_hz,meas_R_hz,duty_L,duty_R,int_L,int_R
149850.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.7,2055.7,0.0,0.0,0.0,0.0
149854.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.7,2055.7,0.0,0.0,0.0,0.0
149857.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.7,2055.7,0.0,0.0,0.0,0.0
149860.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.7,2055.7,0.0,0.0,0.0,0.0
149862.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.7,2055.7,0.0,0.0,0.0,0.0
149865.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.7,2055.7,0.0,0.0,0.0,0.0
149868.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.7,2055.7,0.0,0.0,0.0,0.0
149870.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.7,2055.7,0.0,0.0,0.0,0.0
149873.0,0.0,0.0,0.0,0.0,0.0,0.0,2055.7,2055.7,0.0,0.0,0.0,0.0
149876.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149879.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149882.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149884.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149887.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149890.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149892.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149895.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149897.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149900.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149903.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149905.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149908.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149910.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149913.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149916.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149918.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149921.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149923.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149926.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149929.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149931.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149934.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149936.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149939.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149942.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149944.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149947.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149950.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149952.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149955.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149957.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149960.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149963.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149966.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149968.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149971.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149974.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149976.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149979.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149981.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149984.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149986.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149989.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
149992.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1337.9,0.0,0.0,0.0,0.0
