t_ms,thr,str,mix_L,mix_R,tgt_L_hz,tgt_R_hz,meas_L_hz,meas_R_hz,duty_L,duty_R,int_L,int_R
27500.0,0.0,0.0,0.0,0.0,0.0,0.0,136.7,92.8,0.0,0.0,0.0,0.0
27507.0,0.0,0.0,0.0,0.0,0.0,0.0,136.7,92.8,0.0,0.0,0.0,0.0
27510.0,0.0,0.0,0.0,0.0,0.0,0.0,136.7,92.8,0.0,0.0,0.0,0.0
27513.0,0.0,0.0,0.0,0.0,0.0,0.0,136.7,92.8,0.0,0.0,0.0,0.0
27515.0,0.0,0.0,0.0,0.0,0.0,0.0,136.7,92.8,0.0,0.0,0.0,0.0
27518.0,0.0,0.0,0.0,0.0,0.0,0.0,136.7,92.8,0.0,0.0,0.0,0.0
27521.0,0.0,0.0,0.0,0.0,0.0,0.0,136.7,92.8,0.0,0.0,0.0,0.0
27523.0,0.0,0.0,0.0,0.0,0.0,0.0,136.7,92.8,0.0,0.0,0.0,0.0
27526.0,0.0,0.0,0.0,0.0,0.0,0.0,136.7,92.8,0.0,0.0,0.0,0.0
27529.0,0.0,0.0,0.0,0.0,0.0,0.0,136.7,92.8,0.0,0.0,0.0,0.0
27532.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27535.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27538.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27540.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27543.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27546.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27548.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27551.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27554.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27556.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27559.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27561.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27564.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27567.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27569.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27572.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27575.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27577.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27580.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27582.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27585.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27588.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27591.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27593.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27596.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27598.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27601.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27604.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27607.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27609.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27612.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27614.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27617.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27620.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27623.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27625.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27628.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27630.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27633.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27636.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27638.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27641.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27644.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27646.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27649.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27652.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27654.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27657.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27659.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27662.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27664.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27667.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27669.0,0.0,0.0,0.0,0.0,0.0,0.0,92.8,112.3,0.0,0.0,0.0,0.0
27835.0,0.3,0.0,0.1,0.1,94.0,94.0,273.4,434.6,0.0,0.0,0.0,0.0
