t_ms,thr,str,mix_L,mix_R,tgt_L_hz,tgt_R_hz,meas_L_hz,meas_R_hz,duty_L,duty_R,int_L,int_R
24571.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24578.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24581.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24583.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24586.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24588.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24591.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24594.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24596.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24599.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24602.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24604.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24607.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24610.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24612.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24615.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24617.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24620.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24623.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24625.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24628.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24630.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24633.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24635.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24638.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24640.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24643.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24646.0,0.0,0.0,0.0,0.0,0.0,0.0,68.4,117.2,0.0,0.0,0.0,0.0
24648.0,0.0,0.0,0.0,0.0,0.0,0.0,102.5,258.8,0.0,0.0,0.0,0.0
24652.0,0.0,0.0,0.0,0.0,0.0,0.0,102.5,258.8,0.0,0.0,0.0,0.0
