t_ms,thr,str,mix_L,mix_R,tgt_L_hz,tgt_R_hz,meas_L_hz,meas_R_hz,duty_L,duty_R,int_L,int_R
799465.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.4,1987.3,0.0,0.0,0.0,0.0
799469.0,0.0,0.0,0.0,0.0,0.0,0.0,2026.4,1987.3,0.0,0.0,0.0,0.0
799473.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799476.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799479.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799481.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799484.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799486.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799489.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799492.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799494.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799497.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799500.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799502.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799505.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799508.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799510.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799513.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799515.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799518.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799521.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799523.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799526.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799528.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799531.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799534.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799536.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799539.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799542.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799545.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799548.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799550.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799553.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799556.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799559.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799561.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799565.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799567.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799570.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799572.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799575.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799578.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799580.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799583.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799586.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799588.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799591.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799594.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799596.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799599.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799602.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799604.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799607.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799610.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799612.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799615.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799618.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799620.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799623.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799626.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799628.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799631.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799633.0,0.0,0.0,0.0,0.0,0.0,0.0,2036.1,1845.7,0.0,0.0,0.0,0.0
799795.0,0.6,0.0,0.2,0.2,188.0,188.0,258.8,346.7,0.0,0.0,0.0,0.0
