t_ms,thr,str,mix_L,mix_R,tgt_L_hz,tgt_R_hz,meas_L_hz,meas_R_hz,duty_L,duty_R,int_L,int_R,freqdet_L_hz,freqdet_R_hz,spec_L_hz,spec_R_hz,spec_q_L,spec_q_R,spec_peak_L,spec_peak_R,spec_cand_L,spec_cand_R,spec_reason_L,spec_reason_R,zc_blocks_L,zc_blocks_R,zc_cross_L,zc_cross_R,zc_pkpk_L,zc_pkpk_R,zc_std_L,zc_std_R
9707.0,0.0,0.0,0.0,0.0,0.0,0.0,110.1,110.3,0.0,0.0,0.0,0.0,1455.1,1455.1,157.3,157.5,1.56,1.67,106.5,92.5,157.3,157.5,0.0,0.0,8.0,8.0,149.0,149.0,1225.0,1237.0,579.5,564.5
9713.0,0.0,0.0,0.0,0.0,0.0,0.0,110.1,110.3,0.0,0.0,0.0,0.0,1455.1,1455.1,157.3,157.5,1.56,1.67,106.5,92.5,157.3,157.5,0.0,0.0,8.0,8.0,149.0,149.0,1225.0,1237.0,579.5,564.5
9718.0,0.0,0.0,0.0,0.0,0.0,0.0,110.1,110.3,0.0,0.0,0.0,0.0,1455.1,1455.1,157.3,157.5,1.56,1.67,106.5,92.5,157.3,157.5,0.0,0.0,8.0,8.0,149.0,149.0,1225.0,1237.0,579.5,564.5
9722.0,0.0,0.0,0.0,0.0,0.0,0.0,110.1,110.3,0.0,0.0,0.0,0.0,1455.1,1455.1,157.3,157.5,1.56,1.67,106.5,92.5,157.3,157.5,0.0,0.0,8.0,8.0,149.0,149.0,1225.0,1237.0,579.5,564.5
9727.0,0.0,0.0,0.0,0.0,0.0,0.0,110.1,110.3,0.0,0.0,0.0,0.0,1455.1,1455.1,157.3,157.5,1.56,1.67,106.5,92.5,157.3,157.5,0.0,0.0,8.0,8.0,149.0,149.0,1225.0,1237.0,579.5,564.5
9731.0,0.0,0.0,0.0,0.0,0.0,0.0,110.1,110.3,0.0,0.0,0.0,0.0,1455.1,1455.1,157.3,157.5,1.56,1.67,106.5,92.5,157.3,157.5,0.0,0.0,8.0,8.0,149.0,149.0,1225.0,1237.0,579.5,564.5
9736.0,0.0,0.0,0.0,0.0,0.0,0.0,110.1,110.3,0.0,0.0,0.0,0.0,1455.1,1455.1,157.3,157.5,1.56,1.67,106.5,92.5,157.3,157.5,0.0,0.0,8.0,8.0,149.0,149.0,1225.0,1237.0,579.5,564.5
9740.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9746.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9750.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9754.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9758.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9761.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9765.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9768.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9772.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9776.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9779.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9783.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9786.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9790.0,0.0,0.0,0.0,0.0,0.0,0.0,99.1,99.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9796.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9800.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9804.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9808.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9811.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9815.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9818.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9822.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9825.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9829.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9833.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9836.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9840.0,0.0,0.0,0.0,0.0,0.0,0.0,89.2,89.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9845.0,0.0,0.0,0.0,0.0,0.0,0.0,80.3,80.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
