# t_s,thr_pct,str_pct
0.000,50,0
0.100,50,3
0.200,50,6
0.300,50,9
0.400,50,12
0.500,50,15
0.600,50,17
0.700,50,19
0.800,50,21
0.900,50,23
1.000,50,24
1.100,50,25
1.200,50,25
1.300,50,25
1.400,50,25
1.500,50,24
1.600,50,23
1.700,50,21
1.800,50,19
1.900,50,17
2.000,50,15
2.100,50,12
2.200,50,9
2.300,50,6
2.400,50,3
2.500,50,0
2.600,50,-3
2.700,50,-6
2.800,50,-9
2.900,50,-12
3.000,50,-15
3.100,50,-17
3.200,50,-19
3.300,50,-21
3.400,50,-23
3.500,50,-24
3.600,50,-25
3.700,50,-25
3.800,50,-25
3.900,50,-25
4.000,50,-24
4.100,50,-23
4.200,50,-21
4.300,50,-19
4.400,50,-17
4.500,50,-15
4.600,50,-12
4.700,50,-9
4.800,50,-6
4.900,50,-3
5.000,50,0
5.100,50,3
5.200,50,6
5.300,50,9
5.400,50,12
5.500,50,15
5.600,50,17
5.700,50,19
5.800,50,21
5.900,50,23
6.000,50,24
6.100,50,25
6.200,50,25
6.300,50,25
6.400,50,25
6.500,50,24
6.600,50,23
6.700,50,21
6.800,50,19
6.900,50,17
7.000,50,15
7.100,50,12
7.200,50,9
7.300,50,6
7.400,50,3
7.500,50,0
7.600,50,-3
7.700,50,-6
7.800,50,-9
7.900,50,-12
8.000,50,-15
8.100,50,-17
8.200,50,-19
8.300,50,-21
8.400,50,-23
8.500,50,-24
8.600,50,-25
8.700,50,-25
8.800,50,-25
8.900,50,-25
9.000,50,-24
9.100,50,-23
9.200,50,-21
9.300,50,-19
9.400,50,-17
9.500,50,-15
9.600,50,-12
9.700,50,-9
9.800,50,-6
9.900,50,-3
10.000,50,0
10.100,50,3
10.200,50,6
10.300,50,9
10.400,50,12
10.500,50,15
10.600,50,17
10.700,50,19
10.800,50,21
10.900,50,23
11.000,50,24
11.100,50,25
11.200,50,25
11.300,50,25
11.400,50,25
11.500,50,24
11.600,50,23
11.700,50,21
11.800,50,19
11.900,50,17
12.000,50,15
12.100,50,12
12.200,50,9
12.300,50,6
12.400,50,3
12.500,50,0
12.600,50,-3
12.700,50,-6
12.800,50,-9
12.900,50,-12
13.000,50,-15
13.100,50,-17
13.200,50,-19
13.300,50,-21
13.400,50,-23
13.500,50,-24
13.600,50,-25
13.700,50,-25
13.800,50,-25
13.900,50,-25
14.000,50,-24
14.100,50,-23
14.200,50,-21
14.300,50,-19
14.400,50,-17
14.500,50,-15
14.600,50,-12
14.700,50,-9
14.800,50,-6
14.900,50,-3
15.000,50,0
15.100,50,3
15.200,50,6
15.300,50,9
15.400,50,12
15.500,50,15
15.600,50,17
15.700,50,19
15.800,50,21
15.900,50,23
16.000,50,24
16.100,50,25
16.200,50,25
16.300,50,25
16.400,50,25
16.500,50,24
16.600,50,23
16.700,50,21
16.800,50,19
16.900,50,17
17.000,50,15
17.100,50,12
17.200,50,9
17.300,50,6
17.400,50,3
17.500,50,0
17.600,50,-3
17.700,50,-6
17.800,50,-9
