t_ms,thr,str,mix_L,mix_R,tgt_L_hz,tgt_R_hz,meas_L_hz,meas_R_hz,duty_L,duty_R,int_L,int_R
164724.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164728.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164731.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164733.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164736.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164739.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164741.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164744.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164746.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164749.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164751.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164754.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164757.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164759.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164762.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164764.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164767.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164770.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164772.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164775.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164777.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164780.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164783.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164785.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164788.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164790.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164793.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164795.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164798.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164801.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164803.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164806.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164808.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164811.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164814.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164817.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
164820.0,0.0,0.0,0.0,0.0,0.0,0.0,2050.8,1943.4,0.0,0.0,0.0,0.0
