capture,duty,dir,expected_hz,algo,n_windows,mean_hz,std_hz,err_hz,err_pct
duty_025_FWD_sps10000,25,FWD,178.7,A1_globmean_schmitt,4,194.1,2.1,15.4,8.6
duty_025_FWD_sps10000,25,FWD,178.7,A2_subwin_schmitt,4,189.2,10.6,10.6,5.9
duty_025_FWD_sps10000,25,FWD,178.7,A3_hpf_schmitt,4,195.3,0.0,16.7,9.3
duty_025_FWD_sps10000,25,FWD,178.7,A4_adapt_midpoint,4,194.1,2.1,15.4,8.6
duty_025_FWD_sps10000,25,FWD,178.7,A5_fft_peak,4,194.6,0.2,16.0,8.9
duty_025_FWD_sps10000,25,FWD,178.7,A6_autocorr,4,193.3,0.3,14.7,8.2
duty_025_REV_sps10000,25,REV,178.7,A1_globmean_schmitt,4,151.4,0.0,-27.3,-15.3
duty_025_REV_sps10000,25,REV,178.7,A2_subwin_schmitt,4,146.5,6.0,-32.2,-18.0
duty_025_REV_sps10000,25,REV,178.7,A3_hpf_schmitt,4,210.0,9.1,31.3,17.5
duty_025_REV_sps10000,25,REV,178.7,A4_adapt_midpoint,4,152.6,2.1,-26.1,-14.6
duty_025_REV_sps10000,25,REV,178.7,A5_fft_peak,4,153.4,0.6,-25.3,-14.1
duty_025_REV_sps10000,25,REV,178.7,A6_autocorr,4,138.3,36.4,-40.3,-22.6
duty_050_FWD_sps10000,50,FWD,431.9,A1_globmean_schmitt,4,430.9,9.4,-1.0,-0.2
duty_050_FWD_sps10000,50,FWD,431.9,A2_subwin_schmitt,4,428.5,8.0,-3.4,-0.8
duty_050_FWD_sps10000,50,FWD,431.9,A3_hpf_schmitt,4,435.8,4.0,3.9,0.9
duty_050_FWD_sps10000,50,FWD,431.9,A4_adapt_midpoint,4,435.8,2.1,3.9,0.9
duty_050_FWD_sps10000,50,FWD,431.9,A5_fft_peak,4,437.2,0.8,5.3,1.2
duty_050_FWD_sps10000,50,FWD,431.9,A6_autocorr,4,435.9,0.5,4.0,0.9
duty_050_REV_sps10000,50,REV,431.9,A1_globmean_schmitt,4,357.7,37.9,-74.2,-17.2
duty_050_REV_sps10000,50,REV,431.9,A2_subwin_schmitt,4,451.7,49.6,19.8,4.6
duty_050_REV_sps10000,50,REV,431.9,A3_hpf_schmitt,4,712.9,27.6,281.0,65.1
duty_050_REV_sps10000,50,REV,431.9,A4_adapt_midpoint,4,416.3,54.6,-15.6,-3.6
duty_050_REV_sps10000,50,REV,431.9,A5_fft_peak,4,822.5,1.2,390.6,90.4
duty_050_REV_sps10000,50,REV,431.9,A6_autocorr,4,419.5,0.3,-12.4,-2.9
duty_075_FWD_sps10000,75,FWD,685.2,A1_globmean_schmitt,4,662.8,2.1,-22.3,-3.3
duty_075_FWD_sps10000,75,FWD,685.2,A2_subwin_schmitt,4,659.2,8.5,-26.0,-3.8
duty_075_FWD_sps10000,75,FWD,685.2,A3_hpf_schmitt,4,659.2,0.0,-26.0,-3.8
duty_075_FWD_sps10000,75,FWD,685.2,A4_adapt_midpoint,4,664.1,0.0,-21.1,-3.1
duty_075_FWD_sps10000,75,FWD,685.2,A5_fft_peak,4,664.2,0.7,-20.9,-3.1
duty_075_FWD_sps10000,75,FWD,685.2,A6_autocorr,4,663.8,0.7,-21.3,-3.1
duty_075_REV_sps10000,75,REV,685.2,A1_globmean_schmitt,4,612.8,23.3,-72.4,-10.6
duty_075_REV_sps10000,75,REV,685.2,A2_subwin_schmitt,4,633.5,2.1,-51.6,-7.5
duty_075_REV_sps10000,75,REV,685.2,A3_hpf_schmitt,4,643.3,4.0,-41.8,-6.1
duty_075_REV_sps10000,75,REV,685.2,A4_adapt_midpoint,4,645.8,2.1,-39.4,-5.8
duty_075_REV_sps10000,75,REV,685.2,A5_fft_peak,4,646.2,0.4,-38.9,-5.7
duty_075_REV_sps10000,75,REV,685.2,A6_autocorr,4,323.0,0.1,-362.2,-52.9
duty_100_FWD_sps10000,100,FWD,938.4,A1_globmean_schmitt,4,848.4,47.5,-90.0,-9.6
duty_100_FWD_sps10000,100,FWD,938.4,A2_subwin_schmitt,4,874.0,6.0,-64.4,-6.9
duty_100_FWD_sps10000,100,FWD,938.4,A3_hpf_schmitt,4,882.6,8.0,-55.8,-5.9
duty_100_FWD_sps10000,100,FWD,938.4,A4_adapt_midpoint,4,877.7,8.0,-60.7,-6.5
duty_100_FWD_sps10000,100,FWD,938.4,A5_fft_peak,4,887.4,0.4,-51.0,-5.4
duty_100_FWD_sps10000,100,FWD,938.4,A6_autocorr,4,887.9,0.4,-50.5,-5.4
duty_100_REV_sps10000,100,REV,938.4,A1_globmean_schmitt,4,842.3,44.4,-96.1,-10.2
duty_100_REV_sps10000,100,REV,938.4,A2_subwin_schmitt,4,858.2,8.0,-80.2,-8.6
duty_100_REV_sps10000,100,REV,938.4,A3_hpf_schmitt,4,869.1,7.7,-69.3,-7.4
duty_100_REV_sps10000,100,REV,938.4,A4_adapt_midpoint,4,866.7,12.7,-71.7,-7.6
duty_100_REV_sps10000,100,REV,938.4,A5_fft_peak,4,876.8,0.6,-61.6,-6.6
duty_100_REV_sps10000,100,REV,938.4,A6_autocorr,4,438.2,0.3,-500.2,-53.3
