duty,dir,sample_idx,adc_raw
50,FWD,0,17
50,FWD,1,7
50,FWD,2,15
50,FWD,3,17
50,FWD,4,17
50,FWD,5,3
50,FWD,6,0
50,FWD,7,15
50,FWD,8,18
50,FWD,9,18
50,FWD,10,0
50,FWD,11,13
50,FWD,12,16
50,FWD,13,17
50,FWD,14,21
50,FWD,15,19
50,FWD,16,18
50,FWD,17,14
50,FWD,18,29
50,FWD,19,18
50,FWD,20,16
50,FWD,21,17
50,FWD,22,19
50,FWD,23,13
50,FWD,24,18
50,FWD,25,19
50,FWD,26,10
50,FWD,27,20
50,FWD,28,19
50,FWD,29,16
50,FWD,30,17
50,FWD,31,15
50,FWD,32,16
50,FWD,33,15
50,FWD,34,25
50,FWD,35,15
50,FWD,36,17
50,FWD,37,18
50,FWD,38,19
50,FWD,39,10
50,FWD,40,18
50,FWD,41,15
50,FWD,42,17
50,FWD,43,17
50,FWD,44,22
50,FWD,45,20
50,FWD,46,16
50,FWD,47,18
50,FWD,48,9
50,FWD,49,18
50,FWD,50,17
50,FWD,51,18
50,FWD,52,15
50,FWD,53,17
50,FWD,54,22
50,FWD,55,18
50,FWD,56,18
50,FWD,57,11
50,FWD,58,21
50,FWD,59,16
50,FWD,60,16
50,FWD,61,13
50,FWD,62,18
50,FWD,63,21
50,FWD,64,17
50,FWD,65,17
50,FWD,66,15
50,FWD,67,16
50,FWD,68,21
50,FWD,69,13
50,FWD,70,18
50,FWD,71,15
50,FWD,72,0
50,FWD,73,13
50,FWD,74,17
50,FWD,75,19
50,FWD,76,16
50,FWD,77,0
50,FWD,78,21
50,FWD,79,14
50,FWD,80,19
50,FWD,81,15
50,FWD,82,27
50,FWD,83,20
50,FWD,84,21
50,FWD,85,17
50,FWD,86,18
50,FWD,87,18
50,FWD,88,25
50,FWD,89,19
50,FWD,90,16
50,FWD,91,27
50,FWD,92,27
50,FWD,93,20
50,FWD,94,20
50,FWD,95,17
50,FWD,96,17
50,FWD,97,20
50,FWD,98,22
50,FWD,99,16
50,FWD,100,13
50,FWD,101,16
50,FWD,102,15
50,FWD,103,13
50,FWD,104,24
50,FWD,105,17
50,FWD,106,24
50,FWD,107,22
50,FWD,108,18
50,FWD,109,14
50,FWD,110,13
50,FWD,111,16
50,FWD,112,17
50,FWD,113,15
50,FWD,114,13
50,FWD,115,15
50,FWD,116,15
50,FWD,117,22
50,FWD,118,19
50,FWD,119,16
50,FWD,120,18
50,FWD,121,15
50,FWD,122,18
50,FWD,123,15
50,FWD,124,20
50,FWD,125,27
50,FWD,126,16
50,FWD,127,17
50,FWD,128,18
50,FWD,129,17
50,FWD,130,37
50,FWD,131,18
50,FWD,132,16
50,FWD,133,13
50,FWD,134,17
50,FWD,135,18
50,FWD,136,18
50,FWD,137,21
50,FWD,138,17
50,FWD,139,26
50,FWD,140,20
50,FWD,141,9
50,FWD,142,18
50,FWD,143,17
50,FWD,144,22
50,FWD,145,10
50,FWD,146,20
50,FWD,147,16
50,FWD,148,18
50,FWD,149,2
50,FWD,150,12
50,FWD,151,19
50,FWD,152,17
50,FWD,153,15
50,FWD,154,22
50,FWD,155,19
50,FWD,156,18
50,FWD,157,16
50,FWD,158,8
50,FWD,159,20
50,FWD,160,17
50,FWD,161,21
50,FWD,162,15
50,FWD,163,15
50,FWD,164,22
50,FWD,165,21
50,FWD,166,26
50,FWD,167,16
50,FWD,168,25
50,FWD,169,18
50,FWD,170,18
50,FWD,171,17
50,FWD,172,14
50,FWD,173,17
50,FWD,174,21
50,FWD,175,18
50,FWD,176,18
50,FWD,177,15
50,FWD,178,19
50,FWD,179,17
50,FWD,180,18
50,FWD,181,15
50,FWD,182,10
50,FWD,183,19
50,FWD,184,21
50,FWD,185,19
50,FWD,186,15
50,FWD,187,14
50,FWD,188,19
50,FWD,189,18
50,FWD,190,20
50,FWD,191,17
50,FWD,192,17
50,FWD,193,17
50,FWD,194,19
50,FWD,195,19
50,FWD,196,18
50,FWD,197,27
50,FWD,198,19
50,FWD,199,18
50,FWD,200,18
50,FWD,201,17
50,FWD,202,21
50,FWD,203,13
50,FWD,204,24
50,FWD,205,18
50,FWD,206,17
50,FWD,207,14
50,FWD,208,19
50,FWD,209,17
50,FWD,210,13
50,FWD,211,11
50,FWD,212,11
50,FWD,213,15
50,FWD,214,16
50,FWD,215,0
50,FWD,216,12
50,FWD,217,14
50,FWD,218,20
50,FWD,219,16
50,FWD,220,12
50,FWD,221,16
50,FWD,222,17
50,FWD,223,17
50,FWD,224,16
50,FWD,225,15
50,FWD,226,15
50,FWD,227,18
50,FWD,228,19
50,FWD,229,18
50,FWD,230,8
50,FWD,231,17
50,FWD,232,19
50,FWD,233,19
50,FWD,234,0
50,FWD,235,17
50,FWD,236,18
50,FWD,237,36
50,FWD,238,21
50,FWD,239,0
50,FWD,240,13
50,FWD,241,16
50,FWD,242,15
50,FWD,243,17
50,FWD,244,18
50,FWD,245,17
50,FWD,246,15
50,FWD,247,25
50,FWD,248,19
50,FWD,249,17
50,FWD,250,16
50,FWD,251,17
50,FWD,252,18
50,FWD,253,18
50,FWD,254,38
50,FWD,255,21
50,FWD,256,17
50,FWD,257,12
50,FWD,258,16
50,FWD,259,19
50,FWD,260,13
50,FWD,261,13
50,FWD,262,17
50,FWD,263,16
50,FWD,264,18
50,FWD,265,18
50,FWD,266,21
50,FWD,267,17
50,FWD,268,15
50,FWD,269,19
50,FWD,270,14
50,FWD,271,16
50,FWD,272,17
50,FWD,273,16
50,FWD,274,16
50,FWD,275,21
50,FWD,276,18
50,FWD,277,24
50,FWD,278,21
50,FWD,279,17
50,FWD,280,18
50,FWD,281,13
50,FWD,282,19
50,FWD,283,24
50,FWD,284,15
50,FWD,285,22
50,FWD,286,21
50,FWD,287,17
50,FWD,288,16
50,FWD,289,18
50,FWD,290,13
50,FWD,291,12
50,FWD,292,19
50,FWD,293,15
50,FWD,294,13
50,FWD,295,23
50,FWD,296,24
50,FWD,297,16
50,FWD,298,11
50,FWD,299,19
50,FWD,300,20
50,FWD,301,13
50,FWD,302,18
50,FWD,303,18
50,FWD,304,16
50,FWD,305,19
50,FWD,306,24
50,FWD,307,16
50,FWD,308,17
50,FWD,309,17
50,FWD,310,16
50,FWD,311,14
50,FWD,312,15
50,FWD,313,16
50,FWD,314,15
50,FWD,315,90
50,FWD,316,15
50,FWD,317,13
50,FWD,318,19
50,FWD,319,19
50,FWD,320,15
50,FWD,321,6
50,FWD,322,15
50,FWD,323,18
50,FWD,324,16
50,FWD,325,0
50,FWD,326,19
50,FWD,327,16
50,FWD,328,16
50,FWD,329,11
50,FWD,330,2
50,FWD,331,12
50,FWD,332,17
50,FWD,333,19
50,FWD,334,12
50,FWD,335,37
50,FWD,336,17
50,FWD,337,17
50,FWD,338,21
50,FWD,339,21
50,FWD,340,15
50,FWD,341,10
50,FWD,342,17
50,FWD,343,16
50,FWD,344,20
50,FWD,345,14
50,FWD,346,18
50,FWD,347,17
50,FWD,348,21
50,FWD,349,18
50,FWD,350,17
50,FWD,351,16
50,FWD,352,17
50,FWD,353,16
50,FWD,354,17
50,FWD,355,20
50,FWD,356,21
50,FWD,357,16
50,FWD,358,17
50,FWD,359,21
50,FWD,360,15
50,FWD,361,13
50,FWD,362,19
50,FWD,363,16
50,FWD,364,13
50,FWD,365,18
50,FWD,366,18
50,FWD,367,14
50,FWD,368,48
50,FWD,369,18
50,FWD,370,17
50,FWD,371,17
50,FWD,372,13
50,FWD,373,25
50,FWD,374,13
50,FWD,375,4
50,FWD,376,19
50,FWD,377,17
50,FWD,378,17
50,FWD,379,18
50,FWD,380,13
50,FWD,381,16
50,FWD,382,5
50,FWD,383,19
50,FWD,384,15
50,FWD,385,22
50,FWD,386,17
50,FWD,387,18
50,FWD,388,16
50,FWD,389,18
50,FWD,390,19
50,FWD,391,13
50,FWD,392,46
