duty,dir,motor,sample_idx,adc_raw
50,FWD,left,0,2672
50,FWD,left,1,2661
50,FWD,left,2,2678
50,FWD,left,3,2749
50,FWD,left,4,2739
50,FWD,left,5,2744
50,FWD,left,6,2730
50,FWD,left,7,2737
50,FWD,left,8,2729
50,FWD,left,9,2691
50,FWD,left,10,2740
50,FWD,left,11,2724
50,FWD,left,12,2720
50,FWD,left,13,2738
50,FWD,left,14,2740
50,FWD,left,15,2742
50,FWD,left,16,2762
50,FWD,left,17,2768
50,FWD,left,18,2840
50,FWD,left,19,2810
50,FWD,left,20,2797
50,FWD,left,21,2780
50,FWD,left,22,2747
50,FWD,left,23,2714
50,FWD,left,24,2690
50,FWD,left,25,2648
50,FWD,left,26,2724
50,FWD,left,27,2692
50,FWD,left,28,2725
50,FWD,left,29,2717
50,FWD,left,30,2736
50,FWD,left,31,2724
50,FWD,left,32,2694
50,FWD,left,33,2708
50,FWD,left,34,2730
50,FWD,left,35,2644
50,FWD,left,36,2685
50,FWD,left,37,2676
50,FWD,left,38,2685
50,FWD,left,39,2707
50,FWD,left,40,2721
50,FWD,left,41,2749
50,FWD,left,42,2810
50,FWD,left,43,2811
50,FWD,left,44,2806
50,FWD,left,45,2792
50,FWD,left,46,2761
50,FWD,left,47,2748
50,FWD,left,48,2716
50,FWD,left,49,2741
50,FWD,left,50,2718
50,FWD,left,51,2705
50,FWD,left,52,2694
50,FWD,left,53,2687
50,FWD,left,54,2704
50,FWD,left,55,2707
50,FWD,left,56,2705
50,FWD,left,57,2764
50,FWD,left,58,2745
50,FWD,left,59,2713
50,FWD,left,60,2690
50,FWD,left,61,2673
50,FWD,left,62,2667
50,FWD,left,63,2689
50,FWD,left,64,2708
50,FWD,left,65,2709
50,FWD,left,66,2793
50,FWD,left,67,2794
50,FWD,left,68,2789
50,FWD,left,69,2777
50,FWD,left,70,2766
50,FWD,left,71,2753
50,FWD,left,72,2726
50,FWD,left,73,2763
50,FWD,left,74,2725
50,FWD,left,75,2667
50,FWD,left,76,2677
50,FWD,left,77,2688
50,FWD,left,78,2689
50,FWD,left,79,2681
50,FWD,left,80,2695
50,FWD,left,81,2749
50,FWD,left,82,2742
50,FWD,left,83,2735
50,FWD,left,84,2695
50,FWD,left,85,2683
50,FWD,left,86,2663
50,FWD,left,87,2654
50,FWD,left,88,2705
50,FWD,left,89,2763
50,FWD,left,90,2774
50,FWD,left,91,2775
50,FWD,left,92,2778
50,FWD,left,93,2771
50,FWD,left,94,2792
50,FWD,left,95,2756
50,FWD,left,96,2811
50,FWD,left,97,2780
50,FWD,left,98,2749
50,FWD,left,99,2745
50,FWD,left,100,2686
50,FWD,left,101,2668
50,FWD,left,102,2672
50,FWD,left,103,2681
50,FWD,left,104,2749
50,FWD,left,105,2739
50,FWD,left,106,2744
50,FWD,left,107,2740
50,FWD,left,108,2746
50,FWD,left,109,2699
50,FWD,left,110,2680
50,FWD,left,111,2668
50,FWD,left,112,2722
50,FWD,left,113,2726
50,FWD,left,114,2736
50,FWD,left,115,2749
50,FWD,left,116,2747
50,FWD,left,117,2760
50,FWD,left,118,2769
50,FWD,left,119,2765
50,FWD,left,120,2806
50,FWD,left,121,2785
50,FWD,left,122,2768
50,FWD,left,123,2750
50,FWD,left,124,2700
50,FWD,left,125,2670
50,FWD,left,126,2649
50,FWD,left,127,2662
50,FWD,left,128,2714
50,FWD,left,129,2714
50,FWD,left,130,2720
50,FWD,left,131,2713
50,FWD,left,132,2722
50,FWD,left,133,2720
50,FWD,left,134,2692
50,FWD,left,135,2724
50,FWD,left,136,2707
50,FWD,left,137,2696
50,FWD,left,138,2722
50,FWD,left,139,2709
50,FWD,left,140,2720
50,FWD,left,141,2741
50,FWD,left,142,2752
50,FWD,left,143,2836
50,FWD,left,144,2812
50,FWD,left,145,2797
50,FWD,left,146,2782
50,FWD,left,147,2756
50,FWD,left,148,2729
50,FWD,left,149,2710
50,FWD,left,150,2680
50,FWD,left,151,2700
50,FWD,left,152,2690
50,FWD,left,153,2693
50,FWD,left,154,2700
50,FWD,left,155,2716
50,FWD,left,156,2729
50,FWD,left,157,2710
50,FWD,left,158,2705
50,FWD,left,159,2752
50,FWD,left,160,2662
50,FWD,left,161,2717
50,FWD,left,162,2691
50,FWD,left,163,2696
50,FWD,left,164,2704
50,FWD,left,165,2709
50,FWD,left,166,2762
50,FWD,left,167,2804
50,FWD,left,168,2804
50,FWD,left,169,2805
50,FWD,left,170,2788
50,FWD,left,171,2740
50,FWD,left,172,2738
50,FWD,left,173,2732
50,FWD,left,174,2756
50,FWD,left,175,2681
50,FWD,left,176,2685
50,FWD,left,177,2682
50,FWD,left,178,2684
50,FWD,left,179,2697
50,FWD,left,180,2672
50,FWD,left,181,2685
50,FWD,left,182,2754
50,FWD,left,183,2748
50,FWD,left,184,2733
50,FWD,left,185,2674
50,FWD,left,186,2683
50,FWD,left,187,2664
50,FWD,left,188,2654
50,FWD,left,189,2683
50,FWD,left,190,2766
50,FWD,left,191,2772
50,FWD,left,192,2778
50,FWD,left,193,2789
50,FWD,left,194,2773
50,FWD,left,195,2768
50,FWD,left,196,2767
50,FWD,left,197,2754
50,FWD,left,198,2785
50,FWD,left,199,2752
50,FWD,left,200,2720
50,FWD,left,201,2684
50,FWD,left,202,2682
50,FWD,left,203,2690
50,FWD,left,204,2681
50,FWD,left,205,2665
50,FWD,left,206,2749
50,FWD,left,207,2748
50,FWD,left,208,2744
50,FWD,left,209,2741
50,FWD,left,210,2694
50,FWD,left,211,2676
50,FWD,left,212,2662
50,FWD,left,213,2709
50,FWD,left,214,2749
50,FWD,left,215,2760
50,FWD,left,216,2779
50,FWD,left,217,2782
50,FWD,left,218,2697
50,FWD,left,219,2752
50,FWD,left,220,2748
50,FWD,left,221,2825
50,FWD,left,222,2794
50,FWD,left,223,2788
50,FWD,left,224,2744
50,FWD,left,225,2664
50,FWD,left,226,2665
50,FWD,left,227,2664
50,FWD,left,228,2683
50,FWD,left,229,2724
50,FWD,left,230,2723
50,FWD,left,231,2725
50,FWD,left,232,2726
50,FWD,left,233,2748
50,FWD,left,234,2716
50,FWD,left,235,2689
50,FWD,left,236,2661
50,FWD,left,237,2724
50,FWD,left,238,2713
50,FWD,left,239,2723
50,FWD,left,240,2731
50,FWD,left,241,2737
50,FWD,left,242,2746
50,FWD,left,243,2730
50,FWD,left,244,2762
50,FWD,left,245,2817
50,FWD,left,246,2800
50,FWD,left,247,2784
50,FWD,left,248,2756
50,FWD,left,249,2728
50,FWD,left,250,2700
50,FWD,left,251,2660
50,FWD,left,252,2626
50,FWD,left,253,2707
50,FWD,left,254,2700
50,FWD,left,255,2712
50,FWD,left,256,2708
50,FWD,left,257,2712
50,FWD,left,258,2716
50,FWD,left,259,2710
50,FWD,left,260,2731
50,FWD,left,261,2709
50,FWD,left,262,2696
50,FWD,left,263,2725
50,FWD,left,264,2705
50,FWD,left,265,2709
50,FWD,left,266,2732
50,FWD,left,267,2748
50,FWD,left,268,2825
50,FWD,left,269,2809
50,FWD,left,270,2800
50,FWD,left,271,2789
50,FWD,left,272,2762
50,FWD,left,273,2738
50,FWD,left,274,2718
50,FWD,left,275,2688
50,FWD,left,276,2723
50,FWD,left,277,2696
50,FWD,left,278,2681
50,FWD,left,279,2699
