duty,dir,motor,sample_idx,adc_raw
50,FWD,right,0,1097
50,FWD,right,1,1106
50,FWD,right,2,1134
50,FWD,right,3,1147
50,FWD,right,4,1121
50,FWD,right,5,1119
50,FWD,right,6,1125
50,FWD,right,7,1150
50,FWD,right,8,1185
50,FWD,right,9,1225
50,FWD,right,10,1272
50,FWD,right,11,1285
50,FWD,right,12,1278
50,FWD,right,13,1266
50,FWD,right,14,1248
50,FWD,right,15,1230
50,FWD,right,16,1215
50,FWD,right,17,1201
50,FWD,right,18,1200
50,FWD,right,19,1173
50,FWD,right,20,1144
50,FWD,right,21,1115
50,FWD,right,22,1103
50,FWD,right,23,1104
50,FWD,right,24,1113
50,FWD,right,25,1128
50,FWD,right,26,1128
50,FWD,right,27,1133
50,FWD,right,28,1097
50,FWD,right,29,1123
50,FWD,right,30,1137
50,FWD,right,31,1165
50,FWD,right,32,1205
50,FWD,right,33,1262
50,FWD,right,34,1278
50,FWD,right,35,1246
50,FWD,right,36,1268
50,FWD,right,37,1252
50,FWD,right,38,1234
50,FWD,right,39,1217
50,FWD,right,40,1208
50,FWD,right,41,1210
50,FWD,right,42,1194
50,FWD,right,43,1158
50,FWD,right,44,1132
50,FWD,right,45,1110
50,FWD,right,46,1106
50,FWD,right,47,1103
50,FWD,right,48,1108
50,FWD,right,49,1130
50,FWD,right,50,1145
50,FWD,right,51,1127
50,FWD,right,52,1112
50,FWD,right,53,1112
50,FWD,right,54,1115
50,FWD,right,55,1179
50,FWD,right,56,1208
50,FWD,right,57,1260
50,FWD,right,58,1275
50,FWD,right,59,1290
50,FWD,right,60,1259
50,FWD,right,61,1238
50,FWD,right,62,1228
50,FWD,right,63,1212
50,FWD,right,64,1210
50,FWD,right,65,1196
50,FWD,right,66,1172
50,FWD,right,67,1144
50,FWD,right,68,1118
50,FWD,right,69,1107
50,FWD,right,70,1105
50,FWD,right,71,1108
50,FWD,right,72,1135
50,FWD,right,73,1130
50,FWD,right,74,1130
50,FWD,right,75,1118
50,FWD,right,76,1108
50,FWD,right,77,1121
50,FWD,right,78,1128
50,FWD,right,79,1187
50,FWD,right,80,1245
50,FWD,right,81,1268
50,FWD,right,82,1277
50,FWD,right,83,1268
50,FWD,right,84,1250
50,FWD,right,85,1231
50,FWD,right,86,1218
50,FWD,right,87,1209
50,FWD,right,88,1212
50,FWD,right,89,1184
50,FWD,right,90,1154
50,FWD,right,91,1124
50,FWD,right,92,1105
50,FWD,right,93,1104
50,FWD,right,94,1108
50,FWD,right,95,1112
50,FWD,right,96,1136
50,FWD,right,97,1123
50,FWD,right,98,1128
50,FWD,right,99,1112
50,FWD,right,100,1108
50,FWD,right,101,1120
50,FWD,right,102,1158
50,FWD,right,103,1208
50,FWD,right,104,1251
50,FWD,right,105,1276
50,FWD,right,106,1273
50,FWD,right,107,1275
50,FWD,right,108,1249
50,FWD,right,109,1237
50,FWD,right,110,1222
50,FWD,right,111,1221
50,FWD,right,112,1200
50,FWD,right,113,1178
50,FWD,right,114,1156
50,FWD,right,115,1120
50,FWD,right,116,1106
50,FWD,right,117,1105
50,FWD,right,118,1133
50,FWD,right,119,1136
50,FWD,right,120,1134
50,FWD,right,121,1141
