duty,dir,sample_idx,adc_raw
50,REV,0,17
50,REV,1,19
50,REV,2,16
50,REV,3,14
50,REV,4,18
50,REV,5,16
50,REV,6,28
50,REV,7,24
50,REV,8,16
50,REV,9,18
50,REV,10,18
50,REV,11,18
50,REV,12,18
50,REV,13,12
50,REV,14,17
50,REV,15,18
50,REV,16,5
50,REV,17,19
50,REV,18,18
50,REV,19,14
50,REV,20,18
50,REV,21,18
50,REV,22,18
50,REV,23,14
50,REV,24,17
50,REV,25,20
50,REV,26,16
50,REV,27,17
50,REV,28,18
50,REV,29,0
50,REV,30,15
50,REV,31,19
50,REV,32,18
50,REV,33,14
50,REV,34,34
50,REV,35,18
50,REV,36,16
50,REV,37,18
50,REV,38,14
50,REV,39,10
50,REV,40,12
50,REV,41,19
50,REV,42,18
50,REV,43,0
50,REV,44,18
50,REV,45,18
50,REV,46,14
50,REV,47,18
50,REV,48,16
50,REV,49,14
50,REV,50,16
50,REV,51,19
50,REV,52,18
50,REV,53,11
50,REV,54,19
50,REV,55,18
50,REV,56,17
50,REV,57,17
50,REV,58,11
50,REV,59,16
50,REV,60,20
50,REV,61,18
50,REV,62,17
50,REV,63,13
50,REV,64,19
50,REV,65,13
50,REV,66,16
50,REV,67,43
50,REV,68,22
50,REV,69,16
50,REV,70,17
50,REV,71,16
50,REV,72,15
50,REV,73,3
50,REV,74,21
50,REV,75,19
50,REV,76,18
50,REV,77,17
50,REV,78,19
50,REV,79,16
50,REV,80,18
50,REV,81,10
50,REV,82,32
50,REV,83,13
50,REV,84,19
50,REV,85,17
50,REV,86,14
50,REV,87,24
50,REV,88,18
50,REV,89,18
50,REV,90,17
50,REV,91,2
50,REV,92,18
50,REV,93,16
50,REV,94,18
50,REV,95,17
50,REV,96,24
50,REV,97,18
50,REV,98,16
50,REV,99,16
50,REV,100,14
50,REV,101,17
50,REV,102,16
50,REV,103,37
50,REV,104,24
50,REV,105,0
50,REV,106,10
50,REV,107,15
50,REV,108,18
50,REV,109,14
50,REV,110,17
50,REV,111,19
50,REV,112,14
50,REV,113,16
50,REV,114,20
