duty,dir,motor,sample_idx,adc_raw
50,REV,left,0,2763
50,REV,left,1,2790
50,REV,left,2,2753
50,REV,left,3,2724
50,REV,left,4,2696
50,REV,left,5,2659
50,REV,left,6,2640
50,REV,left,7,2627
50,REV,left,8,2746
50,REV,left,9,2688
50,REV,left,10,2665
50,REV,left,11,2671
50,REV,left,12,2673
50,REV,left,13,2675
50,REV,left,14,2697
50,REV,left,15,2724
50,REV,left,16,2819
50,REV,left,17,2813
50,REV,left,18,2814
50,REV,left,19,2805
50,REV,left,20,2789
50,REV,left,21,2777
50,REV,left,22,2765
50,REV,left,23,2753
50,REV,left,24,2793
50,REV,left,25,2764
50,REV,left,26,2727
50,REV,left,27,2704
50,REV,left,28,2648
50,REV,left,29,2637
50,REV,left,30,2627
50,REV,left,31,2621
50,REV,left,32,2676
50,REV,left,33,2661
50,REV,left,34,2664
50,REV,left,35,2673
50,REV,left,36,2667
50,REV,left,37,2691
50,REV,left,38,2705
50,REV,left,39,2741
50,REV,left,40,2819
50,REV,left,41,2831
50,REV,left,42,2824
50,REV,left,43,2793
50,REV,left,44,2795
50,REV,left,45,2790
50,REV,left,46,2783
50,REV,left,47,2830
50,REV,left,48,2787
50,REV,left,49,2769
50,REV,left,50,2739
50,REV,left,51,2703
50,REV,left,52,2660
50,REV,left,53,2637
50,REV,left,54,2635
50,REV,left,55,2693
50,REV,left,56,2677
50,REV,left,57,2649
50,REV,left,58,2658
50,REV,left,59,2661
50,REV,left,60,2667
50,REV,left,61,2683
50,REV,left,62,2712
50,REV,left,63,2808
50,REV,left,64,2808
50,REV,left,65,2817
50,REV,left,66,2787
50,REV,left,67,2787
50,REV,left,68,2808
50,REV,left,69,2781
50,REV,left,70,2762
50,REV,left,71,2805
50,REV,left,72,2781
50,REV,left,73,2747
50,REV,left,74,2720
50,REV,left,75,2681
50,REV,left,76,2641
50,REV,left,77,2641
50,REV,left,78,2624
50,REV,left,79,2677
50,REV,left,80,2671
50,REV,left,81,2651
50,REV,left,82,2654
50,REV,left,83,2644
50,REV,left,84,2659
50,REV,left,85,2684
50,REV,left,86,2715
50,REV,left,87,2781
50,REV,left,88,2800
50,REV,left,89,2798
50,REV,left,90,2792
50,REV,left,91,2782
50,REV,left,92,2789
50,REV,left,93,2784
50,REV,left,94,2840
50,REV,left,95,2793
50,REV,left,96,2771
50,REV,left,97,2747
50,REV,left,98,2707
50,REV,left,99,2675
50,REV,left,100,2657
50,REV,left,101,2637
50,REV,left,102,2687
50,REV,left,103,2672
50,REV,left,104,2656
50,REV,left,105,2652
50,REV,left,106,2639
50,REV,left,107,2645
50,REV,left,108,2668
50,REV,left,109,2683
50,REV,left,110,2774
50,REV,left,111,2777
50,REV,left,112,2792
50,REV,left,113,2798
50,REV,left,114,2738
50,REV,left,115,2785
50,REV,left,116,2777
50,REV,left,117,2765
50,REV,left,118,2818
50,REV,left,119,2789
50,REV,left,120,2765
50,REV,left,121,2723
50,REV,left,122,2689
50,REV,left,123,2665
50,REV,left,124,2645
50,REV,left,125,2645
50,REV,left,126,2669
50,REV,left,127,2661
50,REV,left,128,2654
