duty,dir,motor,sample_idx,adc_raw
50,REV,right,0,1000
50,REV,right,1,1002
50,REV,right,2,1003
50,REV,right,3,1007
50,REV,right,4,1003
50,REV,right,5,978
50,REV,right,6,1004
50,REV,right,7,995
50,REV,right,8,995
50,REV,right,9,1004
50,REV,right,10,995
50,REV,right,11,1005
50,REV,right,12,1006
50,REV,right,13,1003
50,REV,right,14,1003
50,REV,right,15,1002
50,REV,right,16,1002
50,REV,right,17,1002
50,REV,right,18,1008
50,REV,right,19,1008
50,REV,right,20,1006
50,REV,right,21,1013
50,REV,right,22,1001
50,REV,right,23,1000
50,REV,right,24,1003
50,REV,right,25,1021
50,REV,right,26,1016
50,REV,right,27,1000
50,REV,right,28,1005
50,REV,right,29,1006
50,REV,right,30,1014
50,REV,right,31,1000
50,REV,right,32,997
50,REV,right,33,997
50,REV,right,34,1009
50,REV,right,35,1014
50,REV,right,36,1006
50,REV,right,37,1002
50,REV,right,38,1006
50,REV,right,39,1024
50,REV,right,40,998
50,REV,right,41,993
50,REV,right,42,1008
50,REV,right,43,1004
50,REV,right,44,991
50,REV,right,45,1002
50,REV,right,46,1004
50,REV,right,47,1002
50,REV,right,48,1001
50,REV,right,49,1004
50,REV,right,50,993
50,REV,right,51,1005
50,REV,right,52,1008
50,REV,right,53,972
50,REV,right,54,982
50,REV,right,55,998
50,REV,right,56,1000
50,REV,right,57,1034
50,REV,right,58,1009
50,REV,right,59,1008
50,REV,right,60,997
50,REV,right,61,1005
50,REV,right,62,1014
50,REV,right,63,1000
50,REV,right,64,1003
50,REV,right,65,1009
50,REV,right,66,1005
50,REV,right,67,1007
50,REV,right,68,1007
50,REV,right,69,1004
50,REV,right,70,1000
50,REV,right,71,1002
50,REV,right,72,1004
50,REV,right,73,1005
50,REV,right,74,1009
50,REV,right,75,1005
50,REV,right,76,1008
50,REV,right,77,994
50,REV,right,78,1013
50,REV,right,79,1000
50,REV,right,80,1000
50,REV,right,81,1010
50,REV,right,82,1006
50,REV,right,83,1006
50,REV,right,84,1007
50,REV,right,85,999
50,REV,right,86,1002
50,REV,right,87,1019
50,REV,right,88,1019
50,REV,right,89,1008
50,REV,right,90,1004
50,REV,right,91,1006
50,REV,right,92,1005
50,REV,right,93,997
50,REV,right,94,1005
50,REV,right,95,1004
50,REV,right,96,1004
50,REV,right,97,1003
50,REV,right,98,1003
50,REV,right,99,1005
50,REV,right,100,996
50,REV,right,101,1000
50,REV,right,102,1018
50,REV,right,103,1000
50,REV,right,104,1016
50,REV,right,105,1008
50,REV,right,106,1037
50,REV,right,107,1016
50,REV,right,108,1001
50,REV,right,109,1004
50,REV,right,110,1001
50,REV,right,111,1002
50,REV,right,112,1010
50,REV,right,113,1004
50,REV,right,114,1006
50,REV,right,115,1006
50,REV,right,116,1005
50,REV,right,117,1005
50,REV,right,118,1003
50,REV,right,119,1002
50,REV,right,120,1004
50,REV,right,121,1005
50,REV,right,122,1006
50,REV,right,123,1001
50,REV,right,124,1004
50,REV,right,125,1002
50,REV,right,126,1001
50,REV,right,127,1005
50,REV,right,128,1007
50,REV,right,129,1010
50,REV,right,130,1001
50,REV,right,131,993
50,REV,right,132,1004
50,REV,right,133,1000
50,REV,right,134,1001
50,REV,right,135,990
50,REV,right,136,1008
50,REV,right,137,996
50,REV,right,138,1006
50,REV,right,139,1008
50,REV,right,140,1000
50,REV,right,141,1001
50,REV,right,142,1000
50,REV,right,143,1009
50,REV,right,144,1007
50,REV,right,145,996
50,REV,right,146,1001
50,REV,right,147,1000
50,REV,right,148,1003
50,REV,right,149,998
50,REV,right,150,991
50,REV,right,151,1011
50,REV,right,152,1020
50,REV,right,153,1001
50,REV,right,154,1005
50,REV,right,155,1001
50,REV,right,156,1000
50,REV,right,157,1002
50,REV,right,158,1004
50,REV,right,159,974
50,REV,right,160,993
50,REV,right,161,1005
50,REV,right,162,1007
50,REV,right,163,1019
50,REV,right,164,1007
50,REV,right,165,1004
50,REV,right,166,1004
50,REV,right,167,1006
50,REV,right,168,1003
50,REV,right,169,988
50,REV,right,170,1001
50,REV,right,171,1001
50,REV,right,172,1000
50,REV,right,173,997
50,REV,right,174,990
50,REV,right,175,1002
50,REV,right,176,1006
50,REV,right,177,1002
50,REV,right,178,995
50,REV,right,179,1001
50,REV,right,180,998
50,REV,right,181,1002
50,REV,right,182,1010
50,REV,right,183,988
50,REV,right,184,1009
50,REV,right,185,1006
50,REV,right,186,1005
50,REV,right,187,996
50,REV,right,188,1004
50,REV,right,189,1002
50,REV,right,190,1005
50,REV,right,191,1003
50,REV,right,192,1006
50,REV,right,193,1001
50,REV,right,194,993
50,REV,right,195,1000
50,REV,right,196,1004
50,REV,right,197,998
50,REV,right,198,1013
50,REV,right,199,1008
50,REV,right,200,1001
50,REV,right,201,1006
50,REV,right,202,961
50,REV,right,203,1013
50,REV,right,204,1002
50,REV,right,205,1002
50,REV,right,206,1008
50,REV,right,207,1002
50,REV,right,208,1004
50,REV,right,209,1004
50,REV,right,210,1000
50,REV,right,211,1004
50,REV,right,212,1004
50,REV,right,213,998
50,REV,right,214,1011
50,REV,right,215,1005
50,REV,right,216,1005
50,REV,right,217,1004
50,REV,right,218,1002
50,REV,right,219,1002
50,REV,right,220,996
50,REV,right,221,1003
50,REV,right,222,1006
50,REV,right,223,1002
50,REV,right,224,1005
50,REV,right,225,1000
50,REV,right,226,976
50,REV,right,227,1000
50,REV,right,228,1001
50,REV,right,229,1016
50,REV,right,230,1001
50,REV,right,231,1003
50,REV,right,232,1008
50,REV,right,233,1000
50,REV,right,234,1003
50,REV,right,235,1004
50,REV,right,236,997
50,REV,right,237,1007
50,REV,right,238,1006
50,REV,right,239,1008
50,REV,right,240,1012
50,REV,right,241,992
50,REV,right,242,1002
50,REV,right,243,997
50,REV,right,244,1001
50,REV,right,245,1010
50,REV,right,246,997
50,REV,right,247,1003
50,REV,right,248,1007
50,REV,right,249,1000
50,REV,right,250,1021
50,REV,right,251,1003
50,REV,right,252,1004
50,REV,right,253,1002
50,REV,right,254,1005
50,REV,right,255,1004
50,REV,right,256,1008
50,REV,right,257,1001
50,REV,right,258,1005
50,REV,right,259,1004
50,REV,right,260,1000
50,REV,right,261,1009
50,REV,right,262,1006
50,REV,right,263,1002
50,REV,right,264,1001
50,REV,right,265,1004
50,REV,right,266,1004
50,REV,right,267,1000
50,REV,right,268,1020
50,REV,right,269,1004
50,REV,right,270,1004
50,REV,right,271,1005
50,REV,right,272,998
50,REV,right,273,1000
50,REV,right,274,1002
50,REV,right,275,999
50,REV,right,276,1013
50,REV,right,277,1005
50,REV,right,278,1006
50,REV,right,279,1004
50,REV,right,280,1018
50,REV,right,281,1005
50,REV,right,282,1006
50,REV,right,283,997
50,REV,right,284,984
50,REV,right,285,1009
50,REV,right,286,1004
50,REV,right,287,1002
50,REV,right,288,1004
50,REV,right,289,1002
50,REV,right,290,1003
50,REV,right,291,1000
50,REV,right,292,1001
50,REV,right,293,1004
50,REV,right,294,1001
50,REV,right,295,1003
50,REV,right,296,999
50,REV,right,297,1002
50,REV,right,298,990
50,REV,right,299,1001
50,REV,right,300,1006
50,REV,right,301,1009
50,REV,right,302,1001
50,REV,right,303,1006
50,REV,right,304,1000
50,REV,right,305,1001
50,REV,right,306,1004
50,REV,right,307,1010
50,REV,right,308,1004
50,REV,right,309,1004
50,REV,right,310,1004
50,REV,right,311,1008
50,REV,right,312,1000
50,REV,right,313,1002
50,REV,right,314,996
50,REV,right,315,1011
50,REV,right,316,1006
50,REV,right,317,1006
50,REV,right,318,1006
50,REV,right,319,995
50,REV,right,320,998
50,REV,right,321,1006
50,REV,right,322,1008
50,REV,right,323,1020
50,REV,right,324,1003
50,REV,right,325,1001
50,REV,right,326,1004
50,REV,right,327,1016
50,REV,right,328,1020
50,REV,right,329,1000
50,REV,right,330,1001
50,REV,right,331,1008
50,REV,right,332,1004
50,REV,right,333,1008
50,REV,right,334,1003
50,REV,right,335,1001
50,REV,right,336,1002
50,REV,right,337,1010
50,REV,right,338,998
50,REV,right,339,1003
50,REV,right,340,1004
50,REV,right,341,1008
50,REV,right,342,1011
50,REV,right,343,1003
50,REV,right,344,995
50,REV,right,345,999
50,REV,right,346,1004
50,REV,right,347,1002
50,REV,right,348,1006
50,REV,right,349,1000
50,REV,right,350,1002
50,REV,right,351,1006
50,REV,right,352,1006
50,REV,right,353,1004
50,REV,right,354,1008
50,REV,right,355,1006
50,REV,right,356,1013
50,REV,right,357,1010
50,REV,right,358,1004
50,REV,right,359,1006
50,REV,right,360,1001
50,REV,right,361,996
50,REV,right,362,1009
50,REV,right,363,1006
50,REV,right,364,1001
50,REV,right,365,1006
50,REV,right,366,1001
50,REV,right,367,1000
50,REV,right,368,1002
50,REV,right,369,1004
50,REV,right,370,1024
50,REV,right,371,1017
50,REV,right,372,1003
50,REV,right,373,1005
50,REV,right,374,1001
50,REV,right,375,968
50,REV,right,376,1000
50,REV,right,377,1004
50,REV,right,378,1008
50,REV,right,379,1005
50,REV,right,380,1014
50,REV,right,381,1005
50,REV,right,382,1001
50,REV,right,383,1004
50,REV,right,384,993
50,REV,right,385,1001
50,REV,right,386,1006
50,REV,right,387,1010
50,REV,right,388,1005
