duty,dir,sample_idx,adc_raw
50,FWD,0,18
50,FWD,1,0
50,FWD,2,18
50,FWD,3,10
50,FWD,4,18
50,FWD,5,18
50,FWD,6,12
50,FWD,7,17
50,FWD,8,17
50,FWD,9,14
50,FWD,10,14
50,FWD,11,18
50,FWD,12,16
50,FWD,13,11
50,FWD,14,18
50,FWD,15,16
50,FWD,16,12
50,FWD,17,16
50,FWD,18,17
50,FWD,19,14
50,FWD,20,8
50,FWD,21,12
50,FWD,22,16
50,FWD,23,20
50,FWD,24,12
50,FWD,25,13
50,FWD,26,14
50,FWD,27,18
50,FWD,28,17
50,FWD,29,12
50,FWD,30,19
50,FWD,31,17
50,FWD,32,18
50,FWD,33,10
50,FWD,34,19
50,FWD,35,18
50,FWD,36,12
50,FWD,37,18
50,FWD,38,17
50,FWD,39,0
50,FWD,40,18
50,FWD,41,14
50,FWD,42,16
50,FWD,43,19
50,FWD,44,12
50,FWD,45,20
50,FWD,46,0
50,FWD,47,14
50,FWD,48,11
50,FWD,49,18
50,FWD,50,18
50,FWD,51,13
50,FWD,52,13
50,FWD,53,19
50,FWD,54,57
50,FWD,55,14
50,FWD,56,14
50,FWD,57,19
50,FWD,58,16
50,FWD,59,21
50,FWD,60,17
50,FWD,61,16
50,FWD,62,14
50,FWD,63,18
50,FWD,64,22
50,FWD,65,19
50,FWD,66,27
50,FWD,67,12
50,FWD,68,18
50,FWD,69,16
50,FWD,70,18
50,FWD,71,15
50,FWD,72,17
50,FWD,73,0
50,FWD,74,18
50,FWD,75,19
50,FWD,76,12
50,FWD,77,15
50,FWD,78,19
50,FWD,79,17
50,FWD,80,17
50,FWD,81,11
50,FWD,82,15
50,FWD,83,21
50,FWD,84,13
50,FWD,85,18
50,FWD,86,12
50,FWD,87,16
50,FWD,88,18
50,FWD,89,17
50,FWD,90,18
50,FWD,91,0
50,FWD,92,14
50,FWD,93,34
50,FWD,94,20
50,FWD,95,18
50,FWD,96,0
50,FWD,97,14
50,FWD,98,18
50,FWD,99,24
50,FWD,100,14
50,FWD,101,11
50,FWD,102,15
50,FWD,103,19
50,FWD,104,10
50,FWD,105,16
50,FWD,106,12
50,FWD,107,12
50,FWD,108,29
50,FWD,109,19
50,FWD,110,18
50,FWD,111,11
50,FWD,112,16
50,FWD,113,19
50,FWD,114,16
50,FWD,115,20
50,FWD,116,10
50,FWD,117,19
50,FWD,118,14
50,FWD,119,0
50,FWD,120,18
50,FWD,121,17
50,FWD,122,19
50,FWD,123,13
50,FWD,124,19
50,FWD,125,18
50,FWD,126,11
50,FWD,127,27
50,FWD,128,16
50,FWD,129,17
50,FWD,130,16
50,FWD,131,11
50,FWD,132,11
50,FWD,133,22
50,FWD,134,29
50,FWD,135,17
50,FWD,136,11
50,FWD,137,18
50,FWD,138,14
50,FWD,139,13
50,FWD,140,18
50,FWD,141,18
50,FWD,142,18
50,FWD,143,13
50,FWD,144,18
50,FWD,145,18
50,FWD,146,12
50,FWD,147,14
50,FWD,148,19
50,FWD,149,16
50,FWD,150,17
50,FWD,151,9
50,FWD,152,38
50,FWD,153,21
50,FWD,154,14
50,FWD,155,14
50,FWD,156,11
50,FWD,157,16
50,FWD,158,13
50,FWD,159,19
50,FWD,160,16
50,FWD,161,12
50,FWD,162,14
50,FWD,163,19
50,FWD,164,15
50,FWD,165,9
50,FWD,166,14
50,FWD,167,17
50,FWD,168,18
50,FWD,169,19
