duty,dir,sample_idx,adc_raw
75,REV,0,3226
75,REV,1,3187
75,REV,2,3194
75,REV,3,3221
75,REV,4,3274
75,REV,5,3333
75,REV,6,3390
75,REV,7,3445
75,REV,8,3456
75,REV,9,3439
75,REV,10,3419
75,REV,11,3388
75,REV,12,3341
75,REV,13,3287
75,REV,14,3301
75,REV,15,3258
75,REV,16,3221
75,REV,17,3194
75,REV,18,3196
75,REV,19,3234
75,REV,20,3285
75,REV,21,3333
75,REV,22,3418
75,REV,23,3433
75,REV,24,3420
75,REV,25,3395
75,REV,26,3365
75,REV,27,3328
75,REV,28,3275
75,REV,29,3236
75,REV,30,3259
75,REV,31,3231
75,REV,32,3194
75,REV,33,3183
75,REV,34,3229
75,REV,35,3275
75,REV,36,3337
75,REV,37,3376
75,REV,38,3449
75,REV,39,3450
75,REV,40,3425
75,REV,41,3404
75,REV,42,3368
75,REV,43,3312
75,REV,44,3272
75,REV,45,3236
75,REV,46,3250
75,REV,47,3215
75,REV,48,3185
75,REV,49,3198
75,REV,50,3243
75,REV,51,3288
75,REV,52,3334
75,REV,53,3411
75,REV,54,3428
75,REV,55,3424
75,REV,56,3393
75,REV,57,3358
75,REV,58,3317
75,REV,59,3269
75,REV,60,3233
75,REV,61,3254
75,REV,62,3228
75,REV,63,3189
75,REV,64,3192
75,REV,65,3223
75,REV,66,3274
75,REV,67,3329
75,REV,68,3377
75,REV,69,3450
75,REV,70,3459
75,REV,71,3436
75,REV,72,3406
75,REV,73,3371
75,REV,74,3324
75,REV,75,3274
75,REV,76,3233
75,REV,77,3255
75,REV,78,3227
75,REV,79,3193
75,REV,80,3203
75,REV,81,3246
75,REV,82,3308
75,REV,83,3356
75,REV,84,3388
75,REV,85,3444
75,REV,86,3437
75,REV,87,3408
75,REV,88,3373
75,REV,89,3328
75,REV,90,3275
75,REV,91,3243
75,REV,92,3234
75,REV,93,3235
75,REV,94,3208
75,REV,95,3203
75,REV,96,3240
75,REV,97,3300
75,REV,98,3357
75,REV,99,3402
75,REV,100,3461
75,REV,101,3452
75,REV,102,3458
75,REV,103,3417
75,REV,104,3374
75,REV,105,3321
75,REV,106,3273
75,REV,107,3238
75,REV,108,3261
75,REV,109,3222
75,REV,110,3201
75,REV,111,3212
75,REV,112,3251
75,REV,113,3304
75,REV,114,3350
75,REV,115,3377
75,REV,116,3437
75,REV,117,3428
75,REV,118,3401
75,REV,119,3362
75,REV,120,3320
75,REV,121,3270
75,REV,122,3240
75,REV,123,3206
75,REV,124,3230
75,REV,125,3204
75,REV,126,3193
75,REV,127,3230
