duty,dir,motor,sample_idx,adc_raw
30,FWD,left,0,4095
30,FWD,left,1,4095
30,FWD,left,2,4095
30,FWD,left,3,4095
30,FWD,left,4,4095
30,FWD,left,5,4095
30,FWD,left,6,4095
30,FWD,left,7,4095
30,FWD,left,8,4095
30,FWD,left,9,4095
30,FWD,left,10,4095
30,FWD,left,11,4095
30,FWD,left,12,4095
30,FWD,left,13,4095
30,FWD,left,14,4095
30,FWD,left,15,4095
30,FWD,left,16,4095
30,FWD,left,17,4095
30,FWD,left,18,4095
30,FWD,left,19,4095
30,FWD,left,20,4095
30,FWD,left,21,4095
30,FWD,left,22,4095
30,FWD,left,23,4095
30,FWD,left,24,4095
30,FWD,left,25,4095
30,FWD,left,26,4095
30,FWD,left,27,4095
30,FWD,left,28,4095
30,FWD,left,29,4095
30,FWD,left,30,4095
30,FWD,left,31,4095
30,FWD,left,32,4095
30,FWD,left,33,4095
30,FWD,left,34,4095
30,FWD,left,35,4095
30,FWD,left,36,4095
30,FWD,left,37,4095
30,FWD,left,38,4095
30,FWD,left,39,4095
30,FWD,left,40,4095
30,FWD,left,41,4095
30,FWD,left,42,4095
30,FWD,left,43,4095
30,FWD,left,44,4095
30,FWD,left,45,4095
30,FWD,left,46,4095
30,FWD,left,47,4095
30,FWD,left,48,4095
30,FWD,left,49,4095
30,FWD,left,50,4095
30,FWD,left,51,4095
30,FWD,left,52,4095
30,FWD,left,53,4095
30,FWD,left,54,4095
30,FWD,left,55,4095
30,FWD,left,56,4095
30,FWD,left,57,4095
30,FWD,left,58,4095
30,FWD,left,59,4095
30,FWD,left,60,4095
30,FWD,left,61,4095
30,FWD,left,62,4095
30,FWD,left,63,4095
30,FWD,left,64,4095
30,FWD,left,65,4095
30,FWD,left,66,4095
30,FWD,left,67,4095
30,FWD,left,68,4095
30,FWD,left,69,4095
30,FWD,left,70,4095
30,FWD,left,71,4095
30,FWD,left,72,4095
30,FWD,left,73,4095
30,FWD,left,74,4095
30,FWD,left,75,4095
30,FWD,left,76,4095
30,FWD,left,77,4095
30,FWD,left,78,4095
30,FWD,left,79,4095
30,FWD,left,80,4095
30,FWD,left,81,4095
30,FWD,left,82,4095
30,FWD,left,83,4095
30,FWD,left,84,4095
30,FWD,left,85,4095
30,FWD,left,86,4095
30,FWD,left,87,4095
30,FWD,left,88,4095
30,FWD,left,89,4095
30,FWD,left,90,4095
30,FWD,left,91,4095
30,FWD,left,92,4095
30,FWD,left,93,4095
30,FWD,left,94,4095
30,FWD,left,95,4095
30,FWD,left,96,4095
30,FWD,left,97,4095
30,FWD,left,98,4095
30,FWD,left,99,4095
30,FWD,left,100,4095
30,FWD,left,101,4095
30,FWD,left,102,4095
30,FWD,left,103,4095
30,FWD,left,104,4095
30,FWD,left,105,4095
30,FWD,left,106,4095
30,FWD,left,107,4095
30,FWD,left,108,4095
30,FWD,left,109,4095
30,FWD,left,110,4095
30,FWD,left,111,4095
30,FWD,left,112,4095
30,FWD,left,113,4095
30,FWD,left,114,4095
30,FWD,left,115,4095
30,FWD,left,116,4095
30,FWD,left,117,4095
30,FWD,left,118,4095
30,FWD,left,119,4095
30,FWD,left,120,4095
30,FWD,left,121,4095
30,FWD,left,122,4095
30,FWD,left,123,4095
30,FWD,left,124,4095
30,FWD,left,125,4095
30,FWD,left,126,4095
30,FWD,left,127,4095
30,FWD,left,128,4095
30,FWD,left,129,4095
30,FWD,left,130,4095
30,FWD,left,131,4095
30,FWD,left,132,4095
30,FWD,left,133,4095
30,FWD,left,134,4095
30,FWD,left,135,4095
30,FWD,left,136,4095
30,FWD,left,137,4095
30,FWD,left,138,4095
30,FWD,left,139,4095
30,FWD,left,140,4095
30,FWD,left,141,4095
30,FWD,left,142,4095
30,FWD,left,143,4095
30,FWD,left,144,4095
30,FWD,left,145,4095
30,FWD,left,146,4095
30,FWD,left,147,4095
30,FWD,left,148,4095
30,FWD,left,149,4095
30,FWD,left,150,4095
30,FWD,left,151,4095
30,FWD,left,152,4095
30,FWD,left,153,4095
30,FWD,left,154,4095
30,FWD,left,155,4095
30,FWD,left,156,4095
30,FWD,left,157,4095
30,FWD,left,158,4095
30,FWD,left,159,4095
30,FWD,left,160,4095
30,FWD,left,161,4095
30,FWD,left,162,4095
30,FWD,left,163,4095
30,FWD,left,164,4095
30,FWD,left,165,4095
30,FWD,left,166,4095
30,FWD,left,167,4095
30,FWD,left,168,4095
30,FWD,left,169,4095
30,FWD,left,170,4095
30,FWD,left,171,4095
30,FWD,left,172,4095
30,FWD,left,173,4095
30,FWD,left,174,4095
30,FWD,left,175,4095
30,FWD,left,176,4095
30,FWD,left,177,4095
30,FWD,left,178,4095
30,FWD,left,179,4095
30,FWD,left,180,4095
30,FWD,left,181,4095
30,FWD,left,182,4095
30,FWD,left,183,4095
30,FWD,left,184,4095
30,FWD,left,185,4095
30,FWD,left,186,4095
30,FWD,left,187,4095
30,FWD,left,188,4095
30,FWD,left,189,4095
30,FWD,left,190,4095
30,FWD,left,191,4095
30,FWD,left,192,4095
30,FWD,left,193,4095
30,FWD,left,194,4095
30,FWD,left,195,4095
30,FWD,left,196,4095
30,FWD,left,197,4095
30,FWD,left,198,4095
30,FWD,left,199,4095
30,FWD,left,200,4095
30,FWD,left,201,4095
30,FWD,left,202,4095
30,FWD,left,203,4095
30,FWD,left,204,4095
30,FWD,left,205,4095
30,FWD,left,206,4095
30,FWD,left,207,4095
30,FWD,left,208,4095
30,FWD,left,209,4095
30,FWD,left,210,4095
30,FWD,left,211,4095
30,FWD,left,212,4095
30,FWD,left,213,4095
30,FWD,left,214,4095
30,FWD,left,215,4095
30,FWD,left,216,4095
30,FWD,left,217,4095
30,FWD,left,218,4095
30,FWD,left,219,4095
30,FWD,left,220,4095
30,FWD,left,221,4095
30,FWD,left,222,4095
30,FWD,left,223,4095
30,FWD,left,224,4095
30,FWD,left,225,4095
30,FWD,left,226,4095
30,FWD,left,227,4095
30,FWD,left,228,4095
30,FWD,left,229,4095
30,FWD,left,230,4095
30,FWD,left,231,4095
30,FWD,left,232,4095
30,FWD,left,233,4095
30,FWD,left,234,4095
30,FWD,left,235,4095
30,FWD,left,236,4095
30,FWD,left,237,4095
30,FWD,left,238,4095
30,FWD,left,239,4095
30,FWD,left,240,4095
30,FWD,left,241,4095
30,FWD,left,242,4095
30,FWD,left,243,4095
30,FWD,left,244,4095
30,FWD,left,245,4095
30,FWD,left,246,4095
30,FWD,left,247,4095
30,FWD,left,248,4095
30,FWD,left,249,4095
30,FWD,left,250,4095
30,FWD,left,251,4095
30,FWD,left,252,4095
30,FWD,left,253,4095
30,FWD,left,254,4095
30,FWD,left,255,4095
30,FWD,left,256,4095
30,FWD,left,257,4095
30,FWD,left,258,4095
30,FWD,left,259,4095
30,FWD,left,260,4095
30,FWD,left,261,4095
30,FWD,left,262,4095
30,FWD,left,263,4095
30,FWD,left,264,4095
30,FWD,left,265,4095
30,FWD,left,266,4095
30,FWD,left,267,4095
30,FWD,left,268,4095
30,FWD,left,269,4095
30,FWD,left,270,4095
30,FWD,left,271,4095
30,FWD,left,272,4095
30,FWD,left,273,4095
30,FWD,left,274,4095
30,FWD,left,275,4095
30,FWD,left,276,4095
30,FWD,left,277,4095
30,FWD,left,278,4095
30,FWD,left,279,4095
30,FWD,left,280,4095
30,FWD,left,281,4095
30,FWD,left,282,4095
30,FWD,left,283,4095
30,FWD,left,284,4095
