duty,dir,motor,sample_idx,adc_raw
30,FWD,right,0,3219
30,FWD,right,1,3165
30,FWD,right,2,3125
30,FWD,right,3,3098
30,FWD,right,4,3207
30,FWD,right,5,3283
30,FWD,right,6,3333
30,FWD,right,7,3235
30,FWD,right,8,3289
30,FWD,right,9,3247
30,FWD,right,10,3251
30,FWD,right,11,3184
30,FWD,right,12,3298
30,FWD,right,13,3395
30,FWD,right,14,3179
30,FWD,right,15,3313
30,FWD,right,16,3329
30,FWD,right,17,3291
30,FWD,right,18,3241
30,FWD,right,19,3199
30,FWD,right,20,3318
30,FWD,right,21,3385
30,FWD,right,22,3247
30,FWD,right,23,3339
30,FWD,right,24,3296
30,FWD,right,25,3243
30,FWD,right,26,3203
30,FWD,right,27,3160
30,FWD,right,28,3295
30,FWD,right,29,3361
30,FWD,right,30,3241
30,FWD,right,31,3289
30,FWD,right,32,3227
30,FWD,right,33,3121
30,FWD,right,34,3129
30,FWD,right,35,3283
30,FWD,right,36,3283
30,FWD,right,37,3337
30,FWD,right,38,3201
30,FWD,right,39,3227
30,FWD,right,40,3152
30,FWD,right,41,3107
30,FWD,right,42,3067
30,FWD,right,43,3187
30,FWD,right,44,3225
30,FWD,right,45,3265
30,FWD,right,46,3135
30,FWD,right,47,3168
30,FWD,right,48,3113
30,FWD,right,49,3072
30,FWD,right,50,3042
30,FWD,right,51,3163
30,FWD,right,52,3249
30,FWD,right,53,3123
30,FWD,right,54,3171
30,FWD,right,55,3213
30,FWD,right,56,3183
30,FWD,right,57,3151
30,FWD,right,58,3129
30,FWD,right,59,3267
30,FWD,right,60,3354
30,FWD,right,61,3207
30,FWD,right,62,3347
30,FWD,right,63,3303
30,FWD,right,64,3275
30,FWD,right,65,3227
30,FWD,right,66,3203
30,FWD,right,67,3333
30,FWD,right,68,3397
30,FWD,right,69,3283
30,FWD,right,70,3370
30,FWD,right,71,3313
30,FWD,right,72,3267
30,FWD,right,73,3227
30,FWD,right,74,3387
30,FWD,right,75,3337
30,FWD,right,76,3387
30,FWD,right,77,3283
30,FWD,right,78,3319
30,FWD,right,79,3251
30,FWD,right,80,3172
30,FWD,right,81,3167
30,FWD,right,82,3283
30,FWD,right,83,3323
30,FWD,right,84,3347
30,FWD,right,85,3227
30,FWD,right,86,3257
30,FWD,right,87,3197
30,FWD,right,88,3145
30,FWD,right,89,3107
30,FWD,right,90,3210
30,FWD,right,91,3275
30,FWD,right,92,3305
30,FWD,right,93,3169
30,FWD,right,94,3187
30,FWD,right,95,3137
30,FWD,right,96,3081
30,FWD,right,97,3041
30,FWD,right,98,3147
30,FWD,right,99,3232
30,FWD,right,100,3056
30,FWD,right,101,3141
30,FWD,right,102,3163
30,FWD,right,103,3117
30,FWD,right,104,3059
30,FWD,right,105,3057
30,FWD,right,106,3206
30,FWD,right,107,3299
30,FWD,right,108,3187
30,FWD,right,109,3291
30,FWD,right,110,3250
30,FWD,right,111,3223
30,FWD,right,112,3195
30,FWD,right,113,3224
30,FWD,right,114,3339
30,FWD,right,115,3403
30,FWD,right,116,3305
30,FWD,right,117,3377
30,FWD,right,118,3317
30,FWD,right,119,3277
30,FWD,right,120,3246
30,FWD,right,121,3371
30,FWD,right,122,3385
30,FWD,right,123,3427
30,FWD,right,124,3315
30,FWD,right,125,3358
30,FWD,right,126,3291
30,FWD,right,127,3245
30,FWD,right,128,3233
