duty,dir,motor,sample_idx,adc_raw
30,FWD,left,0,145
30,FWD,left,1,139
30,FWD,left,2,135
30,FWD,left,3,155
30,FWD,left,4,230
30,FWD,left,5,281
30,FWD,left,6,353
30,FWD,left,7,449
30,FWD,left,8,511
30,FWD,left,9,523
30,FWD,left,10,523
30,FWD,left,11,529
30,FWD,left,12,506
30,FWD,left,13,461
30,FWD,left,14,407
30,FWD,left,15,383
30,FWD,left,16,324
30,FWD,left,17,273
30,FWD,left,18,242
30,FWD,left,19,220
30,FWD,left,20,199
30,FWD,left,21,177
30,FWD,left,22,176
30,FWD,left,23,123
30,FWD,left,24,152
30,FWD,left,25,147
30,FWD,left,26,176
30,FWD,left,27,253
30,FWD,left,28,339
30,FWD,left,29,410
30,FWD,left,30,490
30,FWD,left,31,541
30,FWD,left,32,552
30,FWD,left,33,530
30,FWD,left,34,542
30,FWD,left,35,521
30,FWD,left,36,486
30,FWD,left,37,426
30,FWD,left,38,345
30,FWD,left,39,336
30,FWD,left,40,287
30,FWD,left,41,242
30,FWD,left,42,208
30,FWD,left,43,194
30,FWD,left,44,179
30,FWD,left,45,153
30,FWD,left,46,147
30,FWD,left,47,156
30,FWD,left,48,155
30,FWD,left,49,182
30,FWD,left,50,254
30,FWD,left,51,401
30,FWD,left,52,398
30,FWD,left,53,463
30,FWD,left,54,533
30,FWD,left,55,549
30,FWD,left,56,532
30,FWD,left,57,511
30,FWD,left,58,497
30,FWD,left,59,449
30,FWD,left,60,389
30,FWD,left,61,334
30,FWD,left,62,287
30,FWD,left,63,251
30,FWD,left,64,218
30,FWD,left,65,189
30,FWD,left,66,166
30,FWD,left,67,153
30,FWD,left,68,142
30,FWD,left,69,136
30,FWD,left,70,138
30,FWD,left,71,161
30,FWD,left,72,201
30,FWD,left,73,283
30,FWD,left,74,377
30,FWD,left,75,445
30,FWD,left,76,488
30,FWD,left,77,516
30,FWD,left,78,533
30,FWD,left,79,515
30,FWD,left,80,517
30,FWD,left,81,457
30,FWD,left,82,410
30,FWD,left,83,354
30,FWD,left,84,307
30,FWD,left,85,265
30,FWD,left,86,244
30,FWD,left,87,205
30,FWD,left,88,179
30,FWD,left,89,161
30,FWD,left,90,154
30,FWD,left,91,141
30,FWD,left,92,129
30,FWD,left,93,147
30,FWD,left,94,180
30,FWD,left,95,232
30,FWD,left,96,307
30,FWD,left,97,411
30,FWD,left,98,479
30,FWD,left,99,533
30,FWD,left,100,524
30,FWD,left,101,554
30,FWD,left,102,524
30,FWD,left,103,489
30,FWD,left,104,449
30,FWD,left,105,406
30,FWD,left,106,358
30,FWD,left,107,302
30,FWD,left,108,256
30,FWD,left,109,227
30,FWD,left,110,202
30,FWD,left,111,177
30,FWD,left,112,154
30,FWD,left,113,147
30,FWD,left,114,141
30,FWD,left,115,140
30,FWD,left,116,165
30,FWD,left,117,212
30,FWD,left,118,280
30,FWD,left,119,338
30,FWD,left,120,436
30,FWD,left,121,502
30,FWD,left,122,516
30,FWD,left,123,511
30,FWD,left,124,522
30,FWD,left,125,507
30,FWD,left,126,466
30,FWD,left,127,409
30,FWD,left,128,420
30,FWD,left,129,308
30,FWD,left,130,299
30,FWD,left,131,246
30,FWD,left,132,210
30,FWD,left,133,188
30,FWD,left,134,165
30,FWD,left,135,148
