duty,dir,motor,sample_idx,adc_raw
30,FWD,right,0,2559
30,FWD,right,1,2562
30,FWD,right,2,2565
30,FWD,right,3,2559
30,FWD,right,4,2622
30,FWD,right,5,2610
30,FWD,right,6,2599
30,FWD,right,7,2566
30,FWD,right,8,2602
30,FWD,right,9,2578
30,FWD,right,10,2559
30,FWD,right,11,2518
30,FWD,right,12,2559
30,FWD,right,13,2522
30,FWD,right,14,2492
30,FWD,right,15,2492
30,FWD,right,16,2546
30,FWD,right,17,2548
30,FWD,right,18,2544
30,FWD,right,19,2538
30,FWD,right,20,2566
30,FWD,right,21,2540
30,FWD,right,22,2519
30,FWD,right,23,2559
30,FWD,right,24,2558
30,FWD,right,25,2559
30,FWD,right,26,2559
30,FWD,right,27,2626
30,FWD,right,28,2610
30,FWD,right,29,2608
30,FWD,right,30,2576
30,FWD,right,31,2618
30,FWD,right,32,2586
30,FWD,right,33,2574
30,FWD,right,34,2534
30,FWD,right,35,2562
30,FWD,right,36,2538
30,FWD,right,37,2506
30,FWD,right,38,2487
30,FWD,right,39,2544
30,FWD,right,40,2546
30,FWD,right,41,2559
30,FWD,right,42,2554
30,FWD,right,43,2570
30,FWD,right,44,2560
30,FWD,right,45,2534
30,FWD,right,46,2502
30,FWD,right,47,2554
30,FWD,right,48,2551
30,FWD,right,49,2559
30,FWD,right,50,2556
30,FWD,right,51,2582
30,FWD,right,52,2615
30,FWD,right,53,2598
30,FWD,right,54,2578
30,FWD,right,55,2608
30,FWD,right,56,2586
30,FWD,right,57,2564
30,FWD,right,58,2535
30,FWD,right,59,2559
30,FWD,right,60,2538
30,FWD,right,61,2506
30,FWD,right,62,2486
30,FWD,right,63,2534
30,FWD,right,64,2538
30,FWD,right,65,2556
30,FWD,right,66,2583
30,FWD,right,67,2576
30,FWD,right,68,2560
30,FWD,right,69,2534
30,FWD,right,70,2559
30,FWD,right,71,2546
30,FWD,right,72,2559
30,FWD,right,73,2546
30,FWD,right,74,2612
30,FWD,right,75,2602
30,FWD,right,76,2602
30,FWD,right,77,2576
30,FWD,right,78,2624
30,FWD,right,79,2594
30,FWD,right,80,2576
30,FWD,right,81,2550
30,FWD,right,82,2572
30,FWD,right,83,2550
30,FWD,right,84,2530
30,FWD,right,85,2482
30,FWD,right,86,2526
30,FWD,right,87,2526
30,FWD,right,88,2532
30,FWD,right,89,2534
30,FWD,right,90,2566
30,FWD,right,91,2560
30,FWD,right,92,2556
30,FWD,right,93,2500
30,FWD,right,94,2534
30,FWD,right,95,2534
30,FWD,right,96,2540
30,FWD,right,97,2538
30,FWD,right,98,2591
30,FWD,right,99,2592
30,FWD,right,100,2559
30,FWD,right,101,2572
30,FWD,right,102,2610
30,FWD,right,103,2588
30,FWD,right,104,2562
30,FWD,right,105,2562
30,FWD,right,106,2566
30,FWD,right,107,2548
30,FWD,right,108,2524
30,FWD,right,109,2556
30,FWD,right,110,2514
30,FWD,right,111,2512
30,FWD,right,112,2526
30,FWD,right,113,2566
30,FWD,right,114,2560
30,FWD,right,115,2559
30,FWD,right,116,2544
