duty,dir,motor,sample_idx,adc_raw
30,REV,left,0,382
30,REV,left,1,442
30,REV,left,2,512
30,REV,left,3,589
30,REV,left,4,598
30,REV,left,5,572
30,REV,left,6,545
30,REV,left,7,511
30,REV,left,8,476
30,REV,left,9,417
30,REV,left,10,372
30,REV,left,11,327
30,REV,left,12,266
30,REV,left,13,237
30,REV,left,14,200
30,REV,left,15,181
30,REV,left,16,166
30,REV,left,17,152
30,REV,left,18,148
30,REV,left,19,126
30,REV,left,20,148
30,REV,left,21,166
30,REV,left,22,234
30,REV,left,23,343
30,REV,left,24,441
30,REV,left,25,510
30,REV,left,26,570
30,REV,left,27,592
30,REV,left,28,577
30,REV,left,29,537
30,REV,left,30,529
30,REV,left,31,481
30,REV,left,32,426
30,REV,left,33,366
30,REV,left,34,327
30,REV,left,35,288
30,REV,left,36,246
30,REV,left,37,221
30,REV,left,38,192
30,REV,left,39,177
30,REV,left,40,162
30,REV,left,41,150
30,REV,left,42,152
30,REV,left,43,152
30,REV,left,44,153
30,REV,left,45,182
30,REV,left,46,284
30,REV,left,47,387
30,REV,left,48,460
30,REV,left,49,519
30,REV,left,50,566
30,REV,left,51,565
30,REV,left,52,537
30,REV,left,53,511
30,REV,left,54,511
30,REV,left,55,440
30,REV,left,56,388
30,REV,left,57,340
30,REV,left,58,298
30,REV,left,59,260
30,REV,left,60,232
30,REV,left,61,212
30,REV,left,62,207
30,REV,left,63,198
30,REV,left,64,192
30,REV,left,65,172
30,REV,left,66,181
30,REV,left,67,260
30,REV,left,68,204
30,REV,left,69,291
30,REV,left,70,408
30,REV,left,71,494
30,REV,left,72,541
30,REV,left,73,604
30,REV,left,74,606
30,REV,left,75,574
30,REV,left,76,541
30,REV,left,77,524
30,REV,left,78,476
30,REV,left,79,410
30,REV,left,80,360
30,REV,left,81,314
30,REV,left,82,261
30,REV,left,83,239
30,REV,left,84,212
30,REV,left,85,190
30,REV,left,86,176
30,REV,left,87,160
30,REV,left,88,152
30,REV,left,89,135
30,REV,left,90,150
30,REV,left,91,160
30,REV,left,92,219
30,REV,left,93,336
30,REV,left,94,435
30,REV,left,95,504
30,REV,left,96,550
30,REV,left,97,598
30,REV,left,98,562
30,REV,left,99,526
30,REV,left,100,500
30,REV,left,101,459
30,REV,left,102,403
30,REV,left,103,349
30,REV,left,104,301
30,REV,left,105,263
30,REV,left,106,236
30,REV,left,107,201
30,REV,left,108,177
30,REV,left,109,158
30,REV,left,110,155
30,REV,left,111,145
30,REV,left,112,137
30,REV,left,113,137
30,REV,left,114,166
30,REV,left,115,220
30,REV,left,116,320
30,REV,left,117,468
30,REV,left,118,517
30,REV,left,119,551
30,REV,left,120,594
30,REV,left,121,574
30,REV,left,122,529
30,REV,left,123,500
30,REV,left,124,467
30,REV,left,125,430
30,REV,left,126,358
30,REV,left,127,306
30,REV,left,128,276
30,REV,left,129,244
30,REV,left,130,209
30,REV,left,131,181
30,REV,left,132,164
30,REV,left,133,160
30,REV,left,134,196
30,REV,left,135,144
30,REV,left,136,135
30,REV,left,137,150
30,REV,left,138,181
30,REV,left,139,258
30,REV,left,140,374
30,REV,left,141,462
30,REV,left,142,511
30,REV,left,143,548
30,REV,left,144,561
30,REV,left,145,536
30,REV,left,146,504
30,REV,left,147,471
30,REV,left,148,428
30,REV,left,149,372
30,REV,left,150,319
30,REV,left,151,274
30,REV,left,152,276
30,REV,left,153,228
30,REV,left,154,204
30,REV,left,155,182
30,REV,left,156,167
30,REV,left,157,151
30,REV,left,158,152
30,REV,left,159,148
30,REV,left,160,164
30,REV,left,161,186
30,REV,left,162,260
30,REV,left,163,400
30,REV,left,164,493
30,REV,left,165,547
30,REV,left,166,582
30,REV,left,167,604
30,REV,left,168,582
30,REV,left,169,533
30,REV,left,170,498
30,REV,left,171,467
30,REV,left,172,408
30,REV,left,173,375
30,REV,left,174,302
30,REV,left,175,262
30,REV,left,176,240
30,REV,left,177,205
30,REV,left,178,181
30,REV,left,179,190
30,REV,left,180,157
30,REV,left,181,146
30,REV,left,182,140
30,REV,left,183,153
30,REV,left,184,164
30,REV,left,185,216
30,REV,left,186,323
30,REV,left,187,440
30,REV,left,188,511
30,REV,left,189,541
30,REV,left,190,572
30,REV,left,191,566
30,REV,left,192,530
30,REV,left,193,494
30,REV,left,194,456
30,REV,left,195,408
30,REV,left,196,357
30,REV,left,197,302
30,REV,left,198,265
30,REV,left,199,242
30,REV,left,200,210
30,REV,left,201,193
30,REV,left,202,169
30,REV,left,203,163
30,REV,left,204,148
30,REV,left,205,144
30,REV,left,206,149
30,REV,left,207,172
30,REV,left,208,218
30,REV,left,209,316
30,REV,left,210,458
30,REV,left,211,560
30,REV,left,212,558
30,REV,left,213,588
30,REV,left,214,578
30,REV,left,215,539
30,REV,left,216,503
30,REV,left,217,452
