duty,dir,motor,sample_idx,adc_raw
30,REV,right,0,2629
30,REV,right,1,2637
30,REV,right,2,2626
30,REV,right,3,2628
30,REV,right,4,2684
30,REV,right,5,2671
30,REV,right,6,2649
30,REV,right,7,2627
30,REV,right,8,2662
30,REV,right,9,2630
30,REV,right,10,2598
30,REV,right,11,2617
30,REV,right,12,2622
30,REV,right,13,2586
30,REV,right,14,2559
30,REV,right,15,2593
30,REV,right,16,2571
30,REV,right,17,2567
30,REV,right,18,2496
30,REV,right,19,2611
30,REV,right,20,2613
30,REV,right,21,2605
30,REV,right,22,2592
30,REV,right,23,2670
30,REV,right,24,2665
30,REV,right,25,2667
30,REV,right,26,2627
30,REV,right,27,2698
30,REV,right,28,2674
30,REV,right,29,2651
30,REV,right,30,2612
30,REV,right,31,2656
30,REV,right,32,2634
30,REV,right,33,2608
30,REV,right,34,2566
30,REV,right,35,2605
30,REV,right,36,2573
30,REV,right,37,2558
30,REV,right,38,2538
30,REV,right,39,2592
30,REV,right,40,2575
30,REV,right,41,2578
30,REV,right,42,2570
30,REV,right,43,2643
30,REV,right,44,2645
30,REV,right,45,2643
30,REV,right,46,2642
30,REV,right,47,2626
30,REV,right,48,2690
30,REV,right,49,2657
30,REV,right,50,2640
30,REV,right,51,2675
30,REV,right,52,2642
30,REV,right,53,2614
30,REV,right,54,2649
30,REV,right,55,2629
30,REV,right,56,2598
30,REV,right,57,2536
30,REV,right,58,2617
30,REV,right,59,2578
30,REV,right,60,2569
30,REV,right,61,2553
30,REV,right,62,2610
30,REV,right,63,2605
30,REV,right,64,2609
30,REV,right,65,2601
30,REV,right,66,2682
30,REV,right,67,2676
30,REV,right,68,2672
30,REV,right,69,2625
30,REV,right,70,2703
30,REV,right,71,2673
30,REV,right,72,2648
30,REV,right,73,2608
30,REV,right,74,2655
30,REV,right,75,2626
30,REV,right,76,2605
30,REV,right,77,2559
30,REV,right,78,2589
30,REV,right,79,2562
30,REV,right,80,2553
30,REV,right,81,2536
30,REV,right,82,2584
30,REV,right,83,2580
30,REV,right,84,2581
30,REV,right,85,2575
30,REV,right,86,2642
30,REV,right,87,2632
30,REV,right,88,2651
30,REV,right,89,2646
30,REV,right,90,2701
30,REV,right,91,2683
30,REV,right,92,2654
30,REV,right,93,2649
30,REV,right,94,2671
30,REV,right,95,2574
30,REV,right,96,2610
30,REV,right,97,2641
30,REV,right,98,2620
30,REV,right,99,2594
30,REV,right,100,2556
30,REV,right,101,2595
30,REV,right,102,2576
30,REV,right,103,2566
30,REV,right,104,2559
30,REV,right,105,2601
30,REV,right,106,2624
30,REV,right,107,2614
30,REV,right,108,2608
30,REV,right,109,2690
30,REV,right,110,2679
30,REV,right,111,2673
30,REV,right,112,2642
30,REV,right,113,2696
30,REV,right,114,2674
30,REV,right,115,2649
30,REV,right,116,2641
30,REV,right,117,2646
30,REV,right,118,2624
30,REV,right,119,2605
30,REV,right,120,2560
30,REV,right,121,2587
30,REV,right,122,2563
30,REV,right,123,2555
30,REV,right,124,2538
30,REV,right,125,2584
30,REV,right,126,2587
30,REV,right,127,2569
30,REV,right,128,2579
30,REV,right,129,2656
30,REV,right,130,2662
30,REV,right,131,2653
30,REV,right,132,2654
30,REV,right,133,2699
30,REV,right,134,2683
30,REV,right,135,2658
30,REV,right,136,2675
30,REV,right,137,2673
30,REV,right,138,2643
30,REV,right,139,2610
30,REV,right,140,2658
30,REV,right,141,2617
30,REV,right,142,2582
30,REV,right,143,2542
30,REV,right,144,2567
30,REV,right,145,2561
30,REV,right,146,2567
30,REV,right,147,2553
30,REV,right,148,2610
30,REV,right,149,2611
30,REV,right,150,2616
30,REV,right,151,2611
30,REV,right,152,2691
30,REV,right,153,2682
30,REV,right,154,2667
30,REV,right,155,2637
30,REV,right,156,2700
30,REV,right,157,2670
30,REV,right,158,2640
30,REV,right,159,2611
30,REV,right,160,2645
30,REV,right,161,2623
30,REV,right,162,2595
30,REV,right,163,2546
30,REV,right,164,2586
30,REV,right,165,2559
30,REV,right,166,2551
30,REV,right,167,2534
30,REV,right,168,2584
30,REV,right,169,2584
30,REV,right,170,2580
30,REV,right,171,2583
30,REV,right,172,2553
30,REV,right,173,2648
30,REV,right,174,2652
30,REV,right,175,2650
30,REV,right,176,2693
30,REV,right,177,2672
30,REV,right,178,2638
30,REV,right,179,2697
30,REV,right,180,2657
30,REV,right,181,2633
30,REV,right,182,2603
30,REV,right,183,2642
30,REV,right,184,2617
30,REV,right,185,2581
30,REV,right,186,2547
30,REV,right,187,2590
30,REV,right,188,2570
30,REV,right,189,2567
30,REV,right,190,2559
30,REV,right,191,2641
30,REV,right,192,2614
30,REV,right,193,2608
30,REV,right,194,2602
30,REV,right,195,2691
30,REV,right,196,2677
30,REV,right,197,2666
30,REV,right,198,2638
30,REV,right,199,2695
30,REV,right,200,2668
30,REV,right,201,2643
30,REV,right,202,2608
30,REV,right,203,2645
30,REV,right,204,2624
30,REV,right,205,2595
30,REV,right,206,2559
30,REV,right,207,2582
30,REV,right,208,2564
30,REV,right,209,2559
30,REV,right,210,2540
30,REV,right,211,2593
30,REV,right,212,2587
30,REV,right,213,2587
30,REV,right,214,2593
30,REV,right,215,2659
30,REV,right,216,2659
30,REV,right,217,2650
30,REV,right,218,2661
30,REV,right,219,2691
30,REV,right,220,2682
30,REV,right,221,2656
30,REV,right,222,2691
30,REV,right,223,2658
30,REV,right,224,2630
30,REV,right,225,2596
30,REV,right,226,2644
30,REV,right,227,2604
30,REV,right,228,2572
30,REV,right,229,2540
30,REV,right,230,2569
30,REV,right,231,2572
30,REV,right,232,2562
30,REV,right,233,2559
30,REV,right,234,2623
30,REV,right,235,2616
30,REV,right,236,2622
30,REV,right,237,2607
30,REV,right,238,2688
30,REV,right,239,2667
30,REV,right,240,2662
30,REV,right,241,2664
30,REV,right,242,2692
30,REV,right,243,2650
30,REV,right,244,2636
30,REV,right,245,2598
30,REV,right,246,2638
30,REV,right,247,2613
30,REV,right,248,2580
30,REV,right,249,2541
30,REV,right,250,2574
30,REV,right,251,2562
30,REV,right,252,2559
30,REV,right,253,2546
30,REV,right,254,2596
30,REV,right,255,2590
30,REV,right,256,2590
30,REV,right,257,2586
30,REV,right,258,2658
30,REV,right,259,2661
30,REV,right,260,2640
30,REV,right,261,2670
30,REV,right,262,2681
30,REV,right,263,2668
30,REV,right,264,2629
30,REV,right,265,2682
30,REV,right,266,2650
30,REV,right,267,2624
30,REV,right,268,2594
30,REV,right,269,2660
30,REV,right,270,2604
30,REV,right,271,2576
30,REV,right,272,2548
30,REV,right,273,2596
30,REV,right,274,2581
30,REV,right,275,2578
30,REV,right,276,2559
30,REV,right,277,2624
30,REV,right,278,2588
30,REV,right,279,2628
30,REV,right,280,2614
30,REV,right,281,2688
30,REV,right,282,2669
30,REV,right,283,2665
30,REV,right,284,2636
30,REV,right,285,2682
30,REV,right,286,2657
30,REV,right,287,2683
30,REV,right,288,2600
30,REV,right,289,2637
30,REV,right,290,2607
30,REV,right,291,2578
30,REV,right,292,2544
30,REV,right,293,2576
30,REV,right,294,2562
30,REV,right,295,2559
30,REV,right,296,2548
30,REV,right,297,2600
30,REV,right,298,2604
30,REV,right,299,2588
30,REV,right,300,2601
30,REV,right,301,2664
30,REV,right,302,2661
30,REV,right,303,2649
30,REV,right,304,2722
30,REV,right,305,2685
30,REV,right,306,2669
30,REV,right,307,2626
30,REV,right,308,2684
30,REV,right,309,2648
30,REV,right,310,2622
30,REV,right,311,2587
30,REV,right,312,2628
30,REV,right,313,2588
30,REV,right,314,2560
30,REV,right,315,2536
30,REV,right,316,2603
30,REV,right,317,2582
30,REV,right,318,2572
30,REV,right,319,2559
30,REV,right,320,2627
30,REV,right,321,2622
30,REV,right,322,2635
30,REV,right,323,2620
30,REV,right,324,2690
30,REV,right,325,2674
30,REV,right,326,2668
30,REV,right,327,2630
30,REV,right,328,2672
30,REV,right,329,2652
30,REV,right,330,2625
30,REV,right,331,2589
30,REV,right,332,2629
30,REV,right,333,2600
30,REV,right,334,2562
30,REV,right,335,2529
30,REV,right,336,2572
30,REV,right,337,2559
30,REV,right,338,2559
30,REV,right,339,2550
30,REV,right,340,2597
30,REV,right,341,2600
30,REV,right,342,2596
30,REV,right,343,2620
30,REV,right,344,2670
30,REV,right,345,2668
30,REV,right,346,2648
30,REV,right,347,2708
30,REV,right,348,2684
30,REV,right,349,2666
30,REV,right,350,2622
30,REV,right,351,2667
30,REV,right,352,2636
30,REV,right,353,2616
30,REV,right,354,2598
30,REV,right,355,2616
30,REV,right,356,2577
30,REV,right,357,2559
30,REV,right,358,2533
30,REV,right,359,2590
30,REV,right,360,2578
30,REV,right,361,2576
30,REV,right,362,2559
30,REV,right,363,2633
30,REV,right,364,2640
30,REV,right,365,2636
30,REV,right,366,2654
30,REV,right,367,2696
30,REV,right,368,2673
30,REV,right,369,2660
30,REV,right,370,2632
30,REV,right,371,2673
30,REV,right,372,2650
30,REV,right,373,2637
30,REV,right,374,2584
30,REV,right,375,2627
30,REV,right,376,2596
30,REV,right,377,2562
30,REV,right,378,2525
30,REV,right,379,2568
30,REV,right,380,2560
30,REV,right,381,2559
30,REV,right,382,2553
30,REV,right,383,2604
30,REV,right,384,2604
30,REV,right,385,2601
30,REV,right,386,2648
30,REV,right,387,2680
30,REV,right,388,2672
30,REV,right,389,2652
30,REV,right,390,2719
30,REV,right,391,2688
30,REV,right,392,2664
30,REV,right,393,2629
30,REV,right,394,2666
30,REV,right,395,2641
30,REV,right,396,2621
30,REV,right,397,2584
30,REV,right,398,2620
30,REV,right,399,2580
30,REV,right,400,2559
30,REV,right,401,2531
30,REV,right,402,2589
30,REV,right,403,2580
30,REV,right,404,2576
30,REV,right,405,2559
30,REV,right,406,2637
30,REV,right,407,2640
30,REV,right,408,2645
30,REV,right,409,2632
30,REV,right,410,2697
30,REV,right,411,2681
30,REV,right,412,2651
30,REV,right,413,2646
30,REV,right,414,2672
30,REV,right,415,2645
30,REV,right,416,2628
30,REV,right,417,2585
30,REV,right,418,2626
30,REV,right,419,2589
30,REV,right,420,2559
30,REV,right,421,2526
30,REV,right,422,2560
30,REV,right,423,2560
30,REV,right,424,2559
30,REV,right,425,2554
30,REV,right,426,2606
30,REV,right,427,2605
30,REV,right,428,2608
30,REV,right,429,2697
30,REV,right,430,2684
30,REV,right,431,2674
30,REV,right,432,2632
30,REV,right,433,2718
30,REV,right,434,2685
30,REV,right,435,2660
30,REV,right,436,2626
30,REV,right,437,2673
30,REV,right,438,2640
30,REV,right,439,2613
30,REV,right,440,2582
30,REV,right,441,2624
30,REV,right,442,2577
30,REV,right,443,2562
30,REV,right,444,2524
30,REV,right,445,2592
30,REV,right,446,2583
30,REV,right,447,2581
30,REV,right,448,2562
30,REV,right,449,2643
30,REV,right,450,2625
30,REV,right,451,2655
30,REV,right,452,2638
30,REV,right,453,2701
