duty,dir,motor,sample_idx,adc_raw
30,FWD,left,0,160
30,FWD,left,1,178
30,FWD,left,2,214
30,FWD,left,3,244
30,FWD,left,4,320
30,FWD,left,5,320
30,FWD,left,6,371
30,FWD,left,7,426
30,FWD,left,8,477
30,FWD,left,9,502
30,FWD,left,10,524
30,FWD,left,11,533
30,FWD,left,12,540
30,FWD,left,13,540
30,FWD,left,14,539
30,FWD,left,15,545
30,FWD,left,16,588
30,FWD,left,17,521
30,FWD,left,18,494
30,FWD,left,19,491
30,FWD,left,20,465
30,FWD,left,21,429
30,FWD,left,22,415
30,FWD,left,23,404
30,FWD,left,24,367
30,FWD,left,25,352
30,FWD,left,26,324
30,FWD,left,27,298
30,FWD,left,28,275
30,FWD,left,29,251
30,FWD,left,30,235
30,FWD,left,31,223
30,FWD,left,32,210
30,FWD,left,33,205
30,FWD,left,34,194
30,FWD,left,35,176
30,FWD,left,36,168
30,FWD,left,37,142
30,FWD,left,38,125
30,FWD,left,39,148
30,FWD,left,40,146
30,FWD,left,41,125
30,FWD,left,42,141
30,FWD,left,43,140
30,FWD,left,44,146
30,FWD,left,45,156
30,FWD,left,46,188
30,FWD,left,47,227
30,FWD,left,48,265
30,FWD,left,49,313
30,FWD,left,50,352
30,FWD,left,51,388
30,FWD,left,52,421
30,FWD,left,53,462
30,FWD,left,54,508
30,FWD,left,55,538
30,FWD,left,56,548
30,FWD,left,57,552
30,FWD,left,58,550
30,FWD,left,59,555
30,FWD,left,60,541
30,FWD,left,61,536
30,FWD,left,62,532
30,FWD,left,63,517
30,FWD,left,64,511
30,FWD,left,65,484
30,FWD,left,66,464
30,FWD,left,67,433
30,FWD,left,68,405
30,FWD,left,69,381
30,FWD,left,70,361
30,FWD,left,71,333
30,FWD,left,72,316
30,FWD,left,73,286
30,FWD,left,74,265
30,FWD,left,75,243
30,FWD,left,76,140
30,FWD,left,77,212
30,FWD,left,78,204
30,FWD,left,79,206
30,FWD,left,80,194
30,FWD,left,81,169
30,FWD,left,82,161
30,FWD,left,83,156
30,FWD,left,84,143
30,FWD,left,85,139
30,FWD,left,86,140
30,FWD,left,87,137
30,FWD,left,88,136
30,FWD,left,89,137
30,FWD,left,90,144
30,FWD,left,91,157
30,FWD,left,92,177
30,FWD,left,93,219
