duty,dir,motor,sample_idx,adc_raw
30,FWD,right,0,2521
30,FWD,right,1,2559
30,FWD,right,2,2585
30,FWD,right,3,2588
30,FWD,right,4,2592
30,FWD,right,5,2589
30,FWD,right,6,2594
30,FWD,right,7,2577
30,FWD,right,8,2563
30,FWD,right,9,2637
30,FWD,right,10,2619
30,FWD,right,11,2609
30,FWD,right,12,2597
30,FWD,right,13,2595
30,FWD,right,14,2579
30,FWD,right,15,2559
30,FWD,right,16,2467
30,FWD,right,17,2617
30,FWD,right,18,2576
30,FWD,right,19,2561
30,FWD,right,20,2559
30,FWD,right,21,2547
30,FWD,right,22,2533
30,FWD,right,23,2516
30,FWD,right,24,2497
30,FWD,right,25,2533
30,FWD,right,26,2511
30,FWD,right,27,2512
30,FWD,right,28,2509
30,FWD,right,29,2513
30,FWD,right,30,2512
30,FWD,right,31,2517
30,FWD,right,32,2515
30,FWD,right,33,2561
30,FWD,right,34,2559
30,FWD,right,35,2559
30,FWD,right,36,2559
30,FWD,right,37,2569
30,FWD,right,38,2547
30,FWD,right,39,2537
30,FWD,right,40,2521
30,FWD,right,41,2544
30,FWD,right,42,2537
30,FWD,right,43,2524
30,FWD,right,44,2524
30,FWD,right,45,2525
30,FWD,right,46,2521
30,FWD,right,47,2507
30,FWD,right,48,2587
30,FWD,right,49,2577
30,FWD,right,50,2579
30,FWD,right,51,2585
30,FWD,right,52,2581
30,FWD,right,53,2584
30,FWD,right,54,2573
30,FWD,right,55,2568
30,FWD,right,56,2637
30,FWD,right,57,2639
30,FWD,right,58,2611
30,FWD,right,59,2599
30,FWD,right,60,2603
30,FWD,right,61,2589
30,FWD,right,62,2569
30,FWD,right,63,2559
30,FWD,right,64,2605
30,FWD,right,65,2585
30,FWD,right,66,2571
30,FWD,right,67,2559
30,FWD,right,68,2557
30,FWD,right,69,2545
30,FWD,right,70,2523
30,FWD,right,71,2507
30,FWD,right,72,2549
30,FWD,right,73,2529
30,FWD,right,74,2509
30,FWD,right,75,2501
30,FWD,right,76,2499
30,FWD,right,77,2496
30,FWD,right,78,2505
30,FWD,right,79,2505
30,FWD,right,80,2559
30,FWD,right,81,2559
30,FWD,right,82,2547
30,FWD,right,83,2553
30,FWD,right,84,2553
30,FWD,right,85,2553
30,FWD,right,86,2531
30,FWD,right,87,2559
30,FWD,right,88,2561
30,FWD,right,89,2547
30,FWD,right,90,2536
30,FWD,right,91,2529
30,FWD,right,92,2525
30,FWD,right,93,2515
30,FWD,right,94,2505
30,FWD,right,95,2565
30,FWD,right,96,2573
30,FWD,right,97,2589
30,FWD,right,98,2577
30,FWD,right,99,2577
30,FWD,right,100,2577
30,FWD,right,101,2569
30,FWD,right,102,2559
30,FWD,right,103,2629
30,FWD,right,104,2616
30,FWD,right,105,2609
30,FWD,right,106,2600
30,FWD,right,107,2595
30,FWD,right,108,2581
30,FWD,right,109,2561
30,FWD,right,110,2559
30,FWD,right,111,2603
30,FWD,right,112,2587
30,FWD,right,113,2573
30,FWD,right,114,2559
30,FWD,right,115,2555
30,FWD,right,116,2545
30,FWD,right,117,2523
30,FWD,right,118,2515
30,FWD,right,119,2553
30,FWD,right,120,2531
30,FWD,right,121,2517
30,FWD,right,122,2495
30,FWD,right,123,2497
30,FWD,right,124,2504
30,FWD,right,125,2493
30,FWD,right,126,2509
30,FWD,right,127,2555
30,FWD,right,128,2559
30,FWD,right,129,2555
30,FWD,right,130,2555
30,FWD,right,131,2551
30,FWD,right,132,2553
30,FWD,right,133,2533
30,FWD,right,134,2573
30,FWD,right,135,2563
30,FWD,right,136,2549
30,FWD,right,137,2537
30,FWD,right,138,2539
30,FWD,right,139,2501
30,FWD,right,140,2475
30,FWD,right,141,2506
30,FWD,right,142,2559
30,FWD,right,143,2559
30,FWD,right,144,2559
30,FWD,right,145,2559
30,FWD,right,146,2568
30,FWD,right,147,2568
30,FWD,right,148,2559
30,FWD,right,149,2561
30,FWD,right,150,2625
30,FWD,right,151,2613
30,FWD,right,152,2609
30,FWD,right,153,2603
30,FWD,right,154,2597
30,FWD,right,155,2589
30,FWD,right,156,2579
30,FWD,right,157,2563
30,FWD,right,158,2611
30,FWD,right,159,2595
30,FWD,right,160,2579
30,FWD,right,161,2571
30,FWD,right,162,2559
30,FWD,right,163,2555
30,FWD,right,164,2533
30,FWD,right,165,2523
30,FWD,right,166,2559
30,FWD,right,167,2547
30,FWD,right,168,2536
30,FWD,right,169,2521
30,FWD,right,170,2501
30,FWD,right,171,2495
30,FWD,right,172,2483
30,FWD,right,173,2539
30,FWD,right,174,2545
30,FWD,right,175,2545
30,FWD,right,176,2481
30,FWD,right,177,2559
30,FWD,right,178,2553
30,FWD,right,179,2541
30,FWD,right,180,2539
30,FWD,right,181,2589
30,FWD,right,182,2569
30,FWD,right,183,2561
30,FWD,right,184,2559
30,FWD,right,185,2545
30,FWD,right,186,2531
30,FWD,right,187,2515
30,FWD,right,188,2504
30,FWD,right,189,2559
30,FWD,right,190,2555
30,FWD,right,191,2557
30,FWD,right,192,2559
30,FWD,right,193,2559
30,FWD,right,194,2561
30,FWD,right,195,2559
30,FWD,right,196,2589
30,FWD,right,197,2623
30,FWD,right,198,2621
30,FWD,right,199,2611
30,FWD,right,200,2600
30,FWD,right,201,2595
30,FWD,right,202,2585
30,FWD,right,203,2563
30,FWD,right,204,2565
30,FWD,right,205,2611
30,FWD,right,206,2593
30,FWD,right,207,2581
30,FWD,right,208,2569
30,FWD,right,209,2561
30,FWD,right,210,2553
30,FWD,right,211,2529
30,FWD,right,212,2553
30,FWD,right,213,2559
30,FWD,right,214,2549
30,FWD,right,215,2536
30,FWD,right,216,2507
30,FWD,right,217,2509
30,FWD,right,218,2491
30,FWD,right,219,2483
30,FWD,right,220,2527
30,FWD,right,221,2531
30,FWD,right,222,2533
30,FWD,right,223,2525
30,FWD,right,224,2531
30,FWD,right,225,2537
30,FWD,right,226,2537
30,FWD,right,227,2529
30,FWD,right,228,2573
30,FWD,right,229,2563
30,FWD,right,230,2559
30,FWD,right,231,2555
30,FWD,right,232,2539
30,FWD,right,233,2517
30,FWD,right,234,2499
30,FWD,right,235,2489
30,FWD,right,236,2527
30,FWD,right,237,2539
30,FWD,right,238,2541
30,FWD,right,239,2553
30,FWD,right,240,2553
30,FWD,right,241,2553
30,FWD,right,242,2555
30,FWD,right,243,2555
30,FWD,right,244,2609
