duty,dir,motor,sample_idx,adc_raw
30,REV,left,0,560
30,REV,left,1,559
30,REV,left,2,567
30,REV,left,3,574
30,REV,left,4,557
30,REV,left,5,553
30,REV,left,6,526
30,REV,left,7,505
30,REV,left,8,481
30,REV,left,9,466
30,REV,left,10,433
30,REV,left,11,412
30,REV,left,12,394
30,REV,left,13,367
30,REV,left,14,330
30,REV,left,15,306
30,REV,left,16,284
30,REV,left,17,264
30,REV,left,18,249
30,REV,left,19,230
30,REV,left,20,213
30,REV,left,21,208
30,REV,left,22,191
30,REV,left,23,178
30,REV,left,24,168
30,REV,left,25,159
30,REV,left,26,147
30,REV,left,27,138
30,REV,left,28,145
30,REV,left,29,147
30,REV,left,30,144
30,REV,left,31,141
30,REV,left,32,139
30,REV,left,33,141
30,REV,left,34,143
30,REV,left,35,163
30,REV,left,36,200
30,REV,left,37,235
30,REV,left,38,275
30,REV,left,39,318
30,REV,left,40,362
30,REV,left,41,423
30,REV,left,42,481
30,REV,left,43,511
30,REV,left,44,539
30,REV,left,45,575
30,REV,left,46,536
30,REV,left,47,532
30,REV,left,48,528
30,REV,left,49,522
30,REV,left,50,522
30,REV,left,51,507
30,REV,left,52,491
30,REV,left,53,461
30,REV,left,54,432
30,REV,left,55,405
30,REV,left,56,382
30,REV,left,57,360
30,REV,left,58,341
30,REV,left,59,310
30,REV,left,60,294
30,REV,left,61,271
30,REV,left,62,251
30,REV,left,63,234
30,REV,left,64,214
30,REV,left,65,213
30,REV,left,66,171
30,REV,left,67,157
30,REV,left,68,174
30,REV,left,69,163
30,REV,left,70,156
30,REV,left,71,150
30,REV,left,72,152
30,REV,left,73,142
30,REV,left,74,139
30,REV,left,75,138
30,REV,left,76,142
30,REV,left,77,141
30,REV,left,78,141
30,REV,left,79,142
30,REV,left,80,154
30,REV,left,81,185
30,REV,left,82,221
30,REV,left,83,273
30,REV,left,84,320
30,REV,left,85,409
30,REV,left,86,418
30,REV,left,87,458
30,REV,left,88,511
30,REV,left,89,547
30,REV,left,90,567
30,REV,left,91,577
30,REV,left,92,572
30,REV,left,93,563
30,REV,left,94,551
30,REV,left,95,534
30,REV,left,96,527
30,REV,left,97,522
30,REV,left,98,506
30,REV,left,99,485
30,REV,left,100,456
30,REV,left,101,429
30,REV,left,102,410
30,REV,left,103,374
30,REV,left,104,350
30,REV,left,105,355
30,REV,left,106,288
30,REV,left,107,280
30,REV,left,108,266
30,REV,left,109,261
30,REV,left,110,237
30,REV,left,111,218
30,REV,left,112,206
30,REV,left,113,194
30,REV,left,114,186
30,REV,left,115,180
30,REV,left,116,170
30,REV,left,117,162
30,REV,left,118,155
30,REV,left,119,154
30,REV,left,120,150
30,REV,left,121,146
30,REV,left,122,143
30,REV,left,123,145
30,REV,left,124,142
30,REV,left,125,140
30,REV,left,126,143
30,REV,left,127,158
30,REV,left,128,190
30,REV,left,129,221
30,REV,left,130,272
30,REV,left,131,312
30,REV,left,132,356
30,REV,left,133,399
30,REV,left,134,438
30,REV,left,135,483
30,REV,left,136,515
30,REV,left,137,528
30,REV,left,138,539
30,REV,left,139,530
30,REV,left,140,522
30,REV,left,141,511
30,REV,left,142,506
30,REV,left,143,502
30,REV,left,144,493
30,REV,left,145,470
30,REV,left,146,457
30,REV,left,147,416
30,REV,left,148,400
30,REV,left,149,384
30,REV,left,150,356
30,REV,left,151,318
30,REV,left,152,307
30,REV,left,153,283
30,REV,left,154,270
30,REV,left,155,251
30,REV,left,156,230
30,REV,left,157,214
30,REV,left,158,200
30,REV,left,159,187
30,REV,left,160,178
30,REV,left,161,171
30,REV,left,162,166
30,REV,left,163,158
30,REV,left,164,153
30,REV,left,165,148
30,REV,left,166,154
30,REV,left,167,145
30,REV,left,168,138
30,REV,left,169,158
30,REV,left,170,146
30,REV,left,171,145
30,REV,left,172,149
30,REV,left,173,171
30,REV,left,174,198
30,REV,left,175,250
30,REV,left,176,296
30,REV,left,177,355
30,REV,left,178,396
30,REV,left,179,440
30,REV,left,180,473
30,REV,left,181,511
30,REV,left,182,545
30,REV,left,183,578
30,REV,left,184,578
30,REV,left,185,584
30,REV,left,186,605
30,REV,left,187,579
30,REV,left,188,537
30,REV,left,189,528
30,REV,left,190,547
30,REV,left,191,511
30,REV,left,192,480
30,REV,left,193,469
30,REV,left,194,439
30,REV,left,195,409
30,REV,left,196,381
30,REV,left,197,354
30,REV,left,198,331
30,REV,left,199,303
30,REV,left,200,287
30,REV,left,201,272
30,REV,left,202,253
30,REV,left,203,236
30,REV,left,204,218
30,REV,left,205,205
30,REV,left,206,190
30,REV,left,207,224
30,REV,left,208,174
30,REV,left,209,169
30,REV,left,210,169
30,REV,left,211,162
30,REV,left,212,146
30,REV,left,213,142
30,REV,left,214,146
30,REV,left,215,144
30,REV,left,216,147
30,REV,left,217,145
30,REV,left,218,146
30,REV,left,219,149
30,REV,left,220,168
30,REV,left,221,208
30,REV,left,222,261
30,REV,left,223,310
30,REV,left,224,364
30,REV,left,225,409
30,REV,left,226,448
30,REV,left,227,481
30,REV,left,228,511
30,REV,left,229,540
30,REV,left,230,569
30,REV,left,231,571
30,REV,left,232,569
30,REV,left,233,549
30,REV,left,234,531
30,REV,left,235,511
30,REV,left,236,504
30,REV,left,237,483
30,REV,left,238,468
30,REV,left,239,443
30,REV,left,240,425
30,REV,left,241,394
30,REV,left,242,365
30,REV,left,243,336
30,REV,left,244,312
30,REV,left,245,287
30,REV,left,246,269
30,REV,left,247,251
30,REV,left,248,245
30,REV,left,249,218
30,REV,left,250,202
30,REV,left,251,188
30,REV,left,252,178
30,REV,left,253,171
30,REV,left,254,163
30,REV,left,255,161
30,REV,left,256,152
30,REV,left,257,149
30,REV,left,258,146
30,REV,left,259,140
30,REV,left,260,141
30,REV,left,261,146
30,REV,left,262,145
30,REV,left,263,150
30,REV,left,264,152
30,REV,left,265,166
30,REV,left,266,245
30,REV,left,267,203
30,REV,left,268,299
30,REV,left,269,350
30,REV,left,270,394
30,REV,left,271,457
30,REV,left,272,485
30,REV,left,273,511
30,REV,left,274,523
30,REV,left,275,545
30,REV,left,276,561
30,REV,left,277,579
30,REV,left,278,569
30,REV,left,279,560
30,REV,left,280,539
30,REV,left,281,519
30,REV,left,282,506
30,REV,left,283,492
30,REV,left,284,467
30,REV,left,285,447
30,REV,left,286,424
30,REV,left,287,395
30,REV,left,288,379
30,REV,left,289,330
30,REV,left,290,315
30,REV,left,291,298
30,REV,left,292,280
30,REV,left,293,258
30,REV,left,294,263
30,REV,left,295,227
30,REV,left,296,211
30,REV,left,297,197
30,REV,left,298,186
30,REV,left,299,174
30,REV,left,300,170
30,REV,left,301,161
30,REV,left,302,162
30,REV,left,303,153
30,REV,left,304,147
30,REV,left,305,142
30,REV,left,306,140
30,REV,left,307,139
30,REV,left,308,144
30,REV,left,309,131
30,REV,left,310,145
30,REV,left,311,156
30,REV,left,312,168
30,REV,left,313,189
30,REV,left,314,229
30,REV,left,315,318
30,REV,left,316,360
30,REV,left,317,400
30,REV,left,318,447
30,REV,left,319,478
30,REV,left,320,500
30,REV,left,321,511
30,REV,left,322,526
30,REV,left,323,541
30,REV,left,324,540
30,REV,left,325,536
30,REV,left,326,526
30,REV,left,327,511
30,REV,left,328,499
30,REV,left,329,477
30,REV,left,330,462
30,REV,left,331,446
