duty,dir,motor,sample_idx,adc_raw
30,REV,right,0,2601
30,REV,right,1,2589
30,REV,right,2,2592
30,REV,right,3,2547
30,REV,right,4,2533
30,REV,right,5,2586
30,REV,right,6,2579
30,REV,right,7,2567
30,REV,right,8,2564
30,REV,right,9,2564
30,REV,right,10,2559
30,REV,right,11,2545
30,REV,right,12,2547
30,REV,right,13,2612
30,REV,right,14,2609
30,REV,right,15,2610
30,REV,right,16,2611
30,REV,right,17,2617
30,REV,right,18,2609
30,REV,right,19,2611
30,REV,right,20,2661
30,REV,right,21,2685
30,REV,right,22,2683
30,REV,right,23,2677
30,REV,right,24,2675
30,REV,right,25,2677
30,REV,right,26,2647
30,REV,right,27,2659
30,REV,right,28,2720
30,REV,right,29,2695
30,REV,right,30,2685
30,REV,right,31,2673
30,REV,right,32,2654
30,REV,right,33,2649
30,REV,right,34,2625
30,REV,right,35,2611
30,REV,right,36,2669
30,REV,right,37,2653
30,REV,right,38,2637
30,REV,right,39,2624
30,REV,right,40,2613
30,REV,right,41,2595
30,REV,right,42,2564
30,REV,right,43,2551
30,REV,right,44,2593
30,REV,right,45,2578
30,REV,right,46,2577
30,REV,right,47,2559
30,REV,right,48,2557
30,REV,right,49,2555
30,REV,right,50,2527
30,REV,right,51,2535
30,REV,right,52,2590
30,REV,right,53,2589
30,REV,right,54,2585
30,REV,right,55,2581
30,REV,right,56,2587
30,REV,right,57,2579
30,REV,right,58,2571
30,REV,right,59,2601
30,REV,right,60,2655
30,REV,right,61,2651
30,REV,right,62,2654
30,REV,right,63,2649
30,REV,right,64,2653
30,REV,right,65,2659
30,REV,right,66,2637
30,REV,right,67,2739
30,REV,right,68,2687
30,REV,right,69,2685
30,REV,right,70,2685
30,REV,right,71,2673
30,REV,right,72,2665
30,REV,right,73,2641
30,REV,right,74,2633
30,REV,right,75,2693
30,REV,right,76,2673
30,REV,right,77,2661
30,REV,right,78,2651
30,REV,right,79,2637
30,REV,right,80,2627
30,REV,right,81,2601
30,REV,right,82,2589
30,REV,right,83,2645
30,REV,right,84,2625
30,REV,right,85,2589
30,REV,right,86,2595
30,REV,right,87,2585
30,REV,right,88,2545
30,REV,right,89,2543
30,REV,right,90,2539
30,REV,right,91,2581
30,REV,right,92,2576
30,REV,right,93,2569
30,REV,right,94,2567
30,REV,right,95,2565
30,REV,right,96,2561
30,REV,right,97,2551
30,REV,right,98,2559
30,REV,right,99,2621
30,REV,right,100,2617
30,REV,right,101,2627
30,REV,right,102,2616
30,REV,right,103,2619
30,REV,right,104,2611
30,REV,right,105,2637
30,REV,right,106,2697
30,REV,right,107,2693
30,REV,right,108,2681
30,REV,right,109,2673
30,REV,right,110,2677
30,REV,right,111,2665
30,REV,right,112,2642
30,REV,right,113,2641
30,REV,right,114,2709
30,REV,right,115,2693
30,REV,right,116,2679
30,REV,right,117,2673
30,REV,right,118,2657
30,REV,right,119,2653
30,REV,right,120,2621
30,REV,right,121,2611
30,REV,right,122,2669
30,REV,right,123,2647
30,REV,right,124,2633
30,REV,right,125,2625
30,REV,right,126,2603
30,REV,right,127,2627
30,REV,right,128,2557
30,REV,right,129,2557
30,REV,right,130,2601
30,REV,right,131,2587
30,REV,right,132,2570
30,REV,right,133,2561
30,REV,right,134,2559
30,REV,right,135,2559
30,REV,right,136,2529
30,REV,right,137,2547
30,REV,right,138,2597
30,REV,right,139,2597
30,REV,right,140,2589
30,REV,right,141,2592
30,REV,right,142,2592
30,REV,right,143,2585
30,REV,right,144,2579
30,REV,right,145,2630
30,REV,right,146,2657
30,REV,right,147,2659
30,REV,right,148,2659
30,REV,right,149,2658
30,REV,right,150,2659
30,REV,right,151,2645
30,REV,right,152,2639
30,REV,right,153,2720
30,REV,right,154,2701
30,REV,right,155,2691
30,REV,right,156,2681
30,REV,right,157,2671
30,REV,right,158,2667
30,REV,right,159,2643
30,REV,right,160,2633
30,REV,right,161,2695
30,REV,right,162,2673
30,REV,right,163,2659
30,REV,right,164,2645
30,REV,right,165,2634
30,REV,right,166,2624
30,REV,right,167,2601
30,REV,right,168,2589
30,REV,right,169,2640
30,REV,right,170,2627
30,REV,right,171,2611
30,REV,right,172,2593
30,REV,right,173,2579
30,REV,right,174,2559
30,REV,right,175,2531
30,REV,right,176,2535
30,REV,right,177,2583
30,REV,right,178,2577
30,REV,right,179,2576
30,REV,right,180,2569
30,REV,right,181,2569
30,REV,right,182,2560
30,REV,right,183,2551
30,REV,right,184,2569
30,REV,right,185,2627
30,REV,right,186,2617
30,REV,right,187,2612
30,REV,right,188,2619
30,REV,right,189,2624
30,REV,right,190,2611
30,REV,right,191,2611
30,REV,right,192,2700
30,REV,right,193,2681
30,REV,right,194,2677
30,REV,right,195,2674
30,REV,right,196,2667
30,REV,right,197,2661
30,REV,right,198,2643
30,REV,right,199,2640
30,REV,right,200,2705
30,REV,right,201,2685
30,REV,right,202,2674
30,REV,right,203,2661
30,REV,right,204,2647
30,REV,right,205,2640
30,REV,right,206,2613
30,REV,right,207,2573
30,REV,right,208,2663
30,REV,right,209,2646
30,REV,right,210,2629
30,REV,right,211,2615
30,REV,right,212,2606
30,REV,right,213,2587
30,REV,right,214,2559
30,REV,right,215,2555
30,REV,right,216,2595
30,REV,right,217,2579
30,REV,right,218,2568
30,REV,right,219,2565
30,REV,right,220,2561
30,REV,right,221,2559
30,REV,right,222,2542
30,REV,right,223,2555
30,REV,right,224,2599
30,REV,right,225,2596
30,REV,right,226,2593
30,REV,right,227,2589
30,REV,right,228,2595
30,REV,right,229,2596
30,REV,right,230,2579
30,REV,right,231,2657
30,REV,right,232,2655
30,REV,right,233,2657
30,REV,right,234,2656
30,REV,right,235,2661
30,REV,right,236,2657
30,REV,right,237,2641
30,REV,right,238,2639
30,REV,right,239,2717
30,REV,right,240,2697
30,REV,right,241,2687
30,REV,right,242,2678
30,REV,right,243,2667
30,REV,right,244,2657
30,REV,right,245,2640
30,REV,right,246,2627
30,REV,right,247,2685
30,REV,right,248,2667
30,REV,right,249,2676
30,REV,right,250,2641
30,REV,right,251,2629
30,REV,right,252,2648
30,REV,right,253,2597
30,REV,right,254,2583
30,REV,right,255,2644
30,REV,right,256,2627
30,REV,right,257,2611
30,REV,right,258,2597
30,REV,right,259,2588
30,REV,right,260,2567
30,REV,right,261,2553
30,REV,right,262,2551
30,REV,right,263,2599
30,REV,right,264,2593
30,REV,right,265,2588
30,REV,right,266,2605
30,REV,right,267,2579
30,REV,right,268,2573
30,REV,right,269,2559
30,REV,right,270,2593
30,REV,right,271,2623
30,REV,right,272,2619
30,REV,right,273,2623
30,REV,right,274,2621
30,REV,right,275,2628
30,REV,right,276,2615
30,REV,right,277,2616
30,REV,right,278,2695
30,REV,right,279,2692
30,REV,right,280,2679
30,REV,right,281,2677
30,REV,right,282,2674
30,REV,right,283,2665
30,REV,right,284,2643
30,REV,right,285,2644
30,REV,right,286,2721
30,REV,right,287,2689
30,REV,right,288,2673
30,REV,right,289,2684
30,REV,right,290,2651
30,REV,right,291,2641
30,REV,right,292,2616
30,REV,right,293,2605
30,REV,right,294,2657
30,REV,right,295,2647
30,REV,right,296,2629
30,REV,right,297,2617
30,REV,right,298,2603
30,REV,right,299,2587
30,REV,right,300,2559
30,REV,right,301,2557
30,REV,right,302,2600
30,REV,right,303,2585
30,REV,right,304,2577
30,REV,right,305,2567
30,REV,right,306,2563
30,REV,right,307,2549
30,REV,right,308,2553
30,REV,right,309,2563
30,REV,right,310,2605
30,REV,right,311,2592
30,REV,right,312,2594
30,REV,right,313,2597
30,REV,right,314,2597
30,REV,right,315,2587
30,REV,right,316,2581
30,REV,right,317,2669
30,REV,right,318,2657
30,REV,right,319,2663
30,REV,right,320,2661
30,REV,right,321,2665
30,REV,right,322,2656
30,REV,right,323,2641
30,REV,right,324,2641
30,REV,right,325,2713
30,REV,right,326,2709
30,REV,right,327,2689
30,REV,right,328,2661
30,REV,right,329,2673
30,REV,right,330,2673
30,REV,right,331,2637
30,REV,right,332,2627
30,REV,right,333,2689
30,REV,right,334,2667
30,REV,right,335,2651
30,REV,right,336,2637
30,REV,right,337,2629
30,REV,right,338,2619
30,REV,right,339,2595
30,REV,right,340,2583
30,REV,right,341,2637
30,REV,right,342,2618
30,REV,right,343,2601
30,REV,right,344,2583
30,REV,right,345,2571
30,REV,right,346,2559
30,REV,right,347,2539
30,REV,right,348,2545
30,REV,right,349,2593
30,REV,right,350,2585
30,REV,right,351,2579
30,REV,right,352,2577
30,REV,right,353,2571
30,REV,right,354,2565
30,REV,right,355,2559
30,REV,right,356,2628
30,REV,right,357,2625
30,REV,right,358,2625
30,REV,right,359,2625
30,REV,right,360,2627
30,REV,right,361,2629
30,REV,right,362,2620
30,REV,right,363,2573
30,REV,right,364,2697
30,REV,right,365,2687
30,REV,right,366,2681
30,REV,right,367,2687
30,REV,right,368,2671
30,REV,right,369,2652
30,REV,right,370,2641
30,REV,right,371,2631
30,REV,right,372,2698
30,REV,right,373,2677
30,REV,right,374,2665
30,REV,right,375,2653
30,REV,right,376,2643
30,REV,right,377,2657
30,REV,right,378,2605
30,REV,right,379,2597
30,REV,right,380,2651
