t_ms,target_hz,meas_hz,duty_pct,curr_a,err_hz,i_term,p_term
103,70.00,0.00,14.3,0.00,70.00,0.000,0.000
210,70.00,8.72,19.3,4.45,61.28,0.000,0.050
316,70.00,8.72,19.3,7.41,61.28,0.000,0.050
422,70.00,57.67,18.5,5.09,12.33,0.030,0.012
528,70.00,97.43,12.0,4.72,-27.43,-0.030,-0.027
635,70.00,97.43,12.0,3.84,-27.43,-0.030,-0.027
741,70.00,79.38,12.0,3.97,-9.38,-0.030,-0.009
847,70.00,69.99,12.0,4.03,0.01,-0.030,0.000
954,70.00,69.99,12.0,3.52,0.01,-0.030,0.000
1061,70.00,69.99,12.0,2.51,0.01,-0.030,0.000
1167,70.00,42.34,14.1,2.08,27.66,-0.030,0.028
1274,70.00,26.11,15.7,4.05,43.89,-0.030,0.044
1380,70.00,29.67,15.3,4.74,40.33,-0.030,0.040
1487,70.00,51.54,19.1,3.99,18.46,0.030,0.018
1593,70.00,51.54,19.1,6.15,18.46,0.030,0.018
1699,70.00,23.46,21.9,4.87,46.54,0.030,0.047
1805,70.00,79.88,12.0,7.29,-9.88,-0.021,-0.010
1912,70.00,79.88,12.0,3.83,-9.88,-0.030,-0.010
2018,70.00,79.88,12.0,2.47,-9.88,-0.030,-0.010
2122,70.00,79.88,12.0,2.57,-9.88,-0.030,-0.010
2227,70.00,79.88,12.0,2.61,-9.88,-0.030,-0.010
2331,70.00,79.88,12.0,2.65,-9.88,-0.030,-0.010
2436,70.00,79.88,12.0,2.69,-9.88,-0.030,-0.010
2542,70.00,79.88,12.0,2.69,-9.88,-0.030,-0.010
2646,70.00,79.88,12.0,2.68,-9.88,-0.030,-0.010
2753,70.00,69.97,12.0,2.69,0.03,-0.030,0.000
2858,70.00,69.97,12.0,2.66,0.03,-0.030,0.000
2962,70.00,69.97,12.0,2.65,0.03,-0.029,0.000
3067,70.00,69.97,12.0,2.67,0.03,-0.029,0.000
3173,70.00,45.41,13.8,2.66,24.59,-0.029,0.025
3280,70.00,88.29,12.0,4.79,-18.29,-0.030,-0.018
3386,70.00,74.35,12.0,2.48,-4.35,-0.030,-0.004
3490,70.00,74.35,12.0,2.51,-4.35,-0.030,-0.004
3597,70.00,79.68,12.0,2.55,-9.68,-0.030,-0.010
3701,70.00,79.68,12.0,2.58,-9.68,-0.030,-0.010
3808,70.00,122.71,12.0,2.62,-52.71,-0.030,-0.050
3914,70.00,105.71,12.0,2.62,-35.71,-0.030,-0.036
4021,70.00,104.03,12.0,2.59,-34.03,-0.030,-0.034
4127,70.00,93.50,12.0,2.60,-23.50,-0.030,-0.023
4233,70.00,71.35,12.0,2.60,-1.35,-0.030,-0.001
4340,70.00,37.97,14.5,2.59,32.03,-0.030,0.032
4446,70.00,37.97,14.5,5.08,32.03,-0.030,0.032
4552,70.00,37.97,14.5,5.46,32.03,-0.030,0.032
4659,70.00,22.59,16.0,6.05,47.41,-0.030,0.047
4765,70.00,14.49,16.3,7.60,55.51,-0.030,0.050
4871,70.00,20.06,16.3,7.47,49.94,-0.030,0.050
4978,70.00,20.75,16.2,7.49,49.25,-0.030,0.049
5084,70.00,20.75,16.2,7.78,49.25,-0.030,0.049
5190,70.00,20.75,16.2,8.36,49.25,-0.030,0.049
5296,70.00,20.75,16.2,9.13,49.25,-0.030,0.049
5402,70.00,20.75,16.2,8.29,49.25,-0.030,0.049
5508,70.00,13.61,16.3,8.15,56.39,-0.030,0.050
