t_ms,target_hz,meas_hz,duty_pct,curr_a,err_hz,i_term,p_term
103,400.00,0.00,46.9,-0.01,400.00,0.000,0.000
207,400.00,0.00,46.9,21.18,400.00,0.000,0.000
311,400.00,205.08,54.9,15.52,194.92,0.030,0.050
416,400.00,218.75,54.9,18.91,181.25,0.030,0.050
520,400.00,366.41,54.9,12.29,33.59,0.030,0.050
624,400.00,417.54,44.5,10.41,-17.54,0.012,-0.035
728,400.00,432.88,40.9,4.03,-32.88,-0.010,-0.050
832,400.00,420.39,41.8,3.52,-20.39,-0.010,-0.041
937,400.00,399.55,46.0,5.24,0.45,-0.010,0.001
1042,400.00,393.30,47.9,8.10,6.70,-0.003,0.013
1146,400.00,388.01,50.2,9.19,11.99,0.010,0.024
1251,400.00,400.09,47.8,10.82,-0.09,0.009,-0.000
1355,400.00,400.30,47.7,8.02,-0.30,0.009,-0.001
1459,400.00,396.95,48.7,8.03,3.05,0.012,0.006
1563,400.00,399.36,48.3,8.53,0.64,0.013,0.001
1667,400.00,400.08,48.1,8.11,-0.08,0.013,-0.000
1772,400.00,403.72,47.0,8.09,-3.72,0.009,-0.007
1876,400.00,397.97,48.4,7.61,2.03,0.011,0.004
1980,400.00,406.50,46.0,8.37,-6.50,0.005,-0.013
2084,400.00,368.04,54.9,7.07,31.96,0.030,0.050
2188,400.00,373.60,54.9,15.72,26.40,0.030,0.050
2292,400.00,429.95,41.8,11.25,-29.95,-0.001,-0.050
2397,400.00,416.09,42.6,2.81,-16.09,-0.010,-0.032
2501,400.00,408.52,44.1,4.65,-8.52,-0.010,-0.017
2605,400.00,372.07,53.7,6.60,27.93,0.019,0.050
2710,400.00,408.98,46.0,15.52,-8.98,0.009,-0.018
2814,400.00,382.46,53.1,6.20,17.54,0.027,0.035
2918,400.00,401.85,49.0,11.87,-1.85,0.025,-0.004
3022,400.00,407.66,47.1,7.68,-7.66,0.018,-0.015
3126,400.00,419.66,42.7,6.81,-19.66,-0.003,-0.039
3231,400.00,399.34,46.8,4.80,0.66,-0.002,0.001
3335,400.00,393.24,48.7,7.94,6.76,0.005,0.014
3439,400.00,394.83,48.9,8.97,5.17,0.010,0.010
3544,400.00,395.30,49.3,8.80,4.70,0.015,0.009
3648,400.00,402.28,47.7,8.86,-2.28,0.013,-0.005
3752,400.00,397.54,48.9,7.79,2.46,0.015,0.005
3856,400.00,402.95,47.5,8.45,-2.95,0.012,-0.006
3960,400.00,408.00,45.7,7.65,-8.00,0.004,-0.016
4064,400.00,375.33,54.7,6.98,24.67,0.029,0.049
4169,400.00,409.96,46.8,15.47,-9.96,0.019,-0.020
4273,400.00,396.43,49.9,6.12,3.57,0.023,0.007
4377,400.00,406.04,47.3,8.45,-6.04,0.017,-0.012
4481,400.00,408.92,45.8,7.08,-8.92,0.008,-0.018
4586,400.00,402.95,46.7,6.68,-2.95,0.005,-0.006
4690,400.00,397.74,48.0,7.51,2.26,0.007,0.005
4794,400.00,396.18,48.7,8.29,3.82,0.011,0.008
4898,400.00,405.96,46.1,8.62,-5.96,0.005,-0.012
5002,400.00,402.06,46.7,7.17,-2.06,0.003,-0.004
5106,400.00,404.31,45.8,7.69,-4.31,-0.002,-0.009
5211,400.00,394.73,48.3,7.37,5.27,0.004,0.011
5315,400.00,395.27,48.6,8.77,4.73,0.008,0.009
5419,400.00,392.02,50.1,8.68,7.98,0.017,0.016
5524,400.00,401.30,48.1,9.61,-1.30,0.015,-0.003
5628,400.00,404.08,47.1,7.93,-4.08,0.011,-0.008
5732,400.00,408.33,45.4,7.49,-8.33,0.003,-0.017
5836,400.00,375.43,54.5,6.77,24.57,0.028,0.049
5940,400.00,379.23,54.0,15.51,20.77,0.030,0.042
6045,400.00,424.80,42.3,10.59,-24.80,0.005,-0.050
6149,400.00,404.30,46.0,3.54,-4.30,0.000,-0.009
6253,400.00,387.89,50.5,6.72,12.11,0.013,0.024
6357,400.00,403.48,47.1,9.67,-3.48,0.009,-0.007
6461,400.00,404.73,46.3,7.25,-4.73,0.004,-0.009
6566,400.00,377.77,54.0,7.20,22.23,0.027,0.044
6670,400.00,393.60,51.1,14.25,6.40,0.030,0.013
6774,400.00,425.70,42.2,8.66,-25.70,0.004,-0.050
6878,400.00,421.65,41.5,3.96,-21.65,-0.010,-0.043
6983,400.00,393.10,47.9,4.79,6.90,-0.003,0.014
7087,400.00,384.53,51.2,9.02,15.47,0.013,0.031
7191,400.00,395.63,49.5,11.67,4.37,0.017,0.009
7295,400.00,409.22,45.8,8.66,-9.22,0.008,-0.018
7399,400.00,392.78,49.8,6.67,7.22,0.015,0.014
7503,400.00,401.53,47.9,9.25,-1.53,0.014,-0.003
7607,400.00,400.73,48.0,7.77,-0.73,0.013,-0.001
7712,400.00,410.75,44.9,7.92,-10.75,0.002,-0.021
7816,400.00,400.08,47.0,6.48,-0.08,0.002,-0.000
7920,400.00,393.46,49.0,7.92,6.54,0.009,0.013
8024,400.00,401.73,47.2,9.02,-1.73,0.007,-0.003
