t_ms,tgt_L,tgt_R,meas_L,meas_R,duty_L_pct,duty_R_pct,raw_L,raw_R
205,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
412,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
619,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
825,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
1031,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
1237,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
1443,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
1649,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
1855,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
2061,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
2268,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
2474,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
2680,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
2886,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
3093,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
3299,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
3505,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
3711,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
3918,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
4124,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
4330,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
4536,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
4742,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
4948,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
5155,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
5361,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
5567,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
5773,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
5979,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
6186,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
6392,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
6598,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
6804,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
7010,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
7216,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
7423,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
7629,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
7835,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
8041,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
8247,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
8454,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
8660,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
8866,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
9072,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
9278,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
9484,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
9690,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
9897,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
10103,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
10309,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
10515,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
10721,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
10928,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
11134,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
11340,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
11546,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
11753,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
11959,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
12165,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
12371,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
12577,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
12784,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
12990,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
13196,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
13402,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
13608,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
13815,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
14021,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
14227,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
14433,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
14639,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
14846,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
15052,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
15258,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
15465,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
15671,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
15877,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
16083,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
16290,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
16496,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
16702,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
16908,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
17115,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
17321,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
17527,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
17733,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
17939,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
18146,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
18352,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
18558,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
18764,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
18970,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
19177,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
19383,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
19589,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
19795,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
20001,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
20207,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
20414,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
20620,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
20826,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
21032,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
21239,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
21445,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
21651,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
21857,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
22063,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
22270,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
22476,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
22682,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
22888,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
23095,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
23301,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
23507,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
23713,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
23919,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
24126,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
