t_ms,tgt_L,tgt_R,meas_L,meas_R,duty_L_pct,duty_R_pct,raw_L,raw_R
205,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
411,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
618,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
824,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
1030,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
1236,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
1442,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
1648,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
1854,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
2061,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
2267,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
2473,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
2679,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
2885,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
3092,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
3298,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
3504,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
3710,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
3916,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
4122,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
4328,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
4535,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
4741,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
4947,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
5153,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
5359,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
5566,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
5772,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
5978,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
6184,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
6391,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
6597,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
6803,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
7009,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
7216,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
7422,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
7628,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
7834,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
8040,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
8246,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
8453,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
8659,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
8865,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
9071,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
9278,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
9484,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
9690,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
9896,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
10102,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
10309,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
10515,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
10721,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
10927,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
11133,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
11339,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
11545,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
11752,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
11958,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
12164,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
12370,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
12576,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
12782,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
12988,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
13195,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
13401,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
13607,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
13813,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
14020,282.0,282.0,0.0,0.0,35.2,35.2,0.0,0.0
