t_ms,target_hz,meas_hz,duty_pct,curr_a,err_hz,i_term,p_term
0,0.00,0.00,0.0,0.01,0.00,0.000,0.000
105,49.34,0.00,20.0,0.00,49.34,0.000,0.000
209,97.06,0.00,20.0,9.98,97.06,0.000,0.000
313,142.31,75.20,29.4,5.60,67.11,0.030,0.050
417,183.84,118.26,33.5,14.10,65.58,0.030,0.050
522,220.80,196.12,37.1,11.57,24.68,0.030,0.049
626,251.41,236.57,38.2,11.12,14.84,0.030,0.030
730,275.14,269.21,38.7,8.95,5.92,0.030,0.012
834,291.24,296.10,37.6,8.04,-4.86,0.025,-0.010
939,299.21,290.49,41.6,6.76,8.73,0.030,0.017
1043,298.60,309.31,36.6,10.08,-10.71,0.019,-0.021
1147,289.45,308.13,32.2,5.89,-18.68,-0.000,-0.037
1252,271.71,300.93,26.2,4.51,-29.22,-0.030,-0.050
1357,245.88,261.18,25.6,3.05,-15.30,-0.030,-0.031
1461,212.98,256.09,20.4,4.08,-43.11,-0.030,-0.050
1566,173.28,227.22,20.0,2.35,-53.93,-0.030,-0.050
1670,128.67,211.72,20.0,3.80,-83.05,-0.030,-0.050
1774,80.05,179.73,20.0,4.48,-99.68,-0.030,-0.050
1879,28.35,194.05,20.0,4.63,-165.70,-0.030,-0.050
1983,-23.90,0.00,0.0,-0.19,-23.90,0.000,0.000
2087,-75.61,-0.00,-20.0,-0.14,-75.61,0.000,0.000
2191,-125.19,-0.00,-20.0,7.52,-125.19,0.000,0.000
2295,-171.06,-71.78,-32.3,6.69,-99.29,-0.030,-0.050
2400,-212.13,-113.82,-36.3,12.97,-98.31,-0.030,-0.050
2504,-246.27,-177.70,-39.7,10.64,-68.57,-0.030,-0.050
2609,-272.95,-231.04,-42.3,10.07,-41.91,-0.030,-0.050
2713,-290.75,-274.39,-42.3,9.85,-16.36,-0.030,-0.033
2818,-299.31,-283.98,-43.0,8.48,-15.33,-0.030,-0.031
2922,-298.11,-300.53,-39.1,8.34,2.42,-0.028,0.005
3027,-287.04,-308.91,-31.8,9.03,21.87,-0.005,0.044
3131,-266.57,-301.17,-25.7,7.87,34.59,0.030,0.050
3236,-236.91,-274.92,-22.8,5.67,38.01,0.030,0.050
3340,-199.49,-219.20,-20.1,5.64,19.70,0.030,0.039
3444,-155.25,-270.84,-20.0,6.45,115.59,0.030,0.050
3549,-105.11,-224.81,-20.0,7.41,119.70,0.030,0.050
