t_ms,target_hz,meas_hz,duty_pct,curr_a,err_hz,i_term,p_term
0,300.00,0.00,37.0,-0.00,300.00,0.000,0.000
106,325.49,0.00,39.5,20.44,325.49,0.000,0.000
211,350.85,170.90,50.0,14.27,179.96,0.030,0.050
315,376.08,181.15,52.5,19.18,194.93,0.030,0.050
419,401.41,334.62,55.0,15.02,66.79,0.030,0.050
524,427.09,408.00,56.3,13.74,19.09,0.030,0.038
628,450.00,440.27,56.7,12.42,9.73,0.030,0.019
732,450.00,449.95,54.8,11.02,0.05,0.030,0.000
837,450.00,459.69,51.9,8.93,-9.69,0.020,-0.019
942,450.00,462.61,50.0,7.19,-12.61,0.007,-0.025
1046,450.00,439.57,55.7,6.58,10.43,0.018,0.021
1150,450.00,449.74,53.6,11.34,0.26,0.018,0.001
1255,450.00,445.96,54.8,8.85,4.04,0.022,0.008
1359,450.00,451.66,53.5,9.71,-1.66,0.021,-0.003
1463,450.00,449.95,53.9,8.72,0.05,0.021,0.000
1568,450.00,452.86,53.0,8.98,-2.86,0.018,-0.006
1672,450.00,453.73,52.4,8.44,-3.73,0.014,-0.007
1777,450.00,450.57,53.0,8.30,-0.57,0.013,-0.001
1881,430.91,453.04,44.5,8.78,-22.13,-0.009,-0.044
1986,403.64,433.28,41.2,4.13,-29.63,-0.010,-0.050
2090,376.52,413.67,38.5,3.94,-37.16,-0.010,-0.050
2194,349.27,394.12,35.8,4.02,-44.85,-0.010,-0.050
2299,321.65,364.33,33.1,4.04,-42.68,-0.010,-0.050
2403,294.16,338.30,30.4,4.03,-44.14,-0.010,-0.050
2508,266.29,309.99,27.7,4.00,-43.69,-0.010,-0.050
2612,238.57,284.40,24.9,3.86,-45.84,-0.010,-0.050
2717,210.45,263.06,22.1,3.66,-52.61,-0.010,-0.050
2821,182.48,229.31,20.0,3.42,-46.83,-0.010,-0.050
2926,154.11,195.26,20.0,3.61,-41.15,-0.010,-0.050
3030,150.00,188.46,20.0,4.39,-38.46,-0.010,-0.050
3135,150.00,193.26,20.0,4.61,-43.26,-0.010,-0.050
3239,150.00,163.93,20.0,4.40,-13.93,-0.010,-0.028
3343,150.00,165.39,20.0,4.12,-15.39,-0.010,-0.031
3448,150.00,182.92,20.0,4.05,-32.92,-0.010,-0.050
3553,150.00,140.32,24.1,4.00,9.68,-0.000,0.019
3657,150.00,144.64,23.8,6.92,5.36,0.005,0.011
3762,150.00,152.77,21.9,5.35,-2.77,0.003,-0.006
3866,150.00,165.46,20.0,4.22,-15.46,-0.010,-0.031
3971,150.00,141.92,23.6,4.17,8.08,-0.002,0.016
4075,164.78,145.12,29.4,5.79,19.66,0.018,0.039
4179,194.43,173.42,33.8,10.53,21.02,0.030,0.042
4284,224.51,212.67,34.9,11.07,11.84,0.030,0.024
4388,254.43,251.79,36.0,8.36,2.64,0.030,0.005
4492,284.50,263.53,42.6,7.89,20.97,0.030,0.042
4597,314.99,277.30,46.5,14.04,37.69,0.030,0.050
4701,345.33,329.28,47.7,13.71,16.04,0.030,0.032
4805,375.80,361.97,50.2,10.89,13.84,0.030,0.028
4910,406.72,385.45,54.8,11.84,21.27,0.030,0.043
5014,437.48,413.00,58.4,15.39,24.49,0.030,0.049
5118,450.00,424.68,59.8,16.06,25.32,0.030,0.050
5222,450.00,462.37,51.0,13.28,-12.37,0.017,-0.025
5327,450.00,470.25,47.4,5.21,-20.25,-0.003,-0.041
5431,450.00,455.53,49.8,4.45,-5.53,-0.009,-0.011
5536,450.00,437.44,54.7,7.29,12.56,0.004,0.025
5640,450.00,438.85,55.5,11.02,11.15,0.015,0.022
5744,450.00,442.69,55.5,11.05,7.31,0.023,0.015
5849,450.00,460.93,50.8,10.09,-10.93,0.012,-0.022
5953,450.00,421.97,59.8,6.84,28.03,0.030,0.050
6057,445.95,420.54,59.4,15.86,25.41,0.030,0.050
6162,413.24,464.54,42.2,11.67,-51.30,-0.010,-0.050
6266,380.70,416.22,38.9,-1.11,-35.52,-0.010,-0.050
6370,347.99,411.97,35.7,1.08,-63.98,-0.010,-0.050
6475,314.82,383.36,32.4,2.10,-68.54,-0.010,-0.050
6579,281.80,347.43,29.2,2.49,-65.63,-0.010,-0.050
6684,248.31,322.98,25.9,2.69,-74.67,-0.010,-0.050
6789,214.65,284.88,22.6,2.58,-70.24,-0.010,-0.050
6893,181.15,242.69,20.0,2.32,-61.54,-0.010,-0.050
6998,150.00,209.53,20.0,2.65,-59.53,-0.010,-0.050
7102,150.00,196.16,20.0,3.93,-46.16,-0.010,-0.050
7207,150.00,164.80,20.0,4.49,-14.80,-0.010,-0.030
7311,150.00,199.83,20.0,4.45,-49.83,-0.010,-0.050
7416,150.00,169.32,20.0,4.20,-19.32,-0.010,-0.039
7520,150.00,167.01,20.0,4.00,-17.01,-0.010,-0.034
7625,150.00,142.39,23.5,3.94,7.61,-0.002,0.015
7729,150.00,138.42,25.5,6.28,11.58,0.010,0.023
7833,150.00,154.32,21.8,6.88,-4.32,0.005,-0.009
7938,164.66,200.10,20.0,4.21,-35.45,-0.010,-0.050
8042,200.01,176.24,33.3,4.33,23.77,0.014,0.048
8147,235.89,186.17,38.7,14.94,49.72,0.030,0.050
8251,271.60,240.42,42.2,13.82,31.18,0.030,0.050
8355,307.49,273.79,45.7,12.38,33.71,0.030,0.050
8460,343.91,324.81,48.1,12.81,19.10,0.030,0.038
8564,380.16,357.21,52.5,12.09,22.95,0.030,0.046
8668,416.60,390.85,56.5,14.74,25.74,0.030,0.050
8773,450.00,418.04,59.8,15.93,31.96,0.030,0.050
8877,450.00,429.61,58.9,15.92,20.39,0.030,0.041
8981,450.00,470.68,48.5,10.81,-20.68,0.009,-0.041
9086,450.00,469.33,46.9,3.87,-19.33,-0.010,-0.039
9190,450.00,445.00,52.3,4.39,5.00,-0.005,0.010
9295,450.00,441.12,54.0,8.87,8.88,0.004,0.018
9399,450.00,443.37,54.2,9.91,6.63,0.011,0.013
9503,450.00,444.05,54.7,9.71,5.95,0.017,0.012
9608,445.57,444.25,53.5,9.79,1.32,0.018,0.003
9712,407.23,444.31,41.6,8.71,-37.08,-0.010,-0.050
9817,368.31,423.82,37.7,1.94,-55.51,-0.010,-0.050
9921,329.57,400.58,33.9,1.96,-71.02,-0.010,-0.050
10026,290.24,369.69,30.0,2.04,-79.44,-0.010,-0.050
10131,250.71,329.66,26.1,2.01,-78.94,-0.010,-0.050
10235,211.35,307.39,22.2,1.78,-96.04,-0.010,-0.050
10340,171.41,273.37,20.0,1.31,-101.96,-0.010,-0.050
10444,150.00,208.48,20.0,2.35,-58.48,-0.010,-0.050
10549,150.00,199.26,20.0,3.81,-49.26,-0.010,-0.050
10653,150.00,186.24,20.0,4.42,-36.24,-0.010,-0.050
10758,150.00,230.19,20.0,4.45,-80.19,-0.010,-0.050
10863,150.00,178.43,20.0,4.19,-28.43,-0.010,-0.050
10967,150.00,217.59,20.0,3.98,-67.59,-0.010,-0.050
11072,150.00,154.14,20.3,3.91,-4.14,-0.010,-0.008
11176,154.36,131.69,28.5,4.03,22.67,0.013,0.045
11281,196.27,148.88,34.7,11.56,47.39,0.030,0.050
11385,238.00,208.73,38.9,13.25,29.28,0.030,0.050
11490,280.37,243.77,43.0,12.25,36.60,0.030,0.050
11594,322.56,281.63,47.2,12.86,40.93,0.030,0.050
11699,365.39,330.58,51.4,13.88,34.81,0.030,0.050
11803,408.04,365.78,55.6,14.99,42.26,0.030,0.050
11907,450.00,372.92,59.8,15.93,77.08,0.030,0.050
12012,450.00,392.15,59.8,16.88,57.85,0.030,0.050
12116,450.00,456.02,53.0,12.03,-6.02,0.024,-0.012
12221,450.00,461.51,50.7,6.17,-11.51,0.012,-0.023
12325,450.00,466.58,48.0,5.52,-16.58,-0.005,-0.033
12429,450.00,451.01,51.0,5.11,-1.01,-0.006,-0.002
12534,450.00,436.08,55.4,8.11,13.92,0.008,0.028
12638,440.90,441.86,51.4,11.54,-0.96,0.007,-0.002
12743,395.64,440.18,40.4,7.73,-44.53,-0.010,-0.050
12847,350.56,415.74,36.0,1.89,-65.18,-0.010,-0.050
12952,304.79,398.16,31.5,1.22,-93.37,-0.010,-0.050
13057,258.76,365.54,26.9,1.20,-106.78,-0.010,-0.050
13161,212.91,304.49,22.4,0.95,-91.57,-0.010,-0.050
13266,166.36,269.08,20.0,0.28,-102.72,-0.010,-0.050
13370,150.00,237.95,20.0,1.74,-87.95,-0.010,-0.050
13475,150.00,208.10,20.0,3.66,-58.10,-0.010,-0.050
13579,150.00,182.06,20.0,4.32,-32.06,-0.010,-0.050
13684,150.00,205.01,20.0,4.42,-55.01,-0.010,-0.050
13788,150.00,160.62,20.0,4.19,-10.62,-0.010,-0.021
13893,150.00,195.16,20.0,3.96,-45.16,-0.010,-0.050
13998,165.74,164.50,23.1,3.89,1.24,-0.009,0.002
14102,214.02,148.47,36.5,5.84,65.55,0.030,0.050
14206,262.59,150.50,41.3,17.49,112.09,0.030,0.050
14311,311.90,233.14,46.2,14.60,78.77,0.030,0.050
14415,361.04,288.69,51.0,14.76,72.35,0.030,0.050
14519,410.46,346.37,55.9,15.71,64.09,0.030,0.050
14624,450.00,343.17,59.8,16.80,106.83,0.030,0.050
14728,450.00,369.55,59.8,16.61,80.45,0.030,0.050
14832,450.00,452.66,54.0,11.91,-2.66,0.027,-0.005
14937,450.00,467.34,49.3,6.68,-17.34,0.010,-0.035
15041,450.00,447.82,53.4,4.56,2.18,0.012,0.004
15146,450.00,455.63,51.3,8.40,-5.63,0.006,-0.011
15250,433.81,444.31,47.6,7.37,-10.49,-0.005,-0.021
15354,381.98,440.91,39.1,5.61,-58.93,-0.010,-0.050
15459,329.34,409.13,33.9,1.82,-79.79,-0.010,-0.050
15563,276.88,379.09,28.7,0.95,-102.21,-0.010,-0.050
15668,223.59,349.57,23.4,0.31,-125.97,-0.010,-0.050
15772,170.49,279.19,20.0,-0.54,-108.69,-0.010,-0.050
15877,150.00,244.40,20.0,0.47,-94.40,-0.010,-0.050
15982,150.00,203.20,20.0,3.38,-53.20,-0.010,-0.050
16086,150.00,187.43,20.0,4.16,-37.43,-0.010,-0.050
16191,150.00,196.36,20.0,4.41,-46.36,-0.010,-0.050
16295,150.00,181.96,20.0,4.26,-31.96,-0.010,-0.050
16400,157.14,170.80,20.0,4.00,-13.65,-0.010,-0.027
16504,212.59,198.21,31.7,3.89,14.37,0.005,0.029
16608,268.38,168.84,41.9,14.55,99.54,0.030,0.050
16713,325.05,166.86,47.5,17.74,158.19,0.030,0.050
16817,381.55,244.88,53.0,16.63,136.66,0.030,0.050
16921,438.40,299.05,58.6,17.26,139.35,0.030,0.050
17026,450.00,325.56,59.8,18.26,124.44,0.030,0.050
17130,450.00,436.05,57.6,13.75,13.95,0.030,0.028
17234,450.00,472.61,47.9,9.41,-22.61,0.007,-0.045
17339,450.00,466.49,47.5,3.67,-16.49,-0.010,-0.033
17443,450.00,447.56,51.5,4.64,2.44,-0.008,0.005
17548,411.15,438.47,42.0,8.33,-27.31,-0.010,-0.050
17652,351.71,422.07,36.1,3.51,-70.36,-0.010,-0.050
17757,291.31,389.80,30.1,1.49,-98.49,-0.010,-0.050
17861,231.09,359.62,24.2,0.12,-128.52,-0.010,-0.050
17966,169.90,302.71,20.0,-0.94,-132.81,-0.010,-0.050
18070,150.00,244.62,20.0,-0.15,-94.62,-0.010,-0.050
18175,150.00,213.52,20.0,3.19,-63.52,-0.010,-0.050
18279,150.00,200.78,20.0,4.02,-50.78,-0.010,-0.050
18384,150.00,186.70,20.0,4.40,-36.70,-0.010,-0.050
18489,150.00,202.98,20.0,4.29,-52.98,-0.010,-0.050
18593,204.02,166.85,35.3,4.02,37.17,0.028,0.050
18697,267.49,145.76,41.8,17.16,121.73,0.030,0.050
18802,332.00,218.04,48.1,15.85,113.96,0.030,0.050
18906,396.33,260.24,54.5,16.75,136.09,0.030,0.050
19010,450.00,283.15,59.8,17.97,166.85,0.030,0.050
19115,450.00,307.11,59.8,18.36,142.89,0.030,0.050
19219,450.00,430.51,58.7,12.50,19.49,0.030,0.039
19323,450.00,467.53,49.5,9.95,-17.53,0.012,-0.035
19428,450.00,475.22,45.8,3.97,-25.22,-0.010,-0.050
19532,407.21,439.93,41.6,3.59,-32.72,-0.010,-0.050
19637,339.11,415.67,34.8,2.97,-76.56,-0.010,-0.050
19741,271.19,394.72,28.1,0.46,-123.53,-0.010,-0.050
19846,202.14,330.33,21.3,-1.10,-128.19,-0.010,-0.050
19951,150.00,228.98,20.0,-1.67,-78.98,-0.010,-0.050
20055,150.00,208.83,20.0,1.67,-58.83,-0.010,-0.050
20160,150.00,209.62,20.0,3.55,-59.62,-0.010,-0.050
20264,150.00,185.93,20.0,4.23,-35.93,-0.010,-0.050
20369,150.00,195.92,20.0,4.36,-45.92,-0.010,-0.050
20473,220.38,168.15,37.1,4.13,52.23,0.030,0.050
20578,292.90,146.15,44.3,17.97,146.76,0.030,0.050
20682,365.24,207.91,51.4,17.15,157.34,0.030,0.050
20787,438.80,246.94,58.7,18.03,191.86,0.030,0.050
