t_ms,phase,duty_pct,meas_hz,curr_a
103,PRE,0.0,0.00,-0.00
207,PRE,0.0,0.00,-0.00
310,PRE,0.0,0.00,0.00
415,PRE,0.0,0.00,0.00
518,PRE,0.0,0.00,-0.00
622,POST,50.0,68.36,55.08
726,POST,50.0,341.80,27.76
829,POST,50.0,361.33,13.63
933,POST,50.0,366.21,11.00
1037,POST,50.0,390.62,10.22
1141,POST,50.0,385.74,9.76
1245,POST,50.0,390.62,9.33
1349,POST,50.0,385.74,9.17
1452,POST,50.0,385.74,9.22
1556,POST,50.0,390.62,9.21
1660,POST,50.0,385.74,9.02
1764,POST,50.0,390.62,9.26
1868,POST,50.0,390.62,9.27
1972,POST,50.0,390.62,9.05
2076,POST,50.0,390.62,8.93
2180,POST,50.0,390.62,8.94
2283,POST,50.0,395.51,9.00
2387,POST,50.0,395.51,8.85
2491,POST,50.0,390.62,8.82
2595,POST,50.0,390.62,8.99
