t_ms,duty_cmd_pct,meas_hz,curr_a,pkpk_adc,zc_count
0,0.0,0.00,-0.00,49,2
107,8.9,0.00,-0.19,35,0
211,17.3,0.00,7.90,1008,1
316,25.0,0.00,11.62,1169,2
422,31.5,0.00,13.28,1035,2
527,36.3,0.00,12.59,1008,2
633,39.2,0.00,11.14,758,2
738,40.0,227.74,8.88,509,40
844,38.4,328.36,6.83,270,67
950,34.5,12.59,5.37,165,2
1055,28.5,197.63,3.79,313,12
1161,20.6,20.88,-0.20,616,2
1267,11.3,10.59,-0.20,314,1
1373,1.1,0.00,-0.25,88,1
1479,-9.2,110.50,-0.41,54,7
1585,-19.1,0.00,7.02,555,1
1690,-27.7,0.00,10.54,696,2
1796,-34.4,0.00,11.57,676,2
1902,-38.7,0.00,10.60,489,2
2007,-40.0,109.20,9.03,342,11
2113,-38.2,274.39,7.73,189,50
2219,-33.3,289.26,8.40,254,57
2325,-25.5,0.00,6.37,573,2
2431,-15.5,0.00,0.79,558,2
2536,-4.0,0.00,-0.27,478,1
2642,8.0,0.00,-0.35,33,0
2746,19.3,0.00,8.82,1014,1
2852,29.1,0.00,15.01,1123,2
2957,36.1,0.00,14.78,996,2
3063,39.7,0.00,12.00,867,2
3168,39.2,320.96,7.65,458,66
3274,34.6,197.53,5.29,121,22
3380,26.0,17.92,2.23,520,4
3485,14.6,0.00,-1.17,509,2
3591,1.2,0.00,-0.42,104,2
3697,-12.6,0.00,-0.66,54,1
3803,-25.0,0.00,10.11,994,1
3909,-34.4,0.00,13.07,956,2
4014,-39.4,0.00,11.23,640,2
4120,-39.2,204.50,8.33,301,37
4226,-33.7,224.26,8.70,277,55
4332,-23.2,96.93,3.77,775,1
4437,-9.3,0.00,1.81,565,1
4543,6.4,0.00,-0.41,154,1
4649,21.3,0.00,11.42,1494,1
4754,32.9,0.00,16.73,1092,2
4860,39.3,0.00,15.20,970,2
4966,39.0,218.28,8.34,564,23
5071,31.9,0.00,4.36,371,1
5177,18.7,0.00,-1.72,610,2
5283,1.9,0.00,-0.59,69,2
5389,-15.6,0.00,4.55,396,1
5494,-30.1,0.00,13.87,1171,2
5600,-38.7,0.00,13.74,932,2
5706,-39.0,146.20,8.73,338,13
5811,-30.7,275.86,8.08,287,56
5917,-15.1,0.00,0.47,716,1
6023,4.3,0.00,-0.43,361,1
6129,23.1,0.00,13.83,1539,1
6234,36.1,0.00,18.07,988,2
6340,39.9,0.00,13.28,1028,2
6445,32.9,12.72,4.71,236,1
6551,16.3,0.00,-1.91,611,1
6657,-5.3,0.00,-0.81,39,0
6761,-25.4,0.00,10.86,1295,1
6866,-38.0,0.00,15.44,974,2
6972,-38.5,33.44,8.99,376,5
7078,-25.8,0.00,6.44,503,2
7183,-3.9,0.00,-0.51,503,1
7289,19.9,0.00,10.57,1570,2
7395,36.6,0.00,18.93,1025,2
7501,38.9,0.00,11.88,918,2
7606,25.4,12.45,1.69,717,1
7712,0.6,0.00,-0.71,392,1
7818,-24.9,0.00,10.47,1059,1
7923,-39.2,0.00,16.19,948,2
8029,-34.9,0.00,6.98,404,1
8135,-12.9,0.00,0.69,569,1
8241,16.3,0.00,9.60,1323,2
8346,36.9,0.00,19.66,1237,1
8452,37.1,0.00,9.91,757,1
8557,15.4,0.00,-1.98,837,1
8663,-16.3,0.00,5.26,574,1
8769,-38.0,0.00,18.07,1130,1
8875,-34.4,0.00,7.15,434,1
8980,-6.7,0.00,-0.51,435,1
9086,26.6,0.00,16.76,1558,1
9192,39.9,0.00,18.65,809,2
9297,21.5,0.00,-1.12,1238,1
9403,-15.3,74.21,2.64,302,6
9509,-39.3,0.00,18.80,1194,1
9614,-27.6,198.24,7.95,392,1
9720,10.8,0.00,0.42,494,1
9826,38.9,0.00,20.74,1515,1
9931,26.5,0.00,3.47,891,1
10037,-15.4,0.00,2.69,463,2
