t_ms,duty_cmd_pct,meas_hz,curr_a,pkpk_adc,zc_count
0,0.0,0.00,-0.00,34,0
105,7.4,0.00,-0.15,31,0
209,14.7,0.00,4.93,399,1
315,22.3,0.00,10.56,1213,2
421,29.9,0.00,13.92,1115,2
526,35.0,0.00,12.69,1038,2
632,35.0,243.65,7.93,446,50
738,35.0,283.76,6.87,364,58
843,35.0,288.27,6.60,333,58
949,35.0,290.00,6.43,296,59
1054,35.0,293.52,6.36,285,59
1160,35.0,292.34,6.35,278,59
1266,35.0,292.04,6.40,299,60
1371,35.0,292.04,6.39,286,59
1477,30.5,94.94,5.01,101,16
1583,22.2,14.22,1.62,573,2
1688,13.9,12.22,-0.55,415,2
1794,5.4,0.00,-0.22,202,1
1900,-3.2,28.41,-0.31,51,2
2006,-11.8,0.00,-0.50,49,1
2112,-20.6,0.00,7.81,678,1
2218,-29.3,0.00,11.03,726,2
2323,-35.0,0.00,11.01,603,2
2429,-35.0,200.21,8.12,260,32
2535,-35.0,253.04,7.43,242,52
2641,-35.0,257.73,7.22,229,52
2746,-35.0,258.96,7.25,225,51
2852,-35.0,262.10,7.30,196,53
2958,-35.0,261.83,7.33,180,54
3064,-35.0,252.78,7.40,168,47
3170,-28.2,250.00,8.43,307,50
3275,-18.7,60.73,2.51,574,16
3381,-9.0,91.46,1.95,172,10
3487,0.8,0.00,-0.19,141,1
3593,10.7,0.00,0.90,78,1
3699,20.6,0.00,10.54,1378,2
3804,30.6,0.00,15.44,1166,2
3910,35.0,0.00,12.18,981,2
4016,35.0,206.33,7.50,487,25
4121,35.0,284.55,6.55,356,59
4227,35.0,287.18,6.35,328,58
4333,35.0,288.84,6.29,315,59
4438,35.0,289.71,6.25,307,59
4544,35.0,291.46,6.21,287,59
4650,25.8,42.28,3.46,345,4
4755,14.9,0.00,-0.98,518,2
4861,3.9,0.00,-0.43,249,1
4967,-7.3,0.00,-0.50,48,4
5073,-18.5,0.00,6.61,605,1
5179,-29.9,0.00,12.37,863,2
5284,-35.0,0.00,10.84,586,2
5390,-35.0,167.49,8.00,264,31
5496,-35.0,254.84,7.35,238,52
5601,-35.0,256.16,7.16,226,53
5707,-35.0,259.22,7.14,212,52
5813,-35.0,260.78,7.18,191,53
5919,-27.5,249.48,8.17,313,48
6024,-15.3,0.00,0.85,728,1
6130,-2.8,0.00,-0.28,473,1
6236,9.8,0.00,-0.43,42,2
6342,22.5,0.00,12.64,1536,1
6448,35.0,0.00,17.45,1074,2
6553,35.0,43.57,8.75,622,3
6659,35.0,280.28,6.87,393,58
6764,35.0,287.13,6.39,342,58
6870,35.0,288.66,6.21,315,59
6976,35.0,290.58,6.16,291,60
7081,25.1,18.15,3.04,403,4
7187,11.3,0.00,-0.42,381,1
7293,-2.7,0.00,-0.51,88,1
7399,-16.8,0.00,5.81,451,1
7505,-31.1,0.00,14.23,1101,2
7610,-35.0,0.00,10.34,549,2
7716,-35.0,223.64,7.87,256,42
7822,-35.0,252.27,7.24,242,52
7928,-35.0,256.67,7.06,226,52
8033,-35.0,257.94,7.09,205,53
8139,-20.0,113.64,3.02,604,28
8245,-4.5,0.00,-0.38,392,1
8351,11.1,80.00,1.10,169,1
8457,26.9,0.00,16.80,1421,1
8562,35.0,0.00,15.76,978,2
8668,35.0,118.48,8.13,512,9
8774,35.0,281.69,6.66,370,57
8879,35.0,286.56,6.22,341,59
8985,31.4,0.00,4.97,213,1
9091,14.5,0.00,-1.35,577,1
9196,-2.6,0.00,-0.62,29,0
9300,-19.6,0.00,7.30,598,1
9406,-35.0,0.00,15.62,1083,2
9511,-35.0,22.42,8.56,370,1
9617,-35.0,240.00,7.44,271,42
9723,-35.0,255.89,7.04,231,53
9829,-30.3,228.93,8.83,315,50
9934,-11.8,0.00,1.05,579,1
10040,7.2,0.00,-0.48,113,1
10146,26.4,0.00,16.44,1499,1
10252,35.0,0.00,15.91,956,2
10357,35.0,136.36,8.15,555,15
10463,35.0,282.54,6.52,380,57
10569,34.4,285.43,5.90,304,58
10674,14.1,0.00,-1.43,752,1
10780,-6.6,0.00,-0.79,38,0
10884,-27.3,0.00,12.50,1503,1
10990,-35.0,0.00,12.39,869,2
11095,-35.0,182.33,7.99,275,28
11201,-35.0,250.25,7.21,248,52
11307,-25.9,62.89,7.47,333,26
11413,-3.3,0.00,-0.45,652,1
11518,19.3,0.00,9.63,1282,1
11624,35.0,0.00,18.39,1106,2
11729,35.0,0.00,8.85,646,3
11835,35.0,280.28,6.71,393,58
11941,26.3,267.13,3.66,234,40
12046,2.0,0.00,-0.70,362,1
12152,-22.8,0.00,9.13,934,1
12258,-35.0,0.00,14.45,1029,2
12364,-35.0,91.07,8.20,310,7
12470,-35.0,240.96,7.23,264,42
12575,-14.2,0.00,0.50,592,1
12681,12.5,0.00,4.14,579,2
12787,35.0,0.00,19.67,1283,1
12892,35.0,0.00,9.49,728,1
12998,35.0,279.44,6.68,416,57
13104,16.5,0.00,-1.72,542,2
13210,-12.4,11.04,-1.11,102,1
13316,-35.0,0.00,17.28,1488,1
13421,-35.0,0.00,8.84,432,1
13527,-35.0,249.75,7.31,234,50
13633,-7.5,0.00,0.84,470,1
13738,23.5,0.00,14.98,1424,2
13844,35.0,0.00,17.10,1103,2
13950,35.0,62.50,8.14,563,7
14055,19.7,16.84,-0.58,796,1
14161,-13.8,0.00,-1.08,233,1
14267,-35.0,0.00,17.33,1526,1
14372,-35.0,0.00,8.70,423,1
14478,-22.7,10.43,6.28,408,2
14584,13.1,0.00,6.14,836,2
14689,35.0,0.00,19.63,1253,1
14795,35.0,0.00,9.26,752,1
14901,15.9,0.00,-1.80,814,1
15006,-22.2,0.00,11.66,1246,2
15112,-35.0,0.00,15.05,962,2
15218,-35.0,22.68,8.05,359,5
15323,1.5,0.00,-0.78,679,1
15429,35.0,0.00,19.93,1536,1
15535,35.0,0.00,9.36,768,1
15640,12.4,0.00,-1.34,802,1
15746,-31.5,0.00,17.31,1493,1
15852,-35.0,0.00,10.50,661,1
15957,-18.7,107.72,2.38,580,20
16063,27.7,0.00,19.45,1119,1
16169,35.0,0.00,15.48,1030,2
16274,17.0,0.00,-1.32,822,1
16380,-32.4,0.00,18.37,1488,1
16486,-35.0,0.00,10.36,692,2
16591,-6.3,0.00,-1.15,711,1
16697,35.0,0.00,19.90,1558,1
16803,35.0,0.00,9.08,777,1
16908,-14.2,0.00,-0.87,797,1
17014,-35.0,0.00,17.08,1509,1
17120,-12.5,0.00,0.30,735,1
17225,35.0,0.00,20.45,1498,1
17331,34.7,0.00,9.43,883,1
17437,-26.6,0.00,16.57,1093,2
17542,-35.0,0.00,13.23,982,2
17648,12.7,0.00,4.83,688,1
17754,35.0,0.00,19.54,1280,1
17859,-5.0,0.00,-1.74,1164,1
17965,-35.0,0.00,16.99,1663,1
18071,4.4,0.00,-1.35,805,1
18177,35.0,0.00,19.75,1489,1
18282,-10.1,0.00,-1.86,1042,1
18388,-35.0,0.00,17.05,1676,1
18494,24.1,0.00,18.39,980,2
18599,35.0,0.00,16.88,969,2
18705,-35.0,0.00,19.71,1032,1
18810,-10.9,0.00,0.23,988,1
18916,35.0,0.00,20.20,1443,1
19022,-24.8,0.00,14.53,1014,2
19127,-24.5,0.00,6.15,326,1
19233,35.0,0.00,20.60,1160,1
19339,-26.5,0.00,15.45,960,2
19444,-14.8,22.32,5.38,198,2
19550,35.0,0.00,20.36,1134,1
19656,-35.0,0.00,19.34,690,2
19761,21.6,0.00,16.47,1094,2
19867,6.0,0.00,-1.42,669,1
19973,-30.1,0.00,13.33,1563,1
