t_ms,duty_cmd_pct,meas_hz,curr_a,pkpk_adc,zc_count
0,0.0,0.00,0.01,54,4
107,8.6,41.84,-0.16,45,3
213,17.1,0.00,7.62,905,1
318,25.6,0.00,12.57,1192,2
424,34.3,0.00,15.53,1076,2
529,42.9,0.00,17.33,876,2
635,50.0,0.00,17.98,890,2
740,50.0,251.32,11.00,639,34
846,50.0,422.96,9.49,471,86
952,50.0,431.37,9.00,410,88
1057,50.0,433.47,8.71,355,88
1163,50.0,434.34,8.65,359,88
1268,50.0,436.94,8.58,336,89
1374,50.0,438.68,8.44,319,89
1480,50.0,438.25,8.38,316,90
1585,50.0,436.08,8.51,322,89
1691,50.0,436.51,8.50,335,87
1796,49.8,436.94,8.37,324,90
1902,40.6,0.00,3.44,811,1
2008,31.2,18.21,-1.39,770,2
2113,21.9,15.50,-2.14,576,2
2219,12.5,11.33,-0.59,359,2
2325,3.0,20.49,-0.35,70,3
2431,-6.5,0.00,-0.40,57,2
2537,-16.1,0.00,5.37,417,1
2642,-25.7,0.00,10.25,623,2
2748,-35.4,0.00,13.45,941,2
2854,-45.1,0.00,15.19,867,2
2959,-50.0,0.00,13.03,684,2
3065,-50.0,210.84,9.61,352,42
3171,-50.0,392.93,8.81,308,80
3276,-50.0,396.83,8.64,259,81
3382,-50.0,389.61,8.65,232,81
3488,-50.0,399.60,8.67,224,82
3594,-50.0,400.78,8.68,219,79
3699,-50.0,361.81,8.74,208,76
3805,-50.0,374.38,8.77,198,78
3911,-50.0,381.91,8.74,194,82
4017,-44.4,278.07,8.10,188,50
4122,-34.0,31.20,4.52,623,20
4228,-23.6,13.48,-0.05,722,4
4334,-13.0,41.58,1.03,254,8
4440,-2.4,0.00,-0.26,142,1
4546,8.2,0.00,-0.38,70,2
4652,18.9,0.00,8.58,1042,1
4757,29.6,0.00,15.61,1080,2
4863,40.4,0.00,17.93,851,2
4968,50.0,0.00,19.10,746,6
5074,50.0,122.59,11.36,708,11
5180,50.0,423.65,9.39,469,86
5285,50.0,426.16,8.88,388,87
5391,50.0,430.95,8.59,381,87
5497,50.0,434.34,8.34,339,88
5602,50.0,433.47,8.41,348,88
5708,50.0,436.08,8.42,344,89
5814,50.0,436.51,8.34,339,89
5919,48.1,253.70,7.25,300,34
6025,36.5,16.84,0.67,838,2
6130,25.0,0.00,-2.93,656,4
6236,13.3,11.76,-1.08,229,2
6342,1.6,27.78,-0.44,47,3
6448,-10.3,0.00,-0.62,47,3
6554,-22.2,0.00,8.34,793,1
6659,-34.1,0.00,14.07,1017,2
6765,-46.1,0.00,16.59,889,2
6871,-50.0,0.00,12.57,652,2
6976,-50.0,302.11,9.41,327,55
7082,-50.0,392.35,8.66,290,80
7188,-50.0,397.61,8.52,256,81
7294,-50.0,400.00,8.56,221,79
7399,-50.0,400.40,8.59,221,79
7505,-50.0,381.14,8.63,204,80
7611,-50.0,340.56,8.67,196,69
7717,-42.3,323.21,7.67,224,48
7823,-29.5,18.52,1.02,795,4
7928,-16.7,11.47,0.04,304,2
8034,-3.8,0.00,-0.38,89,1
8140,9.3,0.00,-0.51,51,2
8246,22.4,0.00,12.93,1531,1
8352,35.7,0.00,17.98,1114,2
8457,48.8,0.00,20.01,719,6
8563,50.0,0.00,13.20,915,2
8668,50.0,410.41,9.52,501,81
8774,50.0,426.16,8.81,409,87
8880,50.0,429.57,8.55,366,88
8985,50.0,431.80,8.45,364,88
9091,50.0,434.78,8.27,328,89
9197,50.0,436.08,8.19,320,89
9302,42.0,27.89,3.86,466,16
9408,27.9,0.00,-3.26,787,1
9513,13.8,11.19,-1.37,310,2
9619,-0.5,0.00,-0.50,49,1
9725,-14.9,0.00,3.04,293,1
9831,-29.3,0.00,13.65,1300,1
9937,-43.9,0.00,17.27,916,2
10042,-50.0,0.00,14.36,891,2
10148,-50.0,180.72,9.59,360,33
10254,-50.0,390.78,8.66,297,80
10359,-50.0,396.43,8.45,267,81
10465,-50.0,400.00,8.49,219,80
10571,-50.0,392.16,8.51,214,78
10677,-50.0,402.48,8.53,204,79
10782,-36.3,14.35,5.29,648,2
10888,-20.8,0.00,-0.76,641,2
10994,-5.2,0.00,-0.44,144,1
11100,10.5,0.00,0.06,69,1
11206,26.3,0.00,16.11,1535,1
11311,42.1,0.00,19.62,987,1
11417,50.0,0.00,18.71,791,3
11522,50.0,213.18,11.00,708,17
11628,50.0,421.69,9.10,461,86
11734,50.0,428.71,8.64,374,87
11839,50.0,433.03,8.31,364,88
11945,50.0,433.93,8.27,351,88
12051,43.6,11.67,4.52,416,1
12156,26.9,0.00,-3.58,825,1
12262,10.0,80.00,-0.15,430,5
12368,-7.1,0.00,-0.76,84,1
12474,-24.3,0.00,9.78,1131,1
12580,-41.7,0.00,17.60,1025,1
12685,-50.0,0.00,15.92,850,2
12791,-50.0,159.86,9.73,399,20
12897,-50.0,390.39,8.62,294,80
13002,-50.0,395.65,8.38,270,78
13108,-50.0,390.00,8.41,234,79
13214,-50.0,374.75,8.45,212,78
13320,-33.7,68.97,2.93,719,8
13426,-15.3,76.92,0.11,478,1
13531,3.1,0.00,-0.48,116,1
13637,21.7,0.00,12.66,1518,2
13743,40.5,0.00,19.80,1116,1
13848,50.0,0.00,19.32,701,10
13954,50.0,71.77,11.16,752,7
14060,50.0,421.69,8.98,468,86
14165,50.0,429.57,8.49,367,87
14271,50.0,431.29,8.33,378,87
14377,43.9,11.67,4.68,463,1
14482,24.2,0.00,-3.70,809,1
14588,4.2,0.00,-0.80,146,1
14694,-15.9,0.00,4.75,388,1
14800,-36.2,0.00,17.37,1212,1
14905,-50.0,0.00,18.05,730,2
15011,-50.0,0.00,10.26,476,1
15117,-50.0,378.11,8.66,299,77
15222,-50.0,398.41,8.30,275,81
15328,-50.0,391.01,8.32,242,80
15434,-38.8,165.56,6.93,306,20
15540,-17.4,0.00,-0.42,781,1
15646,4.3,41.32,-0.53,85,3
15751,25.9,0.00,16.13,1499,1
15857,47.9,0.00,20.90,992,1
15963,50.0,0.00,15.46,967,1
16068,50.0,407.75,9.69,540,81
16174,50.0,427.01,8.71,434,87
16280,50.0,430.53,8.39,384,88
16385,39.7,14.60,2.61,688,2
16491,16.5,0.00,-2.59,678,1
16597,-6.8,0.00,-0.98,47,1
16703,-30.3,0.00,14.81,1551,1
16808,-50.0,0.00,19.31,812,1
16914,-50.0,0.00,10.75,532,1
17019,-50.0,376.24,8.72,311,75
17125,-50.0,394.09,8.26,267,81
17231,-49.5,388.45,8.23,203,79
17337,-24.7,0.00,-1.38,847,1
17442,0.0,0.00,-0.47,149,1
17548,25.2,0.00,15.75,1536,1
17654,50.0,0.00,21.07,798,1
17760,50.0,0.00,13.48,1023,1
17865,50.0,418.33,9.31,519,86
17971,50.0,425.74,8.57,399,87
18076,45.9,251.32,5.86,247,40
18182,19.3,0.00,-3.19,818,1
18288,-7.5,0.00,-1.08,124,1
18394,-34.6,0.00,17.17,1550,1
18499,-50.0,0.00,18.36,754,2
18605,-50.0,0.00,10.26,493,1
18711,-50.0,390.00,8.52,308,77
18817,-50.0,395.54,8.15,268,80
18922,-26.9,0.00,-1.29,939,1
19028,1.7,0.00,-0.59,127,1
19134,30.6,0.00,18.67,1565,1
19240,50.0,0.00,20.81,817,1
19345,50.0,0.00,12.54,980,1
19451,50.0,419.58,9.16,495,86
19556,50.0,427.01,8.38,397,88
19662,21.5,0.00,-3.76,1137,1
19768,-9.0,0.00,-1.22,163,1
19874,-39.9,0.00,19.10,1614,1
19979,-50.0,0.00,17.07,812,2
20085,-50.0,59.88,9.67,426,7
20191,-50.0,390.00,8.32,295,80
20296,-34.3,31.10,3.93,616,14
20402,-1.9,0.00,-0.65,518,1
20508,30.8,0.00,18.82,1536,1
20614,50.0,0.00,20.82,675,1
20719,50.0,0.00,12.29,945,1
20825,50.0,420.84,8.87,494,86
20930,35.6,12.59,-0.43,1180,1
21036,1.2,0.00,-1.09,406,1
21142,-33.6,0.00,16.80,1475,1
21248,-50.0,0.00,18.52,851,2
21353,-50.0,0.00,10.12,518,1
21459,-50.0,359.28,8.34,316,74
21565,-24.0,0.00,-1.66,746,2
21671,12.6,0.00,5.82,937,2
21776,49.3,0.00,21.20,1203,1
21882,50.0,0.00,15.52,986,1
21988,50.0,285.42,9.24,577,51
22093,37.6,0.00,1.28,962,1
22199,-1.0,0.00,-1.27,239,1
22305,-40.1,0.00,19.10,1470,1
22410,-50.0,0.00,16.75,836,2
22516,-50.0,88.65,9.43,428,7
22622,-40.5,243.06,6.89,299,1
22728,0.3,0.00,-0.78,582,1
22834,41.6,0.00,21.00,1412,1
22939,50.0,0.00,19.11,780,5
23045,50.0,168.54,10.44,716,11
23150,32.6,13.85,-2.46,1086,1
23256,-10.6,0.00,-1.60,190,1
23362,-50.0,0.00,20.93,1639,1
23468,-50.0,0.00,12.16,829,1
23573,-50.0,288.77,8.51,339,49
23679,-12.0,0.00,0.25,684,1
23785,33.8,0.00,20.45,1347,1
23891,50.0,0.00,20.52,546,12
23996,50.0,0.00,11.56,923,1
24102,26.0,0.00,-4.54,1308,1
24208,-22.0,0.00,14.54,1543,1
24313,-50.0,0.00,20.35,996,1
24419,-50.0,0.00,11.02,712,1
24524,-31.4,45.25,1.34,773,4
24630,19.0,0.00,16.65,1216,2
24736,50.0,0.00,21.19,955,1
24842,50.0,0.00,13.80,1046,1
24947,26.4,0.00,-4.64,1293,1
