t_s,cmdL,cmdR,velL,velR,iqL,iqR
0.00016427040100097656,4.851282,-4.482051,5.208333,-4.805555,-0.070722,-0.2356
0.04023885726928711,2.221246,-1.852015,5.013889,-4.611111,0.957672,-1.531109
0.08031177520751953,0.184615,0.184615,4.444445,-4.013889,1.93347,-1.291003
0.12038731575012207,-0.965568,1.334799,3.680556,-3.25,1.801246,-1.825406
0.16046667098999023,-2.306227,2.675458,2.805556,-2.472222,2.004961,-2.243667
0.20053768157958984,-3.52967,3.898901,1.888889,-1.527778,2.301206,-2.214282
0.24060845375061035,-4.591941,4.961172,1.041667,-0.75,2.686436,-2.627772
0.28067994117736816,-5.324542,5.693773,0.291667,0.361111,1.306333,-2.306024
0.32076001167297363,-5.641791,6.0,-0.75,0.888889,2.482842,-2.305068
0.36083292961120605,-5.641791,6.0,-1.25,1.486111,1.862538,-1.798644
0.4008913040161133,-5.641791,6.0,-1.847222,2.069444,1.696723,-1.844842
0.4409618377685547,-5.641791,6.0,-2.305556,2.555556,1.398708,-1.355092
0.4810314178466797,-5.641791,6.0,-2.722222,2.958333,0.982623,-1.261877
0.5211107730865479,-5.641791,6.0,-3.083333,3.333333,1.136325,-0.783057
0.5611815452575684,-5.641791,6.0,-3.388889,3.638889,1.119613,-0.933403
0.6012561321258545,-5.641791,6.0,-3.652778,3.875,1.234381,-0.703117
0.6413307189941406,-5.641791,6.0,-3.847222,4.083333,1.211906,-0.636093
0.681403398513794,-5.641791,6.0,-4.041667,4.263889,0.68402,-0.671531
0.7215068340301514,-5.641791,6.0,-4.166667,4.416667,0.568122,-0.645678
0.7615866661071777,-5.641791,6.0,-4.319445,4.555555,0.742149,-0.991986
0.8016619682312012,-5.641791,6.0,-4.402778,4.638889,0.566193,-0.507381
0.84173583984375,-5.641791,6.0,-4.5,4.763889,0.231825,-0.161864
0.8818371295928955,-5.641791,6.0,-4.583333,4.847222,0.920902,-0.6736
0.921954870223999,-5.641791,6.0,-4.652778,4.902778,0.629498,-0.765815
0.9620265960693359,-5.641791,6.0,-4.694445,4.972222,0.606826,-0.878929
1.0020990371704102,-5.641791,6.0,-4.75,4.986111,0.555122,-0.608325
1.0421726703643799,-5.641791,6.0,-4.777778,5.013889,0.620606,-0.672358
1.0822420120239258,-5.641791,6.0,-4.819445,5.055555,-0.021435,-0.567798
1.1223163604736328,-5.641791,6.0,-4.819445,5.069445,0.451867,-0.372916
1.162388563156128,-5.641791,6.0,-4.888889,5.083333,0.606104,-0.390788
1.202488899230957,-5.641791,6.0,-4.875,5.111111,0.052963,-0.130505
1.2425949573516846,-5.641791,6.0,-4.888889,5.125,0.664182,-0.711184
1.282665729522705,-5.641791,6.0,-4.875,5.125,0.102248,-1.107128
1.3227381706237793,-5.641791,6.0,-4.916667,5.152778,0.283395,-0.712104
1.3628077507019043,-5.641791,6.0,-4.902778,5.166667,0.336154,0.271626
1.4028801918029785,-5.641791,6.0,-4.916667,5.180555,0.400316,-0.891928
1.4430043697357178,-5.641791,6.0,-4.958333,5.152778,0.360015,-0.445204
1.4831089973449707,-5.536996,5.906227,-4.944445,5.180555,0.48169,-0.071413
1.5231821537017822,-4.738461,5.107692,-4.902778,5.166667,0.109153,-0.456074
1.5633153915405273,-3.207326,3.576557,-4.777778,5.041667,-0.995799,0.343538
1.6033952236175537,-1.134066,1.503297,-4.472222,4.75,-1.882994,1.610088
1.6434643268585205,0.484982,-0.115751,-3.902778,4.222222,-1.86477,1.776431
1.6835792064666748,2.375092,-2.005861,-3.125,3.402778,-2.234653,2.45887
1.7236547470092773,4.052747,-3.683517,-2.194444,2.555556,-2.722555,2.324663
1.7637574672698975,5.430037,-5.060806,-1.361111,1.527778,-2.926876,3.043319
1.8038346767425537,6.0,-5.640941,-0.333333,0.527778,-2.987808,2.593425
1.8439185619354248,6.0,-5.640941,0.583333,-0.361111,-2.354741,2.409011
1.8839550018310547,6.0,-5.640941,1.166667,-1.041667,-2.150255,2.240759
1.9240248203277588,6.0,-5.640941,1.75,-1.625,-1.884663,1.949868
1.9640932083129883,6.0,-5.640941,2.319444,-2.069444,-1.764624,1.506014
2.004173755645752,6.0,-5.640941,2.777778,-2.513889,-1.361642,1.401796
2.044271945953369,6.0,-5.640941,3.166667,-2.902778,-1.17642,1.196684
2.0843706130981445,6.0,-5.640941,3.513889,-3.222222,-1.069498,0.90117
2.124465227127075,6.0,-5.640941,3.805556,-3.472222,-1.045898,0.587955
2.1645426750183105,6.0,-5.640941,4.027778,-3.694444,-0.534776,1.143649
2.204644203186035,6.0,-5.640941,4.222222,-3.888889,-0.78941,0.512934
2.2448842525482178,6.0,-5.640941,4.402778,-4.041667,-0.584421,0.695126
2.286896228790283,6.0,-5.640941,4.555555,-4.180555,-0.638832,0.551643
2.3269760608673096,6.0,-5.640941,4.666667,-4.291667,-0.582154,0.640408
2.3670802116394043,6.0,-5.640941,4.777778,-4.402778,-0.620601,0.617164
2.407153844833374,6.0,-5.640941,4.847222,-4.486111,-0.85039,0.47689
2.447249174118042,6.0,-5.640941,4.916667,-4.541667,-0.118098,0.191718
2.4873287677764893,6.0,-5.640941,4.986111,-4.583333,-0.137606,0.677804
2.5274038314819336,6.0,-5.640941,5.041667,-4.652778,-0.685805,0.492588
2.5674726963043213,6.0,-5.640941,5.125,-4.694445,-0.9255,0.090142
2.6075427532196045,6.0,-5.640941,5.152778,-4.722222,-0.61338,0.639245
2.647643804550171,6.0,-5.640941,5.152778,-4.736111,0.304335,0.538947
2.687716245651245,6.0,-5.640941,5.222222,-4.777778,-0.797309,0.479226
2.7277932167053223,6.0,-5.640941,5.180555,-4.777778,-0.707107,0.839821
2.767869710922241,6.0,-5.636189,5.236111,-4.777778,-0.523213,0.007412
2.807896375656128,4.851282,-5.27326,5.222222,-4.791667,0.015286,0.100169
2.8479700088500977,2.638828,-3.5663,5.097222,-4.652778,0.877455,-1.013728
2.8880512714385986,0.184615,0.184615,4.708333,-4.263889,1.436357,-1.835004
2.9281182289123535,-0.042491,0.411722,4.055555,-3.611111,2.038257,-1.784207
2.9681851863861084,-1.471062,1.840293,3.263889,-2.805556,2.382092,-2.072111
3.0082929134368896,-2.613919,2.98315,2.333333,-1.930556,1.88987,-2.335284
