t_s,cmdL,cmdR,velL,velR,iqL,iqR
0.00012874603271484375,0.049328,0.049328,0.5,-0.402778,0.370318,-0.439967
0.040228843688964844,0.049328,0.049328,0.236111,-0.111111,0.17059,-0.03253
0.08033061027526855,0.049328,0.049328,0.166667,0.055556,-0.0207,0.008828
0.12040591239929199,0.049328,0.049328,0.013889,0.055556,-0.018062,-0.108181
0.16048693656921387,0.049328,0.049328,-0.319444,0.055556,-0.304366,-0.062017
0.2006244659423828,0.049328,0.049328,0.444444,0.055556,0.36218,-0.021178
0.24069976806640625,0.049328,0.049328,0.027778,0.055556,0.019375,0.0612
0.2807741165161133,-0.21685,0.315507,0.0,0.013889,0.168895,-0.261723
0.3208446502685547,-0.588034,0.686691,0.0,0.0,0.548871,-0.642038
0.3608686923980713,-0.951893,1.05055,-0.5,0.0,0.395563,-1.012646
0.4009385108947754,-1.293773,1.39243,-0.347222,0.263889,0.79289,-0.774843
0.4410061836242676,-1.572161,1.670818,-0.513889,0.541667,0.891785,-0.973182
0.4810826778411865,-1.799268,1.897924,-0.777778,0.75,1.014176,-1.040735
0.5211582183837891,-1.902557,2.0,-0.986111,1.027778,0.724136,-0.924028
0.5612285137176514,-1.903718,2.0,-1.194444,1.208333,0.372167,-0.549644
0.6013038158416748,-1.903718,2.0,-1.305556,1.375,0.68328,-0.473948
0.6414220333099365,-1.903718,2.0,-1.388889,1.486111,0.376072,-0.49739
0.6814911365509033,-1.903718,2.0,-1.472222,1.527778,0.274409,-0.415691
0.7215616703033447,-1.903718,2.0,-1.527778,1.569444,0.289667,-0.515098
0.7616641521453857,-1.903718,2.0,-1.541667,1.625,0.161204,-0.462495
0.8017642498016357,-1.903718,2.0,-1.583333,1.652778,0.232495,-0.358443
0.841886043548584,-1.903718,2.0,-1.597222,1.666667,0.283488,-0.372606
0.8819577693939209,-1.903718,2.0,-1.611111,1.652778,0.169378,-0.392874
0.9220278263092041,-1.903718,2.0,-1.652778,1.680556,0.341482,-0.513877
0.9620964527130127,-1.903718,2.0,-1.625,1.666667,0.346941,-0.40722
1.0021734237670898,-1.903718,2.0,-1.652778,1.680556,0.277799,-0.32795
1.0422494411468506,-1.903718,2.0,-1.652778,1.680556,0.223891,-0.312634
1.0823497772216797,-1.903718,2.0,-1.652778,1.666667,0.263129,-0.242383
1.1224210262298584,-1.903718,2.0,-1.638889,1.666667,0.328767,-0.212329
