t_s,cmdL,cmdR,velL,velR,iqL,iqR
0.00011396408081054688,6.0,-5.752577,5.277778,-4.986111,-0.025271,0.510825
0.040187835693359375,6.0,-5.752577,5.305555,-4.972222,-0.426736,0.658138
0.0802922248840332,2.961172,-2.709157,5.222222,-4.944445,0.775163,-0.239224
0.12039470672607422,0.404396,-0.152381,4.916667,-4.611111,2.832958,-2.411427
0.16048359870910645,0.126007,0.126007,4.208333,-3.930556,1.198188,-1.566053
0.20055747032165527,0.089377,0.162637,3.527778,-3.236111,1.769876,-1.180796
0.24062824249267578,-0.438095,0.69011,2.861111,-2.597222,1.539913,-1.520855
0.2807321548461914,-1.258608,1.510623,2.194444,-1.861111,1.609606,-1.822199
0.3208348751068115,-2.657876,2.880586,1.652778,-1.263889,2.274595,-1.828308
0.36089205741882324,-4.086447,4.338462,0.819444,-0.486111,2.258547,-2.036528
0.40096092224121094,-5.500366,5.752381,-0.152778,0.180556,2.404362,-2.558425
0.4410409927368164,-5.781347,6.0,-0.722222,0.972222,2.221679,-2.25402
0.48114514350891113,-5.781347,6.0,-1.375,1.513889,1.764602,-1.735977
0.5212407112121582,-5.781347,6.0,-2.0,2.111111,1.785516,-1.652018
0.5613281726837158,-5.781347,6.0,-2.444444,2.583333,1.534462,-1.40167
0.6014292240142822,-5.781347,6.0,-2.875,3.0,1.528867,-1.007689
0.6415555477142334,-5.753169,6.0,-3.222222,3.333333,1.092339,-1.037745
0.6816635131835938,-5.753169,6.0,-3.513889,3.638889,0.299338,-1.080725
0.721733570098877,-5.753169,6.0,-3.777778,3.888889,0.914835,-0.948825
0.7618408203125,-5.753169,6.0,-3.958333,4.083333,0.524804,-0.421688
0.8019123077392578,-5.753169,6.0,-4.166667,4.263889,0.762048,-0.738853
0.8420438766479492,-5.753169,6.0,-4.305555,4.416667,0.627192,-0.410105
0.8821156024932861,-5.753169,6.0,-4.444445,4.555555,0.821968,-0.459794
0.9222056865692139,-5.753169,6.0,-4.541667,4.652778,0.802576,-0.489238
0.9623048305511475,-5.753169,6.0,-4.611111,4.722222,0.223483,-0.39935
1.0024042129516602,-5.753169,6.0,-4.708333,4.819445,0.616475,-0.766031
1.04248046875,-5.781347,6.0,-4.763889,4.902778,-0.150418,-0.398377
1.0825839042663574,-5.753169,6.0,-4.819445,4.930555,-0.068094,-0.703487
1.1226603984832764,-5.781347,6.0,-4.861111,4.986111,0.223658,0.030465
1.1627659797668457,-5.781347,6.0,-4.888889,5.041667,0.411247,-0.346402
1.2028985023498535,-5.753169,6.0,-4.902778,5.069445,0.97058,-0.022385
1.2431845664978027,-5.753169,6.0,-4.944445,5.097222,1.114234,-0.594856
1.283292293548584,-5.753169,6.0,-4.944445,5.111111,0.394351,-0.481324
1.3233602046966553,-5.753169,6.0,-4.986111,5.125,0.624831,-0.445431
1.3634369373321533,-5.753169,6.0,-4.986111,5.097222,-0.007554,-0.765043
1.4035382270812988,-5.753169,6.0,-4.986111,5.111111,-0.001461,-0.191276
1.443643569946289,-5.753169,6.0,-5.013889,5.138889,0.076119,-0.356301
1.4837493896484375,-5.753169,6.0,-5.027778,5.138889,0.420005,-0.49429
1.5238614082336426,-5.781347,6.0,-5.041667,5.138889,0.541081,-0.530012
1.5638914108276367,-5.753169,6.0,-5.055555,5.152778,0.986207,-0.008736
1.6039597988128662,-5.753169,6.0,-5.055555,5.152778,0.516051,-0.300896
1.6440353393554688,-5.753169,6.0,-5.055555,5.180555,0.434432,-0.530577
1.6841084957122803,-5.753169,6.0,-5.069445,5.194445,0.424767,0.245503
1.724182367324829,-5.753169,6.0,-5.041667,5.222222,0.414526,-0.888887
1.7642874717712402,-5.753169,6.0,-5.055555,5.194445,-0.469069,-0.281562
1.8043920993804932,-5.390476,5.642491,-5.055555,5.194445,0.634597,-0.019755
1.844472885131836,-4.540659,4.76337,-5.027778,5.166667,0.042732,0.144602
1.8845465183258057,-2.709157,2.931868,-4.819445,5.0,-1.198292,0.706362
1.9246253967285156,-0.496703,0.748718,-4.430555,4.569445,-1.335262,1.446211
1.9647305011749268,0.111355,0.111355,-3.819444,3.972222,-1.970555,1.887943
2.0048046112060547,0.126007,0.126007,-3.166667,3.291667,-1.435254,1.31653
2.0449016094207764,0.111355,0.111355,-2.541667,2.694444,-0.687358,1.130981
2.085005760192871,0.47033,-0.247619,-2.027778,2.152778,-1.085823,1.231998
2.1250736713409424,1.334799,-1.082784,-1.583333,1.666667,-1.627514,1.349024
2.165140390396118,2.58022,-2.328205,-1.027778,1.083333,-1.420189,1.448284
2.205247163772583,3.906227,-3.654212,-0.361111,0.402778,-2.096644,1.929141
2.2453479766845703,5.305494,-5.082784,0.444444,-0.236111,-2.376145,2.558327
2.2854177951812744,6.0,-5.780822,0.916667,-0.916667,-2.49612,2.084088
2.3254923820495605,6.0,-5.780822,1.597222,-1.486111,-2.094363,1.840351
2.365598201751709,6.0,-5.752577,2.111111,-2.013889,-1.345776,1.386899
2.405703067779541,6.0,-5.752577,2.638889,-2.472222,-1.382628,1.204607
2.445774555206299,6.0,-5.752577,3.055556,-2.861111,-1.314791,1.268432
2.485870599746704,6.0,-5.780822,3.402778,-3.208333,-1.155623,1.371861
2.525939702987671,6.0,-5.780822,3.708333,-3.513889,-0.895954,1.338317
2.5660457611083984,6.0,-5.780822,3.958333,-3.722222,-0.47866,0.590588
2.6061148643493652,6.0,-5.752577,4.194445,-3.888889,-0.613203,0.49649
2.6462104320526123,6.0,-5.780822,4.375,-4.069445,-0.606074,0.832395
2.6862759590148926,6.0,-5.752577,4.513889,-4.194445,-0.558513,0.289929
2.7263495922088623,6.0,-5.780822,4.652778,-4.333333,-0.174714,0.760052
2.7664549350738525,6.0,-5.752577,4.763889,-4.402778,-0.808797,0.453761
